,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
140,"[9, 31, 32]",15544,MirrorMoon EP,"[3, 6, 14, 72]",Missing,MirrorMoon EP is a game about mystery and exploration set in outer space These space travels begin on a red planet and its unique moon and extend across galaxies The single player part of MirrorMoon EP blends adventure and exploration with navigationbased puzzle solving The multiplayer of MirrorMoon EP lets players share Galaxy Maps with other players the first explorers to land on a planet will be able to name its Star System and that name will be forever bound to the star for any other fellow traveler who encounters it  Each Galaxy consists of a thousand Systems it will be possible to fully discover the mysteries of MirrorMoon EP only while collaborating with other players Through the apparently indecipherable cockpit of an unknown spacecraft players will be able to locate and travel to mysterious planets Each planet has artifacts buildings and puzzles on its surface hidden in astonishing lowpoly sceneries,50.0,3.77,5.5,6.04,70.0,10.0,15.0
141,"[5, 12, 31, 33]",13624,Heroes of Loot,"[3, 6, 14, 34, 39, 46, 72, 130]",Missing,Heroes of Loot combines the action of twinstick shooters with the dungeon crawling of roguelikes Youll find yourself in the middle of hordes of ghosts skulls cyclops critters and much more Survive using quick reflexes level up to improve your weapon and if you have time complete some quests for extra loot and upgrades,50.0,1.0,0.0,4.1,58.0,4.0,4.0
142,"[2, 31, 32]",12073,Playing History 2 - Slave Trade,"[6, 14]",Missing,Travel back in time and witness the horrors of slave trade firsthand You will be working as young slave steward on a ship crossing the Atlantic You are to serve the captain and be his eyes and ears What do you do when you realize that your own sister has been captured by the slave traders,50.0,,,,,,
143,"[4, 9, 31, 32]",11572,ManaCollect,[6],Get ready to Collect some Mana  ManaCollect is an action packed take on the classic Minesweeper as an actionpuzzle game Two contestants compete on a grid based arena to collect hidden mana by following numbered hints and unleash special attacks to drain their opponents mana,A minesweeper style fighting game that involves 1v1 battles where you need to collect mana that is used to attack and defend It has a 4 chapter single player story with 4 difficulty settings and 10 playable characters It has 2player local multiplayer as well as a tournament and dungeon mode,50.0,3.0,7.5,13.0,40.0,1.0,3.0
144,"[13, 15]",10774,Rise of Venice,[6],Missing,Venice was at the peak of its power during the Renaissance and was viewed as a city of decadence beauty and intrigue Renowned as the linchpin of civilization and the cultural centre of Europe Venice was the most important trading post between Western Europe and the eastern stretch of the Mediterranean Sea It was also the stage for political corruptions and clandestine dealings  This is where your story begins As a young man striving for success power and wealth and with the support of your family you begin to build up a trading empire across Genua Tripoli Rome Alexandria and Constantinople in addition to many other significant cities from the Renaissance As you progress through the ranks of Venetian society increasing your power with smart trading moves and calling in the occasional favour you can begin to assemble your own fleet With this you will start to build up new production facilities test yourself in challenging sea battles where you will face off against pirates as well as political enemies to finally become the Doge of Venice,50.0,0.0,58.0,0.0,70.0,1.0,1.0
145,"[12, 32]",10509,Legends of Aethereus,"[3, 6, 14]",Missing,The planet of Aethereus is an ancient and mysterious world filled with majestic forests misty swamps deep caves and ancient ruins Devastated by three large astronomical events the Three Great Skyfalls it is a world just coming out of chaos and ruin The recent unearthing of The Gauldron Tablets has revealed the existence of The Seven Ancient Skyfall Relics The promise of unlimited power for those who possess the objects has led to a frenzied search across all of Aethereus  As a member of the Nexus CityState one of the last bastions of freedom and hope on Aethereus you will be entrusted with the critical undertaking of procuring the The Ancient Skyfall Relics Standing in your way are the Serpentica Shamans of Ghalia and the hordes of Khagal Tribes they control as well as the oppressive Venatan Empire forces lead by the notorious General Zhorgal  Your epic journey of adventure and discovery begins now  Join forces in online multiplayer cooperative expeditions as the Inventor or Officer while you embark on a variety of story driven handcrafted expedition levels or explore the wilderness through a variety of procedurally generated exploration quests Design and build new gear and weapons while you develop your character across a diverse and expansive skill tree allowing for a multitude of character strategies,40.0,0.0,0.0,28.0,70.0,1.0,1.0
146,"[4, 13]",3828,Air Conflicts: Vietnam,"[3, 6, 9, 12, 14, 48]",Missing,Vietnam War It is the year 1965 A conflict that began 20 years ago escalates Vietnam is a divided country The communistic North fights against the anticommunistic South in a fierce civil war  The USA are at Cold War with the Soviet Union and in order to demonstrate their interests they decide to support South Vietnam in the fight against the communistic Vietcong troops  Witness the story of Joe Thompson a brave pilot of the US Air Force during the Vietnam War He reaches Vietnam as one of the first soldiers of the USA He is young talented and dutiful The will to serve his country and to help people by doing that dominates his life  Take a seat in the pilots seat of jet fighters and helicopters those war machines that were used during the Vietnam War for the first time in history and experience explosive aerial combat in a class of its own and accompany Joe on his way to become a real ace  But during this war he will face an acid test What Joe experiences in Vietnam will change him forever and even the relationship to his family on another continent watching his mission from afar They can reach him only by writing letters ,40.0,5.39,7.08,0.0,50.0,7.0,8.0
147,"[13, 31, 32]",16662,Starlight Inception,"[6, 9, 46]",Missing,STARLIGHT INCEPTION is a relevant first person  third person space combat experience with elements of exploration It has a unique blend of action with an involving storyline Features include ship based combat both in space and on planets and moons interplanetary exploration and multiplayer dogfighting,30.0,0.0,0.0,0.0,0.0,0.0,0.0
148,"[5, 13, 15, 24]",2937,Takedown: Red Sabre,"[6, 12]",Missing,TAKEDOWN is a thinkingpersons shooter The player that takes things slow aims carefully and plans their moves right will overcome the player who runs in with guns blazing Closequarters battle brings the fight inside as you would see SWAT teams or SOF units taking down small numbers of dangerous adversaries Nonlinear environments allow for multiple routes and tactics and add replayability The operation to clear pirates from a hijacked oil tanker by Russian special forces in May of 2010 is a perfect example of the types of missions in TAKEDOWN,20.20442433380207,5.0,0.0,5.94,42.0,12.0,2.0
149,"[5, 31, 32]",3046,Day One: Garry's Incident,[6],Garry Friedman a veteran bush pilot in his early 40s  still broken down emotionally after a tragic accident involving his wife and his little girl drowns himself in alcohol every night to escape his torment Now numb to the constant dangers he faces Garry keeps signing up for impossible jobs he gets the cash doesnt ask questions business as usual Some doubt his motives but Garry needs this danger now he needs the adrenaline its the closest he gets to feeling alive again On Friday September 13 2013 a transport job has him going to a research facility in Yellowstone and bringing the some cargo to Nevada the drop coordinates would then be updated during the mission But Garry would never reach his destination,Day One Garrys Incident is a PC survival game developed and published by Wild Games Studio in Mascouche Québec Canada and released on 25 September 2013 The game received primarily negative reviews from critics While Garry is transporting cargo for a research facility in Yellowstone National Park Yellowstone Caldera erupts causing him to lose control of the plane An artifact in the cargo causes him to be transported to the Amazon Rainforest where he discovers an ancient civilization and struggles to survive,10.01729879081914,3.42,4.0,4.0,29.0,7.0,5.0
