first_release_date,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
1666396800,"[8, 31, 32]",222956,Run Blob Run 2,[6],A Casual 2D Platformer in which the player must overcome obstacles to beat the level as fast as possible,Missing,nan,nan,nan,nan,nan,nan
1666656000,"[2, 9]",222953,Blue Bird Land Ep 2.,[6],Blue Bird Land is an AVG with horror and puzzle elements In each chapter the form of the game is unique and different from others Lets follow the alluring characters addicted to the dangerous amusement park,Missing,nan,nan,nan,nan,nan,nan
1666742400,"[13, 14, 32]",222948,JaDa Fishin',"[6, 14]",JaDa Fishin is a free relaxing quicktime fishing game Collect up to 12 different types of fish on this incredible journey,Missing,nan,nan,nan,nan,nan,nan
1666742400,[9],222941,Miss Kawaii 2,[6],Surrounded by many beautiful girls a mindblowing sexy journey has started Relax clear your mind and enjoy,Missing,nan,nan,nan,nan,nan,nan
1666828800,"[10, 12, 13, 14, 15, 31, 32]",222940,Dot Tanki,"[3, 6, 14]",MOBA PvP game in which two teams fight tanks and other vehicles for victory,Missing,nan,nan,nan,nan,nan,nan
1666656000,"[5, 12, 13, 31]",222939,Chernobylite: Season 3 - Green Walls,[6],From special game mode for players who love extreme challenges to the muchanticipated part of the map with two never completed cooling towers on the premises of the infamous power plant and a brandnew weapon,Missing,nan,nan,nan,nan,nan,nan
1666828800,"[2, 31, 32]",222938,The Shadow People,[6],The Shadow People is a retro point and click horror adventure game with a minimalistic aesthetic As a student cramming for finals you drive all the way to school sit through class and try to slog your way back home But fatigue sets in and dark creatures dance in the edge of your eyesight,Missing,0.53,0.0,0.0,70.0,1.0,1.0
1666742400,Missing,222937,Illumina Girls,"[3, 6, 14]",Illumina Girls is an exhilarating 3D block breaking game with a new sensation,Missing,nan,nan,nan,nan,nan,nan
1666828800,"[31, 32, 34]",222936,"Good Night, Peregrine",[6],A short experimental visual novel where you spend time with the titular Perry a shut in recluse gamer and his friends Meet a colorful cast of characters in a strange world much like our own Learn and explore secrets from the past There is no happy ending to this game,Missing,nan,nan,nan,nan,nan,nan
1666828800,"[12, 13, 15, 31, 32]",222935,Hidden Dungeon Top-Down 3D,"[3, 6, 14]",The game is a hidden object game in which you need to find objects with a certain design in beautiful locations and click on them with the mouse,Missing,nan,nan,nan,nan,nan,nan
1666828800,"[12, 31, 32]",222931,Tinkertown x Among Us,[6],After killing an entire crew and taking over their ship an impostor mistakes a bright light in the world of Tinkertown for his secret haven crashlanding on the planet This opens up a brand new quest in Tinkertown where players can explore the crashed ship solve puzzles blocking their way and escape with loot without getting caught by the impostor roaming the ship Find a bunch of cool Among Us themed costumes hats and decorative items and objects that can be used to decorate your houses back in your village,Missing,nan,nan,nan,nan,nan,nan
1666828800,"[9, 12, 31]",222873,Frog Detective: The Entire Mystery,"[6, 14, 48, 49, 130, 167, 169]",Youre a detective and a frog and its time to solve 3 thrilling mysteries  For the first time all 3 Frog Detective cases are available in one package  Play as the 2 best investigator as you find clues question silly suspects and look at things through your magnifying glass Some naysayers have called the magnifying glass useless but what do they know  Frog Detective The Entire Mystery is a familyfriendly yet witty take on the detective game genre Solve the mysteries on your own or play along with friends as you take turns reading out the dialogue Think you can crack the case,In Case 1 The Haunted Island a sloth has been haunted for weeks by a mysterious ghost that nobody can seem to track down Even after hiring a team of ghost scientists the mystery is no closer to being solved Luckily for this tropical sloth and unluckily for this pesky ghost Frog Detective is here to crack the case The Haunted Island is the first in this awardwinning series and this bitesized mystery is what started an international cult obsession with the world of Frog Detective  In the second mystery The Case of the Invisible Wizard we follow the Detective to Warlock Woods where a celebratory parade for their newest neighbour has been maliciously destroyed Now the neighbour is nowhere to be seen and the town is in ruin Can Frog Detective get to the bottom of things We sure hope so otherwise the game would be a bummer  In the exciting series finale Corruption at Cowboy County The Detective and Lobster Cop are tasked to solve the conundrum of a sheriffless town But not all is as it seems here when a surprisingly simple solution to the case reveals a sinister scheme Maybe crime is real after all This final mystery is jampacked with twists and turns a true love letter to the Frog Detective fans,3.92,4.44,4.5,71.0,34.0,48.0
1666656000,"[31, 32]",222871,My Big Sister: Remastered,[6],Take control of Luzia and explore a fantasy world full of spirits ghosts and other unnatural monstrosities as the sisters try to find a way to break the curse and return home Search for objects to solve simple puzzles and talk to characters to unravel the lore behind both My Big Sister and Ashina The Red Witch  Across the games multiple chapters in My Big Sister players can expect to clear puzzles and find specific items should they wish to advance through the games story but be sure to take your time With plenty of secrets and multiple endings youll have your work cut out for you to make sure you get the ending Luzia Sombria and Ashina deserve,Meet Luzia a sarcastic twelveyearold with a playful sense of humor If you believe what she says My Big Sister is a topdown adventure game about two sisters trying to break a curse imposed upon Sombria My Big Sister is a continuation of Ashina The Red Witch which will showcase a lot of references between the two games,0.0,0.0,5.58,55.0,2.0,2.0
1666656000,"[5, 32]",222863,Psychosis: Teaser,[6],Psychosis is a firstperson psychological survivalhorror game about familicide presented in a retro derezzed art style  When a family goes missing and you receive a mysterious phone call all hell breaks loose as you are plunged into an expansive world where demons hunt you down and logic is turned inside out Battle with the shreds of your own humanity through an hour of mindbreaking gameplay packed with combat puzzles and mystery,Its nearly midnight and youre bored doing overtime at work at your small office in the rural Pacific Northwest The dull silence is cut by a phone call from a man with a familiar voice The gruff voice urges you to come quickly theyre all gone  Disturbed you get in your car and suddenly youre standing in the dimly lit foyer of someones home The place is empty like everyone just got up and left Theres an awful stench in the air but you cant make out what it is All you can hear is the sound of the wind and tree branches crashing against the side of the house and a faint ticking noise  Suddenly you feel an icy cold presence shoot through your body as your vision fades and your body washes with fear Youre paralyzed lying on the reeking damp ground through halfopen eyes you see a tall figure wielding a harsh blade standing over you The being opens its mouth as if to speak and all that comes out is the bloodcurdling screeching of metal on metal    When a family goes missing and you receive a mysterious phone call all hell breaks loose as you are plunged into an expansive world where demons hunt you down and logic is turned inside out Battle with the shreds of your own humanity through an hour of mindbreaking gameplay packed with combat puzzles and mystery,nan,nan,nan,nan,nan,nan
1666483200,"[12, 15, 31, 32]",222847,Banana Quest,[6],An RPG Maker Game You want a banana so what are you waiting for go get it,Missing,nan,nan,nan,nan,nan,nan
1666569600,"[32, 34]",222846,Wheel of Innocence,"[3, 6, 14]",Wheel of Innocence is a lesbian visual novel where you peer into the life of a disabled high schooler named Reina,Missing,nan,nan,nan,nan,nan,nan
1666656000,Missing,222845,Dark Tales from México: Prelude. Just a Dream... with the Sack Man,[6],An Handmade 3D Survival Horror based on true Mexican Folk Tales and Clay Sculptures,Missing,nan,nan,nan,nan,nan,nan
1666396800,"[13, 32]",222836,JBMod,"[3, 6]",JBMod was the first mod ever released for HalfLife 2 It was originally created by jb55 on the HL2World forums before being handed off to TEAM JBMOD a small group of modding enthusiasts on the forum  JBMod enables the physgun in HalfLife 2 first seen in prerelease tech demos such as those shown at E3 in 2003 which was ultimately cut from the final game The physgun allows you to move and manipulate objects with the help of physics JBMod also adds several new features such as additional physical constraints ball joints and ropes and item spawning using console commands  The initial Steam release brings the original mod from 2004 to a more modern engine Stay tuned for further updates As always JBMod 06 is coming soon  Playing maps and using content from other Source engine games requires an installed copy of those games Due to engine version differences some newer games may not be compatible JBMod is currently based on Source SDK Base 2013,Missing,nan,nan,nan,nan,nan,nan
1665705600,[32],222818,Coloring Pixels: Halloween 4 Pack,"[3, 6, 14]",This Halloween themed book unlocks 20 additional levels for Coloring Pixels Halloween is back and its spookier than ever,Missing,nan,nan,nan,nan,nan,nan
1667174400,[9],222810,Escape to the Caf,[6],CAF is a horror game where you have to escape from CAF premises Your goal is to survive and try to escape,CAF is a horror game where you have to escape from CAF premises where a creature whose allowance has been withdrawn has been lurking around for some time Your goal is to survive and try to escape,nan,nan,nan,nan,nan,nan
1665532800,[5],222786,PUBG: Battlegrounds - Season 20,"[6, 48, 49, 167, 169]",Balance adjustments and improvements tot he Blue Zone on Deston new decorations and more in Season 20 of PUBG Battlegrounds,Missing,nan,nan,nan,nan,nan,nan
1666396800,"[31, 32]",222737,"I Love Me, I Love Me Not","[6, 14]",I Love Me I Love Me Not is a casual relaxing game focusing on teaching players healthy mentalhealth habits  Youll play as a sunflower whos been feeling physically and mentally drained losing their petals  a part of themself  as a result Youll wander explore and meet new friends around this beautiful flower field each teaching you a healthy habit helping you grow yourself back together again,Missing,nan,nan,nan,nan,nan,nan
1666310400,"[13, 32, 34]",222736,"Forgive My Sins & Desires, Father","[3, 6, 14]",Samael suffers from delusions He feels lost until he encounters a priest one day The priest is the only person in the world who makes him feel at peace This however slowly turns into an obsession Will Samael learn how to love properly or will he fall into a path of darkness You decide,Missing,0.0,0.0,1.26,90.0,2.0,2.0
1666483200,"[32, 34]",222735,Pathmaster,[6],Pathmaster is a visual novel with multi endings and various heroines,Missing,nan,nan,nan,nan,nan,nan
1666396800,[31],222734,Horror Hotel,[6],Horror Hotel is a topdown 2D shooter which pits you against increasingly difficult foes Defeat your demonic enemies with a combination of spells and your Rune Stone To be victorious you must take the fight to your enemies by traveling to Hell and destroying twelve demon generals in boss battles,Missing,nan,nan,nan,nan,nan,nan
1666483200,[31],222725,Druin Faust,[6],The Universe has just enough power to bring a being to life one final time You are the last hope all of creation has left for survival,Missing,nan,nan,nan,nan,nan,nan
1666828800,"[15, 31, 32]",222662,The Inverse,"[6, 14, 34, 39, 48, 130, 167]",Defend yourself against the creatures and destroy the FlipSide,Missing,nan,nan,nan,nan,nan,nan
1666137600,"[31, 32]",222614,Petals,[6],Petals is a firstperson photography game developed as part of an ARG promoting Gun Interactives The Texas Chain Saw Massacre,Missing,nan,nan,nan,nan,nan,nan
1666310400,[34],222609,NEET Girl Date Night,"[6, 14]",Your friend sets you up on a date with his NEET Cousin Kara,Missing,0.54,0.77,0.0,76.0,5.0,8.0
1666224000,Missing,222408,Dragon Quest X: All In One Package - Versions 1-6,"[6, 48, 130]",A new allinone package featuring versions 1 to 6 of Dragon Quest X Online,Missing,nan,nan,nan,nan,nan,nan
1666569600,"[8, 31, 32]",222353,Dungeon in a Bottle,"[6, 14]",Dungeon in a Bottle is a precision platformer about choosing the right kind of jump in claustrophobic situations  The acrobatic thief Reya has gotten himself trapped in a magic bottle and now he must use every jump at his disposal to escape the treacherous dungeon within Hopefully hell grab some treasure while hes at it  Perform difficult jumps while getting crushed by spikes smashed by walls and dissolved in goop in this platformer that takes the genre in a unique direction,Missing,nan,nan,nan,nan,nan,nan
1665532800,[13],222286,Mittin,[6],Mittin is a library of dynamic modules which foster the development of independent living skills in the home and community Designed to support special education transitionrelated instruction these virtual resources are free and available to parents schools educators and students in Michigan,Missing,nan,nan,nan,nan,nan,nan
1665792000,"[12, 32]",222285,Silence Coffee Shop,[6],Silence Coffee Shop is a JRPG where youll act as a regular customer Unveil the truth of Silence Coffee Shop behind it conflicting rules,Missing,nan,nan,nan,nan,nan,nan
