,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[31],275301,Multiplicity,[6],Did you know that there are more stars in the sky than grains of sand on Earth I know it sounds crazy But its true  A short cosmic horror tale inspired by the classics of survival horror,Missing,,,,,,
1,[2],275275,The Last Note From Dad,"[6, 82]",A short horror experience on a supposedly uninhabited island,Missing,,,,,,
2,[5],274262,Escape the City,[6],Silvas first map,Missing,,,,,,
3,Missing,273984,Mooshie's Kitchen 3,[6],Mooshie has returned once more in the finale of the Mooshies Kitchen trilogy This time hes the President of the United States,In Mooshies Kitchen 3 you play as a secret agent whose mission is to infiltrate President Mooshies bunker and kill Mooshie once and for all,,,,,,
4,"[5, 12]",272672,The Binding of Isaac: Fall from Grace,[6],Do you have what it takes to keep it cool in the Boiler  Face off against brand new challenges in this alternate floor to the Downpour Weave through seas of steam and slay blistered freaks in this mod which has been created by some of those who have worked on mods such as Fiend Folio and Revelations,Missing,,,,,,
5,"[5, 33]",271932,Rushdown Rivals Reloaded,"[6, 82]",Take on the robot hordes of Rushdown Rivals from a different perspective Fight through the city streets in this hectic arcade shooter inspired by Time Crisis and House of the Dead,Missing,,,,,,
6,[5],271854,Time to Belong,[6],Episode with four mediumsized classic idthemed maps  custom start and end map Mostly vanilla Quake with a few extras comes with its own progsdat Based on previously released speedmaps details in included readme,Missing,,,,,,
7,[5],271540,Sunken Fallacy,[6],Mediumsized flooded Aztec  Mesoamerican ruins Koohoo map with a few puzzles and cheeky combat built on Progs Dump 3 already included QuakeC and map source is included Custom music by Patrick Patrikios,Missing,,,,,,
8,"[2, 34]",271419,Hauma: A Detective Noir Story - Prologue,[6],Hauma is a deduction visual novel set in Munich Discover a conspiracy amongst the upper echelons of society alongside former detective Judith while visiting real locations in a comicinspired look This is a free prologue of the full game,Missing,,,,,,
9,[5],271242,Only You Can Prevent Containment Breaches,[6],Medium to large semilinear level with a dungeon ruin inside an underground base Includes some custom audio and music,Missing,,,,,,
10,[32],270764,Gunfire Reborn: Artisan and Magician,[6],Two new heroes will join your adventure You can choose to either strategically command the power of the star cardor summon a mecha to fight alongside you At the same time they also bring four new weapons including a submachine gun a compass an squid and a brick that conceals subtle golden sheen,Missing,,,,,,
11,[9],268027,1001 Jigsaw Detective 3,[6],An exciting and suspenseful adventure in the world of detectives Assemble the puzzles and enjoy the colorful and exciting pictures,Missing,,,,,,
12,"[8, 31]",265933,Geno 2 the Generals' Orders,[6],In this game you play as Geno and team up with your bro Khad to fight the new generals on the block Geno is amped up with some new moves this time around like a power slide a shoulder bash a spinning somersault and an areal bounce shot  Collect many cherries gems and other secrets as you make your way to collecting all of the power orbs Complete as you please with an openended level design and a very open and unseparated map  if you want bosses then youll get bosses fight a giant weatherman an alien and a pair of lips,Missing,,,,,,
13,[4],265884,Sonic Arena,[6],Sonic Arena is a Fighting game that was finished after 17 years,In an alternative universe Shadow wants to conquer Mobius but Sonic and his friends will stop him using their fists,,,,,,
14,[8],265877,SMB RMX Land,[6],One Day In Sarasaland Mario Or Whoever You Are Playing As is running through the desert and Encounters Thicc Boi Who Is Wielding The Phantom Ruby The Hero Gets Teleported Away To Another Part Of The Desert And Meets A Wiggler Named Harold And A Snorpler Named Gerald The Two Siblings Are Trying To Stop Thicc Boi From Destroying The Fabric Of Reality The Hero And The Two Worm Brothers Set Out Two Stop Thicc Boi Before It Is Too Late,Missing,,,,,,
15,[5],265724,The Moshpit Tournament,[6],The Moshpit is a Horde Mode TPS Single Player game where you gun down waves of enemy Cyphers that assault you from every side  Waves have a fixed set of points to be won The faster you complete the wave  squash your opponents the MORE points youll WIN,Missing,,,,,,
16,Missing,264825,Guilty Gear: Strive - Guilty Gear 25th Anniversary: Special Additional Color Pack,"[6, 48, 49, 167, 169]",This color pack unlocks colors for the initial roster of 15 characters as well as the 9 characters from Season Pass 1 and Season Pass 2 for a total of 24 characters There are 2 colors for every character making for 48 extra colors available,Missing,,,,,,
17,Missing,264824,Guilty Gear: Strive - Guilty Gear 25th Anniversary: Appreciation Color Pack,"[6, 48, 49, 167, 169]",This color pack unlocks colors for the initial roster of 15 characters as well as the 9 characters from Season Pass 1 and Season Pass 2 for a total of 24 characters There is 1 color for every character making for 24 extra colors available,Missing,,,,,,
18,"[8, 32, 33]",263656,Superfetch Dog,[6],Play fetch as Gale the goodest boy  Superfetch Dog a platformer where you need to fetch the orb for your owner Run across various landscapes jump over obstacles climb trees bark at small creatures avoid dangerous wildlife learn new tricks Do anything you can to retrieve the orb before its too late  Nothing can stop a good boy like Gale,Gale is a good boy Gale will fetch the orb for his little master The little master needs the orb Nothing can stop a good boy like Gale Gale is a good boy,,,,,,
19,[5],262011,Glaive 3,[6],10 short action focused maps for Doom 2 inspired by Scythe The wad is divided into 2 visual themes The first 5 maps are techbases the next 5 are a visual mashup of Shores of Hell Plutonia and Scythe 2s jungle episode The gameplay is classic styled mostly without slaughter but there are some large fights,Missing,,,,,,
20,[5],261466,Shrine of the Silver CyberPrimate,[6],Shrine of the Silver CyberPrimate is a 6 map technomesoamerican adventure from the Diabolical Broadcasting Korporation serving as a semispiritual successor to DBP09 Legends of the Hidden Tech The project targets ZDoom 281 but has also been tested with recent GZDoom versions especially 4100 As with previous DBKs the goal here is to use wellestablished ZDoom features to suggest a hypothetical 90s game engine made up of bits of Doom Build Quake and Hexen Since our goal is not to push the bleeding edge of modern source ports effort has been made to keep the set playable on lowerspec machines,The universes favorite ultraviolent Mesoamericanthemed game show has moved to a new network the Diabolical Broadcasting Korporation Take the role of a lucky contestant and battle your way through six thrilling adventurous maps to find the legendary Silver CyberPrimate And didnt someone say there were gonna be prizes,,,,,,
21,Missing,261386,Truck Preparation For Driving VR Training,[6],Train your professional skills inTruck Preparation For Driving VR Training safely and in full correspondence with international standards,Missing,,,,,,
22,[5],259388,Deep Breath,[6],Deep Breath  a short mapset at the bottom of the ocean  In this project our little green hero steps through the entryway airlock of an underwater base the HADES Hydro Atomic Deepsea Experimental Science Facility to find that demons are running rampant Our mission get to the heart of the Facility and activate the selfdestruct protocol Hopefully Doomguy can make it out alive or at least sink down to a watery grave with all the monsters  Greatly inspired by AD_79s map 05 from Tetanus by Squonker Team  the ingenious mechanics and visuals used in that map made me think of other potential ways in which to continue that narrative and visual thread,Missing,,,,,,
23,[5],259357,Terminal Stages of Nostalgia,[6],A moderatetolarge single map for vanilla Doom II,Missing,,,,,,
24,"[5, 32, 33]",259291,Romgadr,"[6, 82]",This is a minigame shmup Defeat all 20 midbosses When the last boss is defeated it is the end,Missing,,,,,,
25,Missing,258895,Victoria 3: American Buildings Pack,[6],In many ways the 19th century was the American Century  continental expansion rapid population growth and the stirring of an overseas empire This pack includes unique building models for the United States special American designs for other structures and the American Capitol Building as a landmark,Missing,,,,,,
26,"[2, 31, 32, 34]",257842,My Summer Adventure: Memories of Another Life,[6],A strange incident turns the life of an ordinary young man upside down when having fallen asleep on a regular train commute he wakes up in another country in a body of a Japanese student An unforgettable summer adventure awaits promising many fateful meetings and momentous occasions,Missing,0.0,0.0,0.0,0.0,0.0,0.0
27,"[12, 31]",257480,Genshin Impact: Duel! The Summoners' Summit!,"[6, 34, 39, 48, 167]",Version 37 of Genshin Impact which included  New character Kirara  New major update for Genius Invokation TCG  New hangout events for Kaveh  New story quest for Yoimiya  New main event Duel The Summoners Summit  and more,A game of cards is much like life Fortune decides the hand you are dealt while experience might let you shift the tides of possibility toward all that could be Life is much like a game of cards Victory is but the culminating point in the journey  the thrills of the duel however represent strings to melodies everlasting,,,,,,
28,"[13, 15]",257084,Cities: Skylines - Piano Tunes Radio,"[6, 48, 49]",Piano Tunes is the perfect Radio Station for those of you who love classical whimsical elegant piano music With 16 songs and approximately one hour of music your city will rise flawlessly from your fingertips,Missing,,,,,,
29,"[13, 15]",257082,Cities: Skylines - 90s Pop Radio,"[6, 48, 49]",90s lovers out there this Radio Station is for you With 90s Pop youll fall in love with this incredible music once again enjoy 16 new tracks and almost one hour of music,Missing,,,,,,
30,Missing,256702,Lost Bits,[6],Lost Bits is a 25D retro platformer where you join M1L0 on his quest for the Great Legume  Help M1L0 play through some old PC games on his quest to find the Great Legume lost bits is a 25D action platformer with charming graphics and a retro aesthetic Explore a sunken battleship grapple through a construction site and fight the computers operating system in this short game,Missing,0.0,0.0,0.0,60.0,1.0,0.0
31,"[12, 33]",256686,Twinkle Star Knights,"[6, 34, 39]",Twinkle Star Knights is Bishoujo RPG based on the Japanese visual novel Twinkle Crusaders developed by Lillian and released in September 2008 The project is supervised and planned by game artist Rei Kannagi from Creative Team Kumasan,Set in a world trembling in fear of a calamitous disaster known as the Recreate and the sudden emergence of menacing monsters In response to this crisis the state and Ryusei Shikoku collaborate to establish two academies Ryusei Academy and Shinsei Academy These institutions are designed to train Star Knights who are hoped to counteract Recreate,,,,,,
32,[9],256623,Neon Fantasy: Furries,[6],Neon Fantasy Furries is the perfect puzzle game for a fun and rewarding pastime Collect pictures develop your attention and feel like a part of the beautiful neon world,Missing,0.0,0.0,1.03,20.0,1.0,2.0
33,"[32, 34]",256609,MM,"[6, 14]",A narrative game about a mans request for a life without regrets,Did I live a life without regrets  A man who made the imperfect timemachine request you to conclude his life Its unable to rewind the time but able to rewrite the speed of the memory A happy and pleasant memory passes so fast An hour feels like a minute But a boring and sad memory feels like endless A minute turns into an hour  Which memory is precious By inserting the memory into the time module you can conclude his life Is it possible to live a life without regrets Its up to you,,,,,,
34,"[31, 32, 33]",256121,Maple Winters in Leafbud Rampage!!,"[3, 6, 14]",An action roguelite horde survival game about Maple Winters,The Leafbuds want to create the ultimate leafpile and for that they need the ultimate leaf Maple Winters Maple must defend herself using her arsenal of items to administer wholesome chaos,,,,,,
35,[9],255715,Ronald McDonalds,"[3, 6, 14]",Your objective is to steal the secret recipe from McDonalds without Ronald finding you,Missing,,,,,,
36,Missing,254830,Fortnite: Coldest Circle Quest Pack,"[6, 130]",When fiends freeze over you get the Coldest Circles Quest Pack Complete Quests to unlock  Underworld Desdemona Outfit  Frozen Oculara Back Bling  Cold Furia Pickaxe  Frozen Over Wrap,Missing,,,,,,
37,"[13, 31]",254791,Minecraft: Sonic Texture Pack,"[6, 34, 39, 48, 49, 130, 169]",See the world through the eyes of Sonic your favorite blue hedgehog This complete texture pack inspired by iconic zones like Green Hill and Labyrinth transforms your entire world into a unique but familiar landscape Just beware the hostile mobs  theyve gotten a Badnik new look,Missing,,,,,,
38,[4],254566,Guilty Gear: Strive - Additional Battle Stage: Tír na nÓg,"[6, 48, 49, 167, 169]",The additional battle stage Tír na nÓg becomes selectable ingame,Missing,,,,,,
39,[34],254092,Rotten Dinner,"[3, 6, 14]",Its such a beautiful evening Wont you share it with me over a lovely dinner What is the main course my sweetheart Oh its a secret,Missing,,,,,,
40,"[13, 32]",253849,Sex Simulator: BDSM 2,"[3, 6, 14]",An interactive sex simulation game with visual novel elements featuring high definition graphics and videos with realisticlooking characters set in a beautiful decor You continue to play the role of an experienced Dom who initiates three curious women into the world of BDSM sex in this sequel,Missing,,,,,,
41,[32],253771,Duke Burger,[6],After saving mankind Duke Nukem retired He opened a little restaurant Duke Burger And now he is an honest businessman,Missing,,,,,,
42,[34],253741,Apricity,"[3, 6, 14]",Chiara leads a solitary life barred from stepping out during winter due to the mythical dangers that lurk within But her curiosity gets the better of her and she escapes to catch a glimpse of the famous Starflake flowers before they disappear when Spring arrives Thats when she stumbles upon the fabled snow spirit and a strange bond begins to blossom between them,Missing,,,,,,
43,"[13, 32]",253730,Groceries and JumpScares,[6],Can you survive the horrors of retail You are the newest employee under contract at the local Soke Co Groceries Store Manage the amount of stock daily to try to satisfy the on slot of customers Mark the price up on products to make more profit and buy more stock All while quelling the hunger of the thing that lurks in the basement Try to survive and remember the Soke Co Groceries motto Try Not To Get Eaten,Missing,,,,,,
44,"[15, 31, 32]",253522,Homicipher: Prologue,[6],Homicipher is an adventure horror game where youll decipher a language fall in love and escape Players will face various horrifying men in this strange world Your aim is to decipher their language and eventually find a way to escape Meanwhile a peculiar feeling also starts to bloom,Homicipher tells a story of a girl who wanders into the Other World and on her way to escape she encounters many strange men who speak an unknown language You will interpret their language based on their expressions and gestures By continuously deciphering the language and filling in appropriate words you will understand the key clues behind all this and escape from the Other World  However the players characters dangerously fall in love with these strange men when communicating Get a taste of living on the edge by facing situations where the wrong choice can decide your life or death Understand their language and make the correct decision to stay alive,0.0,0.73,0.0,0.0,0.0,1.0
45,[31],252995,Sum,"[6, 14]",I dont know what Ive become or if Ive always been this way But I do know that I love you too and that is enough,Missing,,,,,,
46,"[9, 32]",252914,Sweepers Mine,[6],Sweepers Mine is a standard minesweeper game featuring different difficulty modes Classic Easy Medium Expert Custom,Missing,,,,,,
47,Missing,252592,Cities: Skylines - Hotels & Retreats Bundle,"[6, 48, 49]",The Hotels  Retreats bundle includes a miniexpansion for Cities Skylines alongside a selection of content and music to keep your cities thriving for a long time Get Hotels  Retreats and enjoy buildings and music inspired by cities the world over  The bundle includes  Hotels  Retreats Miniexpansion  Brooklyn  Queens Content Creator Pack  Railroads of Japan Content Creator Pack  Industrial Evolution Content Creator Pack  Piano Tunes Radio Station  90s Pop Radio Station,Missing,,,,,,
48,[32],252539,Bloody Woman,[6],A young man accepts a job in a laundry in the late hours But he discovers that something terrible has happened there and his life is in danger,Missing,,,,,,
49,Missing,252536,Onto Maizilind Unto Infinity: Act I - Destruction's Wake,"[6, 14]",Onto Maizilind Unto Infinity is a 3 act game about the end of human civilization and the torment that consumes humanity on the other side of our longawaited apocalypse,Missing,,,,,,
50,"[12, 31]",252387,One Piece Odyssey: Reunion of Memories,"[6, 48, 49, 167, 169]",Come join the Straw Hats for a new and different way to experience One Piece Odyssey One Piece Odyssey Reunion of Memories is available in the Deluxe version of the game and purchasable separately Expansion content is available after players finish the main game One Piece Odyssey is available for PlayStation4 PlayStation5 Xbox Series XS and PC,Missing,,,,,,
