first_release_date,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
1699228800,"[13, 31, 32]",275906,Cold Abyss,[6],Cold Abyss is a relaxing and atmospheric exploration game where you repair internet cables on the bottom of the ocean There are no enemies or other forms of danger down there Just you The perfect game to unwind after a long day,Missing,nan,nan,nan,nan,nan,nan
1699056000,"[12, 32]",275904,Suspicious Person Information,[6],A short horror game set in Japan There are two possible endings,It seems that suspicious individuals have been frequently spotted around this area recently Will you be able to return home safely,nan,nan,nan,nan,nan,nan
1699401600,[34],275801,Size Experiments at Morinomma Tech,[6],As a worker at Morinomma Tech with some experiment happy uppers its on you to assist them with their experiments and even test them out First you need to find them around the building Three bottles to find and use on you or your other scientists leading the experiments maybe something else to do when you find all three,Missing,nan,nan,nan,nan,nan,nan
1699574400,[12],275799,Dragon Quest +,[6],All is darkness The Dragon Lord has captured the Princess and stolen The Legendary Heros Ball of Light You are the Legendary Heros heir You have been assigned a most dangerous task to rescue the Kings daughter and retrieve the Ball of Light The journey ahead will be tough but it is your destiny Three Sages await your arrival each willing to reward you with mystical items of great power Gather these three items let your wits be about you as you gain experience weapons and armor as you battle your way through Alefgard Rest if you must Search out the Dragon Lords lair and face your destiny in the role playing epic Dragon Quest,Missing,nan,nan,nan,nan,nan,nan
1699401600,[9],275788,Promise Plane,[6],Promise Plane is a simple yet notoriously hard mobile game The player controls a bird depicted as a pixelated creature and the goal is to navigate it through a succession of pipes Tapping the screen makes the bird flap its wings forcing it to ascend momentarily The trick lies in timing these taps to keep the bird aloft and manage it between the openings in the pipes The game is noted for its brutal difficulty requiring precision and quick reflexes Each successful pass through a set of pipes awards the player a point and the objective is to achieve the maximum score possible before inevitably crashing with a pipe,Missing,nan,nan,nan,nan,nan,nan
1699401600,[5],275777,The Valley of Calm Trees,[6],The Valley of Calm Trees is a fairly short limitremoving single map for Doom 2 set in a relaxing forested,Missing,nan,nan,nan,nan,nan,nan
1699401600,[5],275776,Arriving Early,[6],Arriving Early is a sequel  spinoff of the Running Late series Includes 15 levels of high octane heart pounding action,Missing,nan,nan,nan,nan,nan,nan
1699488000,"[12, 13, 31, 32]",275677,Bem Feito,"[6, 48, 49, 130, 167, 169]",Bem Feito is a Life Sim where players follow Reginaldo a charming and almost silent protagonist Reginaldos simple life revolves around his daily household tasks captivating friends and perhaps unexpected choices that subtly shape the course of the game,Missing,1.5,1.75,2.25,90.0,2.0,4.0
1700092800,"[13, 14]",275597,Minigolf Galaxy,[6],Minigolf Galaxy invites you to create your very own cosmic minigolf courses engage in fun challenges and embark on a stellar journey through the universe,Missing,nan,nan,nan,nan,nan,nan
1699315200,[12],275472,World of Warcraft: Dragonflight - Guardians of the Dream,"[6, 14]",The Emerald Dream is a verdant and powerful place that serves as a source of life and hope and is essential to Azeroths continued survival It has been protected for centuries under the watchful eyes of the Green Dragonflight In those centuries they have fought off the Old Gods the Burning Legion and other threats Now vulnerable to attack once again from Fyrakk and his forces Azeroths champions must pull together to save it from destruction at all costs  A special seed planted by Tyrande has grown into a new World Tree and is on the verge of crossing into Azeroth Fyrakk and his forces including his new alliesthe Druids of the Flame move beneath the boughs of the World Tree inflaming the Dream denizens as they attempt to infuse the heart of the World Tree with fire and use it as a conduit to spread eternal flames throughout Azeroth,Missing,nan,nan,nan,nan,nan,nan
1699228800,"[12, 32]",275460,Dead Plate,[6],Short 2D restaurant tycoon themed rpg horror game with visual novel and pointandclick elements set in 1960s France following the story of a lively waiter named Rody trying to make as much money as possible in a week at a fancy bistro owned by a charismatic and successful chef Vince,Missing,nan,nan,nan,nan,nan,nan
1699056000,[5],275316,The Brutalist Volumes,[6],Enter a Quake world of pure concrete minimalist structures and eldritch horror What started as just a map for QBJ2 got out of hand and became a standalone episode,Missing,nan,nan,nan,nan,nan,nan
1698883200,[5],275310,Zen 2212 A.D.,[6],A single Doom 2 map set in a futuristic dystopian city,Missing,nan,nan,nan,nan,nan,nan
1698969600,[5],275309,Black Diamond,[6],Black Diamond is a set of 5 boomcompatible maps set in the cavernous void of the sea Uncover a forgotten civilization on your quest for the Black Diamond a mystical artifact said to let its bearer see beyond death,Missing,nan,nan,nan,nan,nan,nan
