,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[2],274256,Five Nights at SCP,[6],Missing,Missing,Missing,,,,,,
1,"[2, 32]",274065,Five Nights at Sonic's 2,[6],The games main protagonist is Amy Rose a pink hedgehog who applies for a job as a nightguard at the New and Improved Sonics Hero Pizza Palace During her shifts she finds that the once charming robots onstage arent her friends when the lights go out With only a batterypowered flashlight to light up the dark corridors of the building a Sonic mask to disguise herself and guidance from a familiar employee of the SHPP establishment that isnt too reassuring Amy must face the horrors that stalk the halls at night,Welcome to the new and improved Sonics Hero Pizza Palace Here you will find 4 of the most recognizable heroes of the 1990s except that they are animatronics The clones were a little spoiled so we left it Do not worry Even if you work at night nothing should go wrong,Missing,,,,,,
2,Missing,272456,Sigil Valley,[6],Missing,This game has no ending explore a tranquil moonscape touch sculptures learn their glyphic language and hear their songs,Missing,,,,,,
3,[5],271450,Retro Jam 3,[6],Missing,Third retro map jam two Vertical metal  runicthemed maps by FifthElephant and skacky The map sources are included in the pak,Missing,,,,,,
4,[5],261497,Reconstruction/Decomposition,[6],Missing,A silver spaceship with custom textures Loosely based on Termination by mrthejoshmon The second map in the wad is just a small outro level,Missing,,,,,,
5,[34],261075,"Your, Endless Mind. Glava I: My","[3, 6, 34]",Missing,Do you really want to know You need to understand that theres no turning back Here every action you take has consequences Do you think you know everything about yourself I will prove to you that thats not true Are you ready Hes already waiting Your Endless Mind,Missing,,,,,,
6,[34],259773,Win The Game,"[3, 6, 14]",As the character Shinobu put yourself into your very own Battle Royaleinspired murder game You will start the game with some food rations and a random weapon You can get anything from a shoe to a flame thrower Try to kill everybody within the set time limit or find if theres another way off the island,You wake up on a remote island with a weapon and a message to win the game Fight for your life against your fellow students in this murder game inspired by Battle Royale  The Hunger Games,Missing,,,,,,
7,"[15, 32, 33]",255631,Copycat,[6],Missing,Turn based action game  Defeat enemies to absorb their power  Destroy the mimic crystal to ascend,Missing,,,,,,
8,[31],243616,The Legend of Zelda: Return of the Hylian SE,"[3, 6, 14]",After Links victory over Ganon in A Link to the Past no one knows what Links wish to the Triforce was But this wish reunified the Light World and the Dark World and brought the Seven Wise Mens descendants back to life Peace was back in Hyrule But unfortunately this wish also ressurected Ganon and his henchmen He was preparing his revenge but he couldnt do anything without the Triforce  One night a familiar voice speaks to Link in his sleep,The Legend of Zelda Return of the Hylian SE is a Solarusmade remake of Vincent Jouillats first game hence the SE suffix stands for Solarus Edition It was first released on 12th August 2006 and made with another custom engine in C It has been remade entirely in Solarus to take advantage of the better capabilities of the engine,Missing,,,,,,
9,"[2, 31]",232764,The Visitor 3,[6],Missing,Commander Moss and his crew are back with another dangerous mission An Omega 1 prisoner transport ship carrying two prisoners sent a distress beacon before disappearing from radar President Gooman decides to send Slug Scar Commander Moss and his new human assistant Head to the ships last known coordinates Moss and his crew must find this ship and rescue any survivors Once there Commander Moss soon realizes there is more going on than a disabled ship A new life form emerges and puts everyone on board the ship at risk,Missing,,,,,,
10,[13],226648,Rocksmith 2014: Alt-Rock Song Pack,[6],Missing,Play Through Glass by Stone Sour My Own Worst Enemy by Lit Ocean Avenue by Yellowcard Feel the Pain by Dinosaur Jr and Hemorrhage In My Hands by Fuel on any electric guitar or bass Each song includes a new authentic tone,Missing,,,,,,
11,"[12, 31]",224465,Neverwinter: Elemental Evil,"[6, 49]",Missing,Neverwinter Elemental Evil is the 6th campaign expansion module for the Neverwinter massivemultiplayer roleplaying game Released in April 2015 the expansion added a new class increased level cap expansion of the games profession system a new campaign and several new adventure zones,Missing,,,,,,
12,"[13, 35]",219008,Kanazawa Shogi: Level 300,"[6, 48, 130]",Missing,Missing,Missing,,,,,,
13,"[2, 15, 32]",217751,Five Golden Nights at Freddy's 2,"[6, 34]",Missing,Missing,Missing,,,,,,
14,[32],205991,Let's Play: The Shining,"[6, 14, 82]",Missing,An Atariesque supernatural horror game based on Stanley Kubricks movie The Shining which was in turn based on Stephen Kings book The Shining,Missing,,,,,,
15,[12],203732,Dragon Quest X: Inishie no Ryuu no Denshou Online,"[5, 6, 41, 48, 130]",Missing,The second expansion for Dragon Quest X Online known as Version 3,Missing,,,,,,
