,id,name,platforms,summary,genres,storyline,main,extra,completionist,review_score,review_count,people_polled
428,150984,Mutated Muter's Invasion,"[3, 6]",A fun platformer adventure game about a music note fighting mobs and collecting powerups and other items with a couple sidescrolling shooter levels Neutralize the evil Mutated Muter a magical monster from the outer space who wants to steal all the music from the world,"[31, 32]",Missing,,,,,,
429,150969,Holostar Command: Quantum Alliance,[6],Holostar Command is a fastpaced shooter game that brings Classic Mid20th Century Space Arcade Games into the 21st Century and right into your living room Todays tech Virtual Mixed  Augmented Realities with a little nostalgia tossed in to honor the games we loved from days gone by,"[31, 32]",Missing,,,,,,
430,150955,VHAIP,[6],Vhaip is a scary survival game in VR Survive to raptors in coop or solo up to 4 players Survive or kill are the only way  Will you survive ,[31],Missing,,,,,,
431,150937,Prison 69,[6],Prsion 69  thirdperson Box fighting,Missing,Missing,,,,,,
432,150923,Night Wanderings,[6],Night Wanderings is a classic 2D arcade shooter game with tons of enemies and settlements you need to defend,[32],Missing,,,,,,
433,150898,Yurikago,[6],This is a game where you can escape if you do something Yuri,"[31, 32]",Missing,,,,,,
434,150884,Dark Sheep,"[3, 6, 14]",Dark Sheep is a blockpushing puzzle game with horror elements and a love letter to the Commodore 64 Classic Sokoban new twists Throughout the game youll be accompanied by a soundtrack created with genuine 1989 technology,"[9, 31, 32]",As a new member of an unholy cult your job is to kidnap sheep keeping them safe until the day of the ritual comes Trick the sheep by using the grass as a bait to lure them into cages Plan your moves ahead Two sheep cannot take the same path Youll do things in the name of your Dark Lord that you wouldnt do in other puzzle games,0.0,0.0,0.0,0.0,0.0,0.0
435,150876,Bridge 2 Code,"[6, 14]",Bridge 2 Code is a bridgebuilding game where you can code a bridge using a simple programming language Your goal is to create a bridge that can support a car going from the start to the end,"[13, 15]",Missing,,,,,,
436,150859,Memorize Cards,[6],This is a little game in the genre of paired images for memory,[32],Missing,,,,,,
437,150843,DuelVox: Max Quality,[6],DuelVox Max Quality is an offline firstperson shooter made in western style In this game there are many levels with different tasks to complete them you will need ingenuity and dexterity and sometimes even strategy,"[13, 32]",Missing,,,,,,
438,150826,Pandemic Love,[6],A short visual novel about isolation You try to search for comfort in the lonesome people around you Keeping the darkness at bay with small embers of light Will you let the fear change you,"[13, 32]",Missing,,,,,,
439,150822,Dirty Blood,[6],The Blood Of The Undead Is Dirty Play As The Specialist Soldier And Save The World From The Undead ZOMBIES From Completing Your Mission,[32],Missing,,,,,,
440,150740,Cute Dark Elves,[6],This game is a classic puzzle game with several levels of difficulty and beautiful arts Enjoy ,[32],Missing,,,,,,
441,150726,末日血战,[6],Missing,"[12, 15, 31]",Missing,,,,,,
442,150710,The Bits That Saved the Galaxy,"[3, 6]",Grab up to three friends for a lofi bit blasting adventure Fight your way through unique worlds and play styles to save the galaxy,"[31, 32]",Missing,,,,,,
443,150688,VR Walking Simulator,[6],It is a VR Walking Simulator Nothing more nothing less Explore beautiful scenes optimized for VR viewing take pictures of the scenery make a collage and relax,"[13, 31]",Missing,,,,,,
444,150629,Wild world,[6],This is Wild World there is danger at every step,"[13, 31, 32]",Missing,,,,,,
445,150609,Unity of Command II: Barbarossa,"[6, 14]",In this DLC you command Axis forces during Operation Barbarossa from their summer of roaring victories to the painful halt at the gates of Moscow in the winter of 194142,"[13, 15, 32]",Missing,,,,,,
446,150583,Inferno: Beyond the 7th Circle,[6],GridBased First Person Dungeon Crawler with survival elements Its inspired by classic cRPG from the 90s An oldschool game for hardcore players,"[12, 31]",Missing,,,,,,
447,150485,Ultimate Demolition,[6],This is a challenging leisure puzzle game Players need to make all the balls reach the target point in a limited time so as to stop the countdown of the time bomb,[32],Missing,,,,,,
448,150483,Balance Ball,[6],In the game you have to balance the ball on the platform so as not to fall into the abyss Good luck in the exciting world of Balance Ball,"[13, 15, 31, 32]",Missing,,,,,,
449,150425,Colorize Inspect,[6],In this little game you have to choose the appropriate color,[32],Missing,,,,,,
450,150423,Childhood Friends,[6],Yukihisa was an ordinary student when his childhood friend Shiho proposes that they practice being boyfriend and girlfriend to gain confidence in their future relationships What will they learn from this practice about themselves and each other,[31],Missing,,,,,,
451,150143,Red Archer,"[6, 82]",Red Archer is a first person shooter where you play as an archer and shoot demons as you descend deeper into the temple,"[5, 32, 33]",Missing,,,,,,
452,150086,Wordle,"[6, 34]",Wordle is a puzzle game Find words by moving the mouse among the presented letters,"[9, 13, 32]",Missing,5.6,0.0,0.0,67.0,9.0,3.0
453,150063,Unbuild,"[6, 34, 39]",Here you have 15 completed building block constructs Can you take it brick by brick without anything falling to the ground  Which stone you can take away determined by chance  Have fun dismantling,"[9, 15]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
454,150044,Prisoner 17,[6],Prisoner 17 is a dynamic firstperson action platformer In Death Run mode In which you have to play the role of a prisoner who got a chance at redemption Pass all the tests and get the freedom you deserve,"[5, 8, 31, 32]",Missing,,,,,,
455,149954,Europa Universalis IV: Leviathan,"[3, 6, 14]",Features of Europa Universalis IV Leviathan include Curry Favors with Other Nations New Regency Options Specialized Colonial Nations Concentrate Development Pillage Capital Expand Infrastructure Centralize State Totemism Monuments New Unit Models And more,"[13, 15]",Missing,,,,,,
456,149948,Cosmica,[6],A strategic scifi roguelite deck building game with unique storytelling and strategic elements,"[15, 32]",Missing,,,,,,
457,149942,NinMaki,[6],This is different from the general ninja game because you will play a ninegg a novice ninja There are so few skills that you cant even attack the enemy Take advantage of everything around you avoid a lot of killing collect broken scrolls and challenge the final BOSS,"[31, 32]",Missing,,,,,,
458,149925,Cions of Vega,"[6, 48, 49, 167, 169]",Your daughter Leila ran away from home so youre going after her to find where shes hiding Your brother Logan accompanies you throughout your journey,[31],Missing,0.95,0.0,1.4,60.0,3.0,4.0
459,149913,Smart Moves 2,"[6, 49]",Smart Moves 2 is a pixelart puzzle game with turnbased combat mechanics Different worlds with levels of increasing difficulty sneaky monsters unexpected obstacles and great treasures await you Smart moves are the key to survival,[32],Missing,0.0,0.0,0.0,0.0,0.0,0.0
460,149859,Jurassic Fantasy,"[3, 6, 14]",Follow a young wizard in his path to find the Magical Stones and himself in this Jurassic Fantasy,"[31, 32]",Missing,,,,,,
461,149843,Castle of Collapse,[6],Just go up dont look down and take down the enemies You will be addicted to this platform game that will challenge you to the fullest,[32],Missing,,,,,,
462,149842,Car Drive,[6],Car Drive is a game where you need to get to the finish line by transport,"[31, 32]",Missing,,,,,,
