first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
808876800,[5],273056,Alleys,[6],Now that the Callisto anomaly has been brought back to earth someone else can mop up the remainsafter all we now have the measure of the monsters and are starting to clear them out of most of earth  But there is a problemone of the spooks at the military academy came up to you in the camp laboratory last night with a bunch of old books and things in a timestasis case  He said there were quite a few of them in a military store in deepest Iowa thats right the one where the Ark of the Covenant is stored  and told you that this was a CLASS 1 secret Even the president was never told about these and up until now noone has known how to interpret them They are in a variety of hands some ancient one even seems to be a papyrus scroll with hieroglyphics although the spook will only mutter darkly about plagues and darknesses when you ask about it and some more modern  The upshot of it is that all describe foul beings that have haunted some troubled spots of earth The spook produces a marbled edged ledger its pages spotted with blood and edges burnt  You read the copperplate with a sinking feeling The ledger of William Jago butcher at the sign of the Red Deaths Head Solomons End Whitechapel London in the year 1858I know the things were out in the alleyways in Whitechapel again last nightI know it is not a dream and I saw the two watch men all burnt up by the fire from the evil brown things handsall the people hid behind their doorways and even the nightwalkers fledthere was a great beast of some kind that made a blasphemous noise in which I could hear no words spokennoises as of engines came from the site where the new buildings are to be made by CutThroat AlleyI heard terrible deep laughter vile laughtersome archfiend is hiding in the alleyways and I fear for my soul  All we know Blazkowicz is that Jago and his shop and all the area around it were destroyed in a huge fire and they never recovered any bodies says the spook but theres a problem the British government psychics say that the bastards have come back twiceonce during the 1880s and again during the first world war at least one of the Jack the Ripper sightings was of a brown thing the size of a man with thorns growing from its legs and arms and fire around itthey put the man who reported it in Bedlam but we think we know the truth nowand they say that the problem may emerge againsoon  The spook tells you about the experiments with the Callisto anomaly and the attempts to use it to see the heart of Victorian London  Unfortunately we lost a few men attempting to get through Blazkowiczkeep an eye out for them some may be rescuableWe think that most of the ammunition and stores we sent through has reached the target area but we arent sure we are not even sure if we can bring you home keep a sharp eye for anything that looks like a switchif the creatures are there itll be heavily guarded  Some of our people have a theory that the Callisto anomaly will transport you to the nearest brood of the hellspawnthe nearest to here is London 1858 but there may not be a way straight back Theres anotherwell that can wait It looks like your tour of duty marineif you dont make it straight back read the update on your belt computer  its updated automatically and it should give you some idea of what youre up againstgood luck  You strap on your military revolver walk up to the Anomaly Lab OK lets rock and you step into the machine Night settles,The end of the Callisto campaign should have meant wellearnt retirement for you marine,Missing,nan,nan,nan,nan,nan,nan
807926400,[5],268624,Ye Olde Smudge,[6],Missing,Ye Olde Smudge is a 1995 Heretic mapset by Christen Klie consisting of three levels,Missing,nan,nan,nan,nan,nan,nan
808444800,Missing,261955,Punisher,[6],Missing,A rehashed MAP01  but with more monsters than you can shake a BFG at,Missing,nan,nan,nan,nan,nan,nan
809654400,[5],252212,Fava Beans,[6],Missing,Fava Beans is a Doom episode replacement mod of nine levels created by Sean Birkel with one level from Ben Gates,Missing,nan,nan,nan,nan,nan,nan
809222400,[31],176006,Microsoft's Excel 95: Hall of Tortured Souls,[6],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
808099200,"[2, 34]",134447,Living Books: Dr. Seuss's ABC,[6],Missing,The magic of Dr Seusss popular books comes to life in this funfilled introduction to the ABCs of reading Click on a noun and see its picture Click on a verb to see an action Its easy for kids to replay a favorite part skip ahead and learn more than 600 different words while they play Introduce your children to Dr Seusss wondrous world today,Missing,nan,nan,nan,nan,nan,nan
809568000,[2],129104,JumpStart Preschool,"[6, 14]",Missing,JumpStart Preschool is a game released by Knowledge Adventure in 1995 USA that focuses on educational concepts for preschoolers ages 2 to 4 It would later be replaced by JumpStart Preschool 1998 It is also known as Jump Ahead Preschool in Europe UK  In the game the player accompanies four animal children to preschool The player can engage in many activities in the preschool classroom,Missing,nan,nan,nan,nan,nan,nan
809308800,"[31, 34]",73791,May Club,"[6, 149]",Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
808099200,"[31, 34]",73200,Immoral Study Scenario 1: Shirakawa Reiko,"[6, 149]",Missing,A visual novel about a teacher teaching a beautiful student,Missing,nan,nan,nan,nan,nan,nan
809049600,"[2, 9, 26]",64373,Pantsylvania,"[6, 14]",Missing,The Gigglebone Gang Pantsylvania is an educations game The gang visits the kingdom Pantsylvania where they teach children various facts bits of fiction various bouts of craziness and can enter ten destinations eg a restaurant the castle or a school Each location has five activities which are reached by clicking on one of the gang members or the king,Missing,nan,nan,nan,nan,nan,nan
807580800,[15],50089,Ascendancy,"[6, 13]",Missing,Ascendancy is similar to but nevertheless very different from Master of Orion You play one of many races each with a special ability and special character traits who set off to explore space erect colonies which can each have individual purposes depending on their raw materials and engage in battles when you clash with others who have the same goals Weapons on the ships use power which has to be supplied somehow This game introduces many original concepts such as the Research Tree  a special scientific display in which discoveries are depicted as icons connected by lines to the parent technological breakthroughs and child ones similar to the technology advances in Civilization but presented in a much more visual way,Missing,32.75,0.0,0.0,80.0,2.0,1.0
