,id,name,platforms,storyline,summary,genres,main,extra,completionist,review_score,review_count,people_polled
0,274254,Out of Gas,[6],Youre driving down the road in the middle of the night through a huge forest but all of the sudden you run out of gas You have no other choice than to go looking for gas Prey to The Gods that you will find that gas and get the hell out of there,Retro horror with PSX style graphics where you run out of gas,Missing,2.96,0.0,0.0,0.0,0.0,1.0
1,273535,Solve The Case,"[6, 82]",Missing,Find out all details of the kidnapping through conversations with various people,Missing,,,,,,
2,272509,Sicko Sanctum: Megahecks,[6],Griffith having made it to the bottom of the Monolith of Foolery so close to forgiveness of their crimes was killed by Martation Now in a mysterious codified hell Griffith must trudge through endless heaps of enemies in hopes that they will make it out and finally get revenge on Martation,An infinite wavebased movement shooter that takes place in a surreal code hell Your objective get revenge and go beyond With the use of unlimited upgrades it looks easy on the surface But with harderthanever enemies special stages and now a final boss its a tough time,"[5, 32]",,,,,,
3,271814,Castle Puzzlefort,[6],Missing,Small medieval  castle themed puzzle level with no enemies for vanilla Quake Inspired by the Amiga game Castle Master Also supports deathmatch Map source is included,[5],,,,,,
4,271319,Tempus is the Ignis,[6],Missing,Medium sized industrial Cr8 base map a remix of rd1m4 from Runners Delight 1999 Built on Alkaline 12 RC1 devkit already included Map source is included too,[5],,,,,,
5,271229,Fhtagn Nagh,[6],Missing,Large tower temple map built entirely on the 64unit grid A brushwork experiment taken to strange extremes Requires Copper v120 NOT included Custom music by Pantheist,[5],,,,,,
6,271210,Luce's Journey: A Victorian Trading Tale,"[3, 6, 14]",Missing,Embark on a journey through the Victorian era as Luce a young child determined to survive the harsh winter months In this survival experience youll need to manage your resources carefully keeping track of hunger cold money and of course your most valuable resource  matches Youll need to make strategic decisions about when to trade your matches Buying them at a low price and selling them at a higher price is key to your success But be warned  the market can be unpredictable and youll need to keep an eye on the daily match price Experience the thrill of the trade as you work to survive and thrive in this harsh and cruel society,[24],,,,,,
7,271206,Ciudad Anómala de Buenos Aires,[6],Missing,Ciudad Anómala de Buenos Aires is an interactive narrative of strange but true stories that took place in the Autonomous City of Buenos Aires It has several mini games humor and constant interaction with mysterious and ghostly characters Moreover it is riddled with references to Argentine culture from Borges to Cha Cha Cha and the video games that shaped us,[2],,,,,,
8,271049,Twisted Christmas Jam 2022,[6],Missing,13 varied some rather large maps  custom start map This year there was no 10243 space constraint and jammers used a mix of Halloween and Christmas themes since there was no Halloween jam,[5],,,,,,
9,269568,John Wheel Memorial,[6],Missing,Missing,[5],,,,,,
10,267605,100animalese,"[6, 14, 130]",Missing,An actionadventure game where you work together with a total of 100 animals to escape from a mysterious facility,"[9, 12, 31]",,,,,,
11,265995,A War On Christmas,[6],Missing,After reports of a mass slaughtering of good little children by a crazed man in a Santa suit you track them down to one final standoff This is A War On Christmas,[5],,,,,,
12,265909,Experiment,[6],Missing,You dont know where you are but you know you need to get out of there,[5],,,,,,
13,264896,Dr. Robotnik's Mean Bean Tetris,[6],On a distant and mysterious island the evil Dr Robotnik was immersed in his most perverse experiments Determined to create the ultimate weapon to conquer the world he manipulated the very essence of time and space However an unexpected error in his experiment caused a dimensional rift giving rise to an evil double of himself  Now the island is in chaos The evil Badniks created by Dr Robotnik are bewildered and cant tell the real Dr Robotnik from the impostor To find the true leader the Badniks hold an enigmatic Mean Bean Tetris contest Only the original Dr Robotnik with his cunning and skills will be able to prove that he is the real one  Get ready for the most frantic block battle in Dr Robotniks Mean Bean Tetris Join Dr Robotnik and his gang of evil Beans in an exciting Tetris challenge packed with action and strategy,Dr Robotniks Mean Bean Tetris is a fan game where after causing a dimensional rift and giving rise to an evil double of himself the Badniks hold an enigmatic Mean Bean Tetris contest Only the original Dr Robotnik with his cunning and skills will be able to prove that he is the real one,"[9, 15, 33]",0.0,0.0,0.0,0.0,0.0,0.0
14,264405,Blasé Ace,"[6, 14]",Missing,Anime clichés just dont hit the same when youre sexaverse Maybe youre not bawling over how this guy slipped facefirst into your crotch You might not even be disturbed justlikeconfused  Join NB student Beverly Nicks on a short funny positive beyourselfy kind of a journey,[34],,,,,,
