first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1041292800,145553,Tir-nan-óg III,[6],Tirnanóg III is a roleplaying game developed and published by SystemSoft which was released in Japan in 2002,[12],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,144860,Fisher-Price: Little People Discovery Airport,[6],Children ages 2 to 4 join their favorite Little People friends for a day of fun and learning at the Little People Discovery Airport Players visit the control tower help sort suitcases onto planes learn about the weather and even build and paint a new airplane Five activities teach colors shape and number recognition differentiation skills spatial relationships and logic,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,144600,Music 2002: Club Edition,[6],Missing,[7],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,140999,Radio Zonde,[6],Radio Zonde is a free shoot em up arcadestyle game made by the doujin group Inudon Empire also known as Ruminants Whisper the developers of Hellsinker and Dogma a fighting game It can be considered Hellsinkers spiritual predecessor featuring similar gameplay elements and artstyle,"[5, 32, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,140882,No Limite,[6],No Limite is a survival sim based on the reality show by the same name developed by Continuum and published by Brasoft in collaboration with Rede Globo  Be one of the twelve participants of the virtual No Limite and live days of great emotion Make part of the Sol team or the Lua team and socialize with the other participants Meet the other participants to vote in the Portal of the 4 Elements But beware The audience is watching everything and you may be eliminated,"[13, 15]",Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,140880,Big Brother Brasil,[6],Big Brother Brasil is a simulation game based on the reality show by the same name developed by Continuum and published by Brasoft in collaboration with Rede Globo  Choose your character according to its physical and psychological characteristics relate to the other participants and form plots  but be careful  The audience is following everything and if you go to the chopping block you may be evicted,"[13, 15]",Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,140704,Prom Night,[6],Prom Night is a text based adult adventure run by TADS engine It is not very easy but neither to hard It contains over 50 roums  with a lot of objects to take or things to manipulate  more than 10  not all at all useful You must be cautious do not get your hands full Then you cannot get other things and you must drop something    The storyline is easygoing and with very rich erotic scenes It contains mostly normal erotic scenes except a lesbian one Anal sex is almost out of question    Note that there are some some bugs eg I could not take the key from Kate while in hot tub based on my playing or the bill is never not needed  to be paid or I could get undress Debbie but not willing to procceed to any other actions,[31],Its the night of your senior prom You can hardly believe it After four long years youre about to graduate Whats more your date is Laurie Reynolds a tall blonde on whom youve had a crush for years You still cant believe you worked up the nerve to ask her out or that she agreed to come with you Youre bursting with pride as you pull up to the St Francis hotel in your brandnew BMW Z3 convertible Laurie at your side Youre ready for the night of your life    	You goal as it has been for your entire high school career is to make it all the way with Laurie Hopefully youll have some fun along the way ,Missing,nan,nan,nan,nan,nan,nan
1041292800,140485,Azu-Beach,[6],AzuBeach is a fanmade EasyGameStation game for PC It is from 2002 It is based on the Azumanga Daioh anime and manga and features the characters facing each other in volleyball matches,[14],Missing,Missing,nan,nan,nan,nan,nan,nan
1039132800,139036,I'm Gonna Serve You 4,[6],My name is Aoyama Kouji Im an ordinary guy living an uneventful life as a university student Because my parents are separated my uncle a somewhat strange man who runs a restaurant has taken the role of being a father to me Although its hard work I actually like helping out at the restaurant from time to time  One day while walking with Himeko who Ive been friends with since childhood I was hit by a car and nearly died Thanks to a miracle I awoke to find myself in a hospital bed in America After some bizarre adventures I return to Japan and decide to move into my uncles house where I can help him run his restaurant  Imagine my surprise when several beautiful girls approach me to tell me how happy they are that well be working together First theres Himeko who tells me shell do anything for me followed by Chizuru a beautiful girl who lives in the neighborhood who wants to shower me with attention Takano a gorgeous girl from my class also confesses her desire to do anything she can for me as does Leo the quiet girl who lives and works at the restaurant At first I think theyre just happy that I wasnt killed in the car accident but gradually I realize that theyve all fallen in love with me for some bizarre reason The girls are spending every moment they can taking care of me and giving me all their attention  Am I the luckiest guy in the world or what,[34],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1041292800,138856,Akuji the Demon,[6],Akuji the Demon is a 2D platformer in the Metroidvania style The protagonist is Akuji a very powerful pink vampire demon who defeated by a hero and robbed of his powers He has been locked up in a dark labyrinth and now it is time for revenge The goal for Akuji is to find the scattered skulls He must go through the labyrinth and find his powers including the ability to run use of fire or longer jumps With each discovered power more of the game becomes accessible also in previously explored areas Along the way he has to avoid various obstacles and fight against different bosses,[8],Missing,Missing,1.63,2.01,0.0,75.0,2.0,3.0
