,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[5],271234,Quakeguy Goes to White Castle,[6],15 speedjam SP levels five custom skyboxes a music track and some map sources,Missing,,,,,,
1,[5],267994,The Antaresian Spacepond,[6],This is a map made for antares031s birthday which was on the 19th,Missing,,,,,,
2,[5],261816,Adonis: Escape from Urania,[6],17map Boom megawad sequel of Urania After defeating the tyrant monster from Urania your spaceship was hit by unknown forces and you had to catapult back to the surface of Urania in the industrial area between the jungle and the mountains Earth coalition ships are under fire and cannot help you Received information from the command center this time the threat comes from the moon of Urania  Adonis The task is to find a way to get to Adonis and destroy the enemies there,Missing,,,,,,
3,[5],257173,Legend of the Hidden Tech,[6],The hottest mesoamericanscifi game show in the ultraverse just got a new contestant But this aint no Price is Right If you want to win the big prizes youll have to fight your way through ancient ruins mysterious tombs notsotranquil lakes and demonic arenas Dont worry though Whether you live or die its all for a good cause entertainment  Legend of the Hidden Tech is a 9map episode for limitremoving ports made by members of Doomer Boards The set features 7 regular maps 1 monsterless progressionstopper and a very special bonus map from SuperCupcakeTactics Props to overlord Big Ol Billy for leading this,Missing,,,,,,
4,"[31, 34]",255115,Maid for Loving You,"[6, 34]",Average guy Yuuma suddenly finds his boring life becoming way more exciting when he encounters a mysterious woman named Eve Join him as he discovers the joys of having a livein maid in this heartwarming visual novel,Yuuma Kitami is your typical wage slave Wake work sleep repeat Robbed of his ambitions by the grind his daily life is filled with endless overtime leaving him little time for a social life let alone a girlfriend But that all changes one midwinter night After catching the last train home he finds a woman unconscious by his front door mere moments from freezing to death  Yuuma acts fast bringing the woman into his home and doing everything in his power to warm her back to life When she eventually comes to the woman introduces herself as Eve and wants to thank him for saving her To Yuumas shock she offers to be his maid Though initially reluctant he soon relents and the two start living together  Eve is a peculiar yet lovely woman with the odd quirk or two and Yuuma finds himself strangely drawn to her Join them on their journey as they learn more about each other themselves and the true meaning of love in Maid for Loving You,,,,,,
5,[12],252909,PersoNO 0,[6],PersoNO 0 is a fulllength original parody of Persona 3 and a sequelprequel to the original and kinda crappy PersoNO that centralizes the themes of death and moving on after loss or maybe it just centralizes an apathetic tender man with one eye trying to get some alone time with his robot girlfriend  Step into the shoes of renameable protagonist Chungus Munshinyour ordinary 17 year old boy with dead parents one eye blue hair and seemingly no emotions Life finally seems like its looking up for Chungus as he transfers to Gekkoukan High School and even receives a personal invitation to stay at the Iwatodai Dorm He even makes some interesting new friends who are eager to pretend like they dont know him  However after an unfortunate incident involving a large blob monster and a gun Chungus learns that hes had a hidden talent all along calling forth a vuvuzelawielding Persona by the name of Orpheus by shooting himself in the head After this little stunt Chungus accidentally ends up leading the group known as SEES in their battles against the entities known as Shadows as they fight to find a way to end the Dark Hour with a reasonably low body count,Missing,,,,,,
6,[31],250642,Saltwater Shells,[6],Play as Loke a small kid from a small island helping your mom collect shells for the decorations in the upcoming town festival Collect shells a pogo stick and other items to help you get as many shells as you can Explore the island and talk to everyone theyll help you reach that perfect score,Missing,,,,,,
7,Missing,248804,Let Your Egg People Grow Into Large Trees,"[6, 14]",interactions are cyclical destruction leads to growth learn to balance,Missing,,,,,,
8,"[5, 32]",246677,Touhou Mukyuushi: Glory of Deep Skies,[6],Touhou fangame developed by Τeam αlternative Σnding and programmed by Kirbio Gizmo the Dragon Aka Kyuketsuki and Lunarethic This game features 3 stages and a 4th unlockable stage instead of the standard 6 The main gameplay mechanic of Glory of Deep Skies is the Elemental Burst system If the player collects Elemental Orbs of the same attribute as the one they chose at the beginning of the game an Elemental Gauge is filled up Once full the Elemental Gauge can be emptied for a boost with various duration and effects depending on the attribute chosen and during this time all items become life and spell pieces,As Halloween night approaches Gensokyo begins experiencing increased frequency of lightrelated phenomena such as rainbows and auroras and an increased potency of magic that results in normallyharmless danmaku battles causing physical damage to their surroundings After hearing reports of mysterious figures violently battling above the Human Village and causing major collateral damage Reimu Hakurei and Marisa Kirisame set out to investigate,,,,,,
9,[32],242511,Dinosaurily,[6],Missing,Missing,,,,,,
10,"[2, 32]",240372,The EdCo Incident,[6],A pointandclick style horror game made in Microsoft PowerPoint over the course of nearly 3 years,Missing,,,,,,
