,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[5],275190,Malleable Intent,[6],All is not well within the confines of the UAC but what else is new Hidden high atop a remote plateau sinister machinations unfurl themselves inside this facilitys walls The demonic threat is present once again but this time it seems that someone at the top was keeping fevered secrets well before their arrival What price did they pay for progress Youll have to procure your answers and your equipment onsite but nothing should prove too elusive for a seasoned hellwalker like yourself Leave no stone unturned no evil unpurged and dismantle the mechanisms behind this malleable intent,Missing,,,,,,
1,"[4, 32]",273558,Políticos Memes Kombat,"[6, 34]",Fight an epic battle for votes its anything that goes for power Fighting game with fictional characters based on the Brazilian electoral war Select one of the characters from Brazilian politics and embark on this fight full of fun and laughter,Missing,,,,,,
2,[5],271459,Malvirta Station,[6],Small to medium idbase level with traps Vanilla Quake version of the SM209 entry,Missing,,,,,,
3,[5],271359,Kelluva Linna,[6],Large floating castle using Daiktana E3 textures Based on an unfinished map for a canceled Nehahra expansion episode from 2005 Comes with a custom skybox,Missing,,,,,,
4,[5],271341,The Battery,[6],Mediumsized military base with an artillery battery Comes with a custom skybox The map source is included,Missing,,,,,,
5,[5],271338,A Quick Trip to the Old World,[6],Small 768768 speedmap,Missing,,,,,,
6,[5],270685,Another Attack: Woudrichem War,[6],Woudrichem War is a huge city map based on a reallife location in the Netherlands Its an entire city on an island,Missing,,,,,,
7,"[2, 5, 13, 15, 24, 33]",265672,Counter Snipe,"[6, 82]",In the world of the Sniper there are rarely any second chances Find and neutralise the enemy sniper before he gets you Earn cash to buy guns or upgrade them Single player mode coaches you and refines your skill Multiplayer is where those skills are really put to the test,Missing,0.0,0.0,0.0,0.0,0.0,0.0
8,"[2, 31]",262522,Die drei ???: Fluch des Flaschenteufels,"[6, 14]",Missing,Missing,,,,,,
9,[5],261461,Team Fortress 2: Death & Taxes,[6],The Death  Taxes update was the first major update for Team Fortress 2 Classic  The update focused on cut content from Team Fortress 2 Its flagship feature is the VIP game mode in which BLU team must escort the new Civilian class to the end of the map while RED team has to assassinate him To highlight this new game mode three VIP maps were included Trainyard with a single capture point and a onelife VIP Mineside with a VIPexclusive briefcase that must be delivered to unlock the capture point Harbor with three capture points and no special gimmicks and a VIP version of Badwater Basin with four capture points later reduced to three and a nighttime atmosphere  Another major feature was the addition of FourTeam mode shattering the previous paradigm of RED and BLU by introducing GRN and YLW The new FourTeam maps were the Arena map Flask and a Domination version of Hydro  which itself is a new game mode with Oil Canyon as a twoteam exemplar The update also brought back 9 new weapons based on unreleased Team Fortress 2 content as well as 6 weapons and 31 maps that already exist in TF2  In addition most mechanics were rebalanced based on Team Fortress 2 updates and the vast majority of the game was refactored in design interface and content The prior deathmatch game mode was removed entirely as well as numerous weapon concepts and aesthetic choices Finally the update also included improved bot support for offline play a new achievement system nametag medals for developers contributors and beta testers and many many exclusive settings console commands and weapon attributes,Missing,,,,,,
