,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[9, 31]",217870,Castle Terroretra In Space,[6],Castle Terroretra In Space continues the quest for Billy Brumble The climatic meeting with The Great Ancient One highlights the game,Missing,,,,,,
1,[10],46731,Skunny Kart,[6],Skunny Kart plays much like Mario Kart for the SNES The player races around the track trying to finish the race in first place Along the way there are traps scattered around the tracks as well as some power ups There are many sound effects used throughout Skunny Kart that have been taken from other licensed properties including The Terminator Bugs Bunny and the Simpsons,Missing,,,,,,
2,"[5, 9, 13, 31]",4331,Cyberia,"[3, 6, 7, 13, 14, 32, 50]",In a future where global terrorists rule and mankind lives on the brink of destruction the the ultimate doomsday device has just been discovered beneath the frozen wasteland of northern Russia Codenamed Cyberia it was designed in an era of long forgotten peace by the most brilliant minds in nano technology In an ancient world of hope it was to be the ultimate protector of a new order In the year 2027 it stands as the instrument of humanitys destruction,73.12419989119282,4.0,0.0,4.12,65.0,8.0,6.0
3,[14],46820,Street Hoop,"[5, 6, 52, 79, 80, 130, 136, 240]",Street Hoop known in Japan as Dunk Dream and known in North America as Street Slam is a basketball video game developed by Data East for NeoGeo released in 1994 The game features threeonthree basketball matchups with a variety of different teams,70.28986177437939,0.0,0.0,0.0,43.0,3.0,0.0
4,"[2, 9, 31]",16726,Inherit the Earth: Quest for the Orb,"[3, 6, 14]",Join Rif the Fox and his companions Okk and Eeah on the adventure of your life Inherit the Earth will transport you to a world of beauty and intrigue Earth The Orb of Storms has been stolen and Rif is accused You have only days to help Rif get to the bottom of the mystery of the missing Orb Your journey takes you to the Wild Lands through hostile territories and ultimately to the ancient ruins of the legendary Humans,70.0,5.19,0.0,6.5,73.0,7.0,9.0
5,"[2, 9, 26, 31]",2487,Dragonsphere,"[3, 6, 13, 14]",Newlycrowned King of Callahach Its been twenty years since your father saved the world by entrapping the evil Sorcerer Sanwe Now the spell is waning Sanwes malevolent force will soon consume the land and only you can stop him,63.0015813953007,5.95,6.8,11.75,63.0,18.0,19.0
