,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[5],274198,Oceanside,[6],Oceanside is a threemap Doom II WAD for limit removing source ports created by Michael Jan Krizik valkiriforce which he has stated is one of his most personal projects It is inspired by nostalgic memories of his hometown of Oceanside California and features several recreations of reallife locations including his childhood home,Missing,,,,,,
1,[5],274121,300 Minutes of /vr/,[6],A megawad compilation of maps made by vr users Participants were asked to make a map in 300 minutes with an initial twoweek deadline period for submission There was no particular theme beyond vanilla compatibility  no custom textures,Missing,,,,,,
2,"[2, 13, 31, 32]",273643,The Book of Death for Dummies,[6],Death has taken a welldeserved vacation in Cancun and left George in charge Hell have to learn to deal with Destiny and decide who should continue their journey in the land of the living But beware wrong choices lead to undesirable consequences,Missing,,,,,,
3,[5],270769,Paradise Sickness,[6],Large Egyptian level with an archeological research base built into a tomb below a pyramid The map features several popcultural references and the map source is included,Missing,,,,,,
4,[5],262313,Oscillation,[6],9 boom compatible maps of increasing difficulty,Missing,,,,,,
5,"[5, 9, 31]",252339,Rescue Hannah,[6],This is a fanmade standalone game that uses the Tomb Raider The Last Revelation engine while creating its own story and puzzles,In Kansas City there is going to be a Hannah Montana concert yeah thats what youve read And a teenage girl is a super fan and she has to go to the concert but some things are going to happen on the way to the show,,,,,,
6,"[12, 16]",250728,The Sum,[6],This Fallout Tactics total conversion mod aims to bring to life a plethora of anarchist utopias after global warming and other unspecified apocalypticlike events,Missing,,,,,,
7,[5],243454,Team Fortress 2 Vintage,[6],Team Fortress 2 Vintage is a Source 2013 modification based off of Team Fortress 2 Classic as a reimagining of retail TF2 focusing on being a museum to the game,Missing,,,,,,
8,"[31, 32]",243445,Koewotayorini SP,"[6, 34, 39]",Koewotayorini SP is an adventure game SP is short for Second Partner this game is sequel to Koewotayorini,Missing,,,,,,
9,Missing,240072,Seven Days: Anata to Sugosu Nanokakan,"[6, 46]",One day close to the beginning of summer vacation Shuuichi was watching a cursed Bluray given to him by his buddy when a spirit came out from the disc and possessed him His childhood friend Murasaki belonged to a family that managed an ancient temple so she tried an exorcism to rid him of the spirit While the ritual was successful and quelled the vindictive spirit the spirit girls form remained due to her inexperience Her name was Chiyako the name of the girl who was killed on screen and she revealed that the spirits of six other girls dwelled within her  According to Murasaki spirits can only remain in this world for 49 days which meant that there would only be seven days allotted for each of the seven girls Shuuichi was tasked with helping them achieve happiness so they can leave this world with no regrets However it is a very short time to accomplish this task Also he did not realize at this time that it meant that he would be getting to know each girl well only to bid a painful farewell seven times over,Missing,,,,,,
10,"[2, 31]",229784,On Leaving the Building,[6],In this point and click adventure you play as The King You have a list of things to do After that freedom awaits,Missing,,,,,,
11,"[32, 34]",225295,JoJo's Diner,[6],Missing,Missing,,,,,,
12,[13],225021,Rocksmith 2014 Edition: Remastered - 3 Doors Down: Song Pack II,[6],Play Its Not My Time Let Me Go Be Like That Here Without You and Away from the Sun by 3 Doors Down on any electric guitar or bass Each song includes a new authentic tone,Missing,,,,,,
13,[5],222671,Dimensions,[6],5 maps designed for PrBoom complevel 9 Play on HNTR or HMP I spent the vast majority of time working on HNTR and HMP for maps 0103 UV is an extra special difficulty that most likely only I will find fun  Maps31 and 32 These two maps are special bonus maps Only UV is implemented for Map31 Map32 has HNTR HMP and UV implemented but I recommend almost everyone play HNTR on Map32  Difficulty descriptions HNTR I dont really play slaughterI rarely play slaughter  HMP I like slaughter maps but it definitely isnt my primary focus  UV I love going up against overwhelming odds fighting tens sometimes hundreds of cybsviles at a time pain elemental swarms Reality category of speedrunning  Due to the nature of these maps I recommend playing with infinite height off in ZDoom based ports due to the flying monster behavior mixed with high ceilings These maps were designed for PrBoom cl9 which has vanilla flying monster behavior  Because of my mapping preferences play in software mode for best visual results,Missing,,,,,,
14,[13],218311,Crankies Workshop: Zazzbot Assembly,[6],Missing,Missing,0.0,0.0,0.02,10.0,1.0,2.0
15,[9],209972,Planet G,"[6, 34]",Planet G is a puzzle game in which you must find recipes and discover fruits by combining them,Missing,,,,,,
