,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
195,14550,Action Henk,"[3, 6, 9, 14, 41, 46, 48, 49]",Run jump and buttslide into the glorious toyfilled world of Action Henk Become a master of momentum and defy physics as you race against a band of ragged 90s action figures to once and for all prove that Action Henk is the fastest of them all,"[8, 10, 14, 32]",Missing,76.45289706455881,3.99,6.46,16.9,67.0,36.0,40.0
196,16925,Dex,"[3, 6, 14, 46, 48, 49, 130]",Discover the truth behind an enigmatic AI striving to reach the Singularity a theoretical event horizon in which artificial intelligence will surpass human intelligence and all bets about the future will be off How will you play your part in the story  Explore the futuristic city of Harbor Prime and meet its many inhabitants answer the challenges the city has to offer roam the neonlit streets and augment your character with skills and implants  Designed as a tribute to the classic RPGs from the 90s updated for a modern audience Dex invites you to become part of a living breathing cyberpunk universe as you decide which ultimate path you will embrace,"[8, 12, 31, 32]",Missing,75.99475498328442,11.15,13.75,16.85,72.0,87.0,160.0
197,5319,Project CARS,"[3, 6, 48, 49, 385]",Project CARS is the most authentic beautiful intense and technicallyadvanced racing game on the planet  Create a driver pick from a variety of motorsports and shift into high gear to chase a number of Historic Goals and enter the Hall Of Fame Then test your skills online either in competitive fullyloaded race weekends leaderboardbased time challenges or continuallyupdated community events Featuring worldclass graphics and handling a groundbreaking dynamic time of day  weather system and deep tuning  pit stop functionality Project CARS leaves the competition behind in the dust,"[10, 13, 14]",Missing,75.41053311205205,33.79,65.25,95.57,72.0,76.0,50.0
198,9807,Magicka 2,"[6, 48]",The worlds most irreverent coop action adventure returns To rid the world of evil again up to four Wizards and their guide Vlad will traverse Midgård armed with the next iteration of the famous Magicka dynamic spellcasting system as players reprise their roles as the most overpowered unpredictably funny Wizards ever known to fantasy,"[12, 31]",Missing,74.34228416047878,6.18,9.23,31.3,69.0,155.0,145.0
199,29920,Nancy Drew: Sea of Darkness,"[6, 14]",Set a Course for Danger and Discovery,"[9, 31]",Missing,70.62379424953909,9.13,0.0,0.0,73.0,6.0,5.0
200,10554,Monstrum,"[3, 6, 14, 48, 49, 130]",Monstrum takes the traditional survival horror formula and remixes it completely with procedurally generated levels permadeath and AI driven predators ensuring that nowhere on its derelict cargo ship is ever truly safe  Offering up a challenge to even the hardiest of gamers Monstrum will force you to use your wits and whatever tools you can find to outrun or outsmart your pursuer Attempt to escape from an environment that is out to kill you while evading the lurking terror that could be around any corner Can you survive Monstrum,[32],Missing,70.40427909682512,5.03,10.9,13.45,59.0,14.0,23.0
201,36099,An Assassin in Orlandes,"[3, 6, 14]",Search for a ruthless assassin in this Gamebook Adventure where YOU control the story,"[12, 31, 32]",Missing,70.0,2.06,3.46,9.64,58.0,5.0,9.0
202,35963,Ultimate Space Commando,[6],USC is a turnbased topdown view tactics game in which you control the crew of a stranded recon vessel in a first contact war for survival featuring a detailed combat system with RPG elements fully interactive randomized maps unique weapons and gadgets crafting and custom multiplayer modes,"[12, 15, 32]",Missing,70.0,0.0,0.0,0.0,70.0,1.0,0.0
203,35824,Gran Vitreous,[6],Gran Vitreous is a PC shmup that combines classic arena shooter gameplay with the mechanics of a loot driven action RPG Upgrade your ships equipment and level up as you battle through a galaxy filled with randomly generated encounters,"[12, 32]",Missing,70.0,0.0,0.0,0.0,0.0,0.0,0.0
204,35816,Terraform,[6],Terraform is a relaxing turn based puzzle game set in the future Alter over 200 planets to allow settlements and forests to survive Planets are made of hexagonal tiles that can be altered using many different tools and weather conditions,"[13, 15, 32]",Missing,70.0,0.0,6.5,0.0,80.0,1.0,1.0
205,35684,Porcunipine,"[6, 14]",A party game  arena fighter where balding porcupines with only a single quill left fight to the death for honour glory and their enemies skulls,"[32, 33]",Missing,70.0,0.0,0.0,0.0,0.0,0.0,0.0
206,35666,Decisive Campaigns: Case Blue,[6],Decisive Campaigns Case Blue simulates the German drive to Stalingrad and into the Caucasus of the summer of 1942 as well as its May preludes 2nd Kharkov offensive Operation Trappenjagd and also the Soviet winter counteroffensive Operation Uranus that ended with the encirclement of 6th Army in Stalingrad,"[13, 15]",Missing,70.0,148.0,0.0,0.0,100.0,1.0,1.0
207,35621,Machineers,"[3, 6, 14]",Equipped with a tool box full of gears belts and electric wires you build and repair crazy contraptions  Each machine you fix brings you closer to becoming a true Machineer and prepares you for your next challenge the Vehicle Workshop where you can design drive and refine your own car,"[9, 31, 32]",Missing,70.0,,,,,,
208,35599,East Tower - Takashi,"[6, 14]",This is the Dream World the place where anything you wish will come true Your current partner in the East Tower looks somehow familiar Have you by any chance met him in your past,"[13, 31, 32]",Missing,70.0,,,,,,
209,35554,Ossuary,"[6, 14]",Fall into the place of bones Urge on the stagnant residents who are lost to corrupt virtue Use sins as your tools to improve their existence Expose the cabbages pretending to be people Learn about the razor blades hidden in your walls,"[31, 32]",Missing,70.0,0.0,3.17,7.0,0.0,0.0,3.0
210,35465,Word Wonders: The Tower of Babel,[6],Enter the ruined tower of Babel in search of the long lost art of speech Unravel the many mysteries contained within create powerful artifacts battle daunting foes and build up your heros powers  all through the power of words,Missing,Missing,70.0,0.0,0.0,0.0,0.0,0.0,0.0
211,35451,Portal of Evil: Stolen Runes - Collector's Edition,[6],The gates to another world will open soon You can stop the impending disaster but to do so at all costs to return the stolen stamps Vanessa is the only heiress of Abraham Van Helsinga a member of the secret order of light guarding the peace of our world And now it has to find a stolen the runes that were sealed the gate behind which lurks an ancient evil,[31],Missing,70.0,,,,,,
212,35364,Spaceman Sparkles 2,[6],Spaceman Sparkles 2 is a frantic bullethell that takes place in a thumpin disco universe youll be begging for mercy while bobbing your head to the beat,Missing,Missing,70.0,0.0,0.0,4.6,70.0,1.0,1.0
213,35311,Pixel Star,[6],Endless arcade action takes a modern twist creating a uniquely challenging open space shootemup experience From brutal bosses to black holes and beyond countless hazards await discovery How long can you survive,[32],Missing,70.0,0.0,0.0,0.0,30.0,1.0,0.0
