,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[5],271461,Off Base,[6],Around mediumsized idbase map,Missing,,,,,,
1,[5],269866,Jolly's Hardcore Mod,"[3, 6, 14]",Jollys Hardcore Mod is a singlemap mod for HalfLife 2 with increased difficulty  This mod is loosely inspired by the Very Hard Mod by DimeX and created as a challenge for Twitch Streamer JollyWangcore,Missing,,,,,,
2,[5],268870,The Gayest & Greyest Castle In All Of Parthoris,[6],A mediumsized Heretic map 127 monsters on smitemeister difficulty with extra texturesprops and a few monsters imported from Hexen the Centaur Stalker  Wendigo,Missing,,,,,,
3,[32],263637,Five Nights at Freddy's Simulator,[6],Youre not the nightguard in FNaF Simulator you play as the animatronics Get to experience FNaF from a variety of animatronic POVs within a multitude of locations in the beloved FNaF franchise,Missing,,,,,,
4,[5],263415,The Mean Green,[6],The levels are smallmedium in size and plays more like Ult Doom since only lower tier monsters and weaponry were used They should offer a good 45 minutes of some classic old school fun The action is fast paced and the levels feature their usual style of interconnectivity and semirealistic to abstract visuals,Missing,,,,,,
5,"[25, 31, 32]",257392,Ecila,[6],Lord of knives,Missing,,,,,,
6,[5],257183,A Doomer Boards Christmas Carol,[6],Its that time of year again Snow is falling carolers are caroling and Cyberneezer Scrooge has frozen time to stop Santa from delivering everyones Christmas presents  Sounds like a job for Doomguy right Well to be honest youre just not feeling the Christmas spirit this year Although hmmm you still havent looked at the Christmas cards those Doomer Boards Krew folks sent you yet Maybe thatll be just the thing to help you feel some Christmas cheer  A Doomer Boards Christmas Carol is a limitremoving Doom 2 mapset from various members of Doomer Boards containing 12 maps of jolly action and a heartwarming 13map narative from Big Ol Billy Merry Christmas Doomers,Missing,,,,,,
7,[5],257182,Umbral Platinum,[6],Umbral Platinum is a limitremoving project brought to you by us the Doomer Boards dungeon masters,Missing,,,,,,
8,[5],256845,Tartarus,[6],A 3key Collector style map Pretty standard fare with a heavy emphasis on traps and arenas and a liteslaughter finale This map is intended to be challenging All monstersweapons are vanilla  There are only 2 modes UV and HMP and lower UV is the intended experience but the HMPlower version is there if youre looking for an easier run  This map had several sources of inspiration but the biggest one were the Nether Fortresses in Minecraft both visually and mechanically I always wanted to make a Doom map that had the sensation of finding one of these in the Nether especially with the idea where the environment is as dangerous as the denizens lurking within That said there are no teleports if you fall off any of the ledges into the chasm Basically You fall you die,The air chokes with the metallic mist of blood Unimaginable pillars reach above and below to unseen structures of Hell The Gates of Tartarus tower amidst the haunted vapor  a Stygian fortress guarding the passage to realms beyond Abandon hope all ye who enter here,,,,,,
9,Missing,255595,Coloring Game: Little City - No.5,[6],Missing,Missing,,,,,,
10,"[12, 32]",251138,Steamfantasy: Unbelievable Korwin Story,[6],The game world is part of a destroyed planet that is similar to Earth with dimensions connected to it Your story begins in an alternate Hungarian Kingdom when King Korwin sends you to save his daughter and bring peace to the kingdom,Missing,,,,,,
11,"[13, 14, 32]",249673,VR Party Pack,[6],Its great for both small groups of close friends and large group of party people VR Party Pack is a local multiplayer game designed for beginner to advanced virtual reality users Only one VR headset required,Missing,,,,,,
12,Missing,248386,Diablo: The Hell 2,[6],The Hell 2 is a total conversion for Diablo boasting a new renderer many QOL improvements more finetuned difficulty settings and tons of new content ranging from new locations quests items and enemies to 36 total class archetypes,Missing,,,,,,
13,Missing,243435,Teenage Mutant Ninja Turtles HD,[6],This humble remaster tries to be 100 faithful to the original although the first step to create it was 4 years ago the total development time is about 8 or 9 months 56 hours a day My wish is to the full game 100 clone but it still not,Missing,,,,,,
14,"[12, 15]",242688,DevilutionX,"[3, 6, 14, 16, 34, 37, 39, 46, 48, 49, 130, 137, 169]",DevilutionX is a port of Diablo and Diablo Hellfire that strives to make it simple to run the game while providing engine improvements bugfixes and some optional quality of life features,Missing,,,,,,
15,"[32, 33]",240281,Five Nights at Freddy's: Help Wanted - Bundle,"[6, 48, 130]",Five Nights at Freddys VR Help Wanted is a collection of classic and original minigames set in the five nights universe Survive terrifying encounters with your favorite killer animatronics in a collection of new and classic FIVE NIGHTS AT FREDDYS experiences  The Curse of Dreadbear DLC unlocks a new Halloween themed hub packed with spooky new minigames and prizes,Missing,,,,,,
16,[34],239876,Blood Pact: Premium Edition,"[6, 82]",Blood Pact Premium Edition includes Nikatines new narration from the December 2019 free update three new illustrations and all artwork colored by Callie Enjoy Blood Pact the way it was envisioned Downloads also include bonus high resolution images for all ingame art from both the premium and free Blood Pact releases,Missing,,,,,,
17,"[2, 15, 32]",239286,Christmas with Freddy's,[6],Its Christmas It is exciting isnt it Im so hyped for my gifts the animatronics from Fazbear Entertainment Im going to play with them all day Its a shame I wont sleep anymore,Missing,,,,,,
18,"[2, 31]",238333,Batman: The Telltale Series - Shadows Edition,"[6, 48, 49, 130]",This version includes   Batman The Telltale Series Episodes 15  Batman The Enemy Within Episodes 15  Batman Shadows Mode,Missing,,,,,,
19,Missing,237350,Ace Attorney Investigations 0: Quercus Alba Dating Simulator,"[3, 6, 14, 34, 82]",Ten years before the events of Ace Attorney Investigations Miles Edgeworth the story follows Protagonist a podiatry student at Allebahst Academy as he falls in love on first sight with the impenetrable Ambassador Quercus Alba and becomes involved in an incident that would forever scar the school,Missing,,,,,,
20,[31],233344,You and the Night,[6],You are traveling alone  just you your broken car the fog and the dull countryside You are tired and you take a break in a small family hotel Youre engulfed in silence  you sit and wait like you always did  its just you and the night,Missing,,,,,,
21,Missing,230871,Final Fight LNS Ultimate,[6],Final Fight LNS is a beatem up that mixes concepts and movements from both this genre and the fighting genre It has a revolutionary and new combo system based on cancelling which allows us to link special movements within others thus being able to perform a very high number of hits The game is also designed so that its difficulty decreases considerably as we learn and run this system so the learning curve is steep In other words the game will reward us as we learn to deal maximum damage to enemies  The roster of playable characters consists of 120 114  4 hidden  2 super hidden characters combining fighters from several of Capcoms most successful sagas such as Final Fight Street Fighter II Street Fighter III Street Fighter IV Street Fighter Alpha Cadillacs and Dinosaurs Captain Commando Alien vs Predator Battle Circuit Punisher Knights of the Round Warriors of Fate Marvel vs Capcom and Capcom vs SNK Despite the wide repertoire each character is balanced and arranged so that the playable experience is optimal we choose the character we choose and we have chances to finish the game without continuing with any of the 120 characters and in any of the game modes,Missing,,,,,,
22,Missing,229858,Black Mesa: Xen,[6],Black Mesa Xen is an update to the game Black Mesa that completely reimagined and refined the Xen levels in the single player campaign,Missing,,,,,,
23,[31],229685,Yume Nikki GB,[6],A demake of Yume Nikki for the Game Boy The goals are to walk around and collect Effects by interacting with objects and other characters,Missing,,,,,,
24,Missing,229630,Last Game of the Decade 2019,[6],Hidden object game originally made for Glorious Trainwrecks and a sequel to Last GOTY 2018,Missing,,,,,,
25,[32],229073,The Travelling Salesfrog Problem,[6],Missing,Missing,,,,,,
26,[8],228819,Okui,"[3, 6, 14]",Ōkui Beat em up and Eat em up is a 2D actionplatformer game where you play as a ninja frog and your sole mission is to defeat the forces of evil with the power of good and everything righteous and well your appetite,Missing,,,,,,
27,[16],227653,Pokémon This Gym of Mine,[6],Pokemon Gym of Mine is a fanmade game developed using the RPG Maker XP software In the game the player assumes the role of a custom gym leader instead of a Pokemon trainer Players create and customize their own gyms and challenge other players to battle against them The game features unique elements such as gym and leader customization an original soundtrack and an engaging story with interesting characters,Missing,10.66,12.2,45.0,87.0,3.0,7.0
28,"[13, 15]",227395,Anno 1800: Holiday Pack,[6],Bring the spirit of the holidays to Anno 1800 with this new cosmetic DLC pack which includes 23 new ornaments that allow you to decorate your cities in festive style,Missing,,,,,,
29,"[5, 13]",227382,Epic + Inferno: The Odyssey Continues Bundle,"[3, 6, 14]",Missing,Missing,,,,,,
30,"[13, 15]",226996,Planet Zoo: Arctic Pack,[6],Join Bernie Goodwin on an epic Arctic adventure and explore new challenges animals and more Alongside two new Scenarios in which you face new challenges as a zoo manager there are four new animals and over 200 scenery pieces to make your parks as cool as ice,Missing,3.2,11.33,0.0,80.0,1.0,2.0
31,[31],226677,Yume Petto,[6],Yume Petto is a Petscop fangame in the style of Yume Nikki Explore familiar places as well as new worlds of all kinds and collect all of the effects Every world characters etc must be at least a bit related to the Petscop universe,Missing,,,,,,
32,Missing,224425,Dissidia Final Fantasy NT: 3rd Appearance Special Set for Warrior of Light and Y'shtola,[6],3rd Appearance Special Set for Warrior of Light and Yshtola,Missing,,,,,,
33,[12],224136,Dying Light: Retrowave Bundle,"[3, 6, 14]",Surf the retrowave with this bold retrofuturistic gear This bundle includes a new outfit Night Rider a new buggy paint job Speedmaster Turbo and three new weapon blueprints Blademaxx machete Vindicator 2000 revolver and Volkatronix rifle that shoots electric bullets,Missing,,,,,,
34,"[13, 31]",221926,Minecraft: Buzzy Bees,"[3, 6, 14, 34, 39, 48, 49, 74, 130, 132, 388]",Minecraft Buzzy Bees is a major update for Minecraft mainly focused on bees and the items relating to them as well as also fixing bugs from previous versions,Missing,,,,,,
35,Missing,221585,PuchiTamaWalker,[6],PuchiTamaWalker is a fangame that allows you to explore the neighborhood of Sakuragaoka as seen in Machikado Mazoku Familiar faces and locations await for fans of the show,Missing,,,,,,
36,Missing,219039,Hentai Pazu,"[6, 14]",Enjoy the beauty girls picture and relaxing music to complete the puzzle,Missing,,,,,,
37,"[12, 31, 34]",218794,Hero's Harem Guild,"[3, 6, 14, 34]",In Heros Harem Guild youre a simple poor guy who becomes a community hero for accidentally surviving a powerful demon Youll lead a Guild full of beautiful adventurers willing to work train and fight for you Upgrade the Guild repair the town seek new members build relationships with those that already are and complete quests in this RPGthemed world,Missing,0.0,0.0,0.0,0.0,0.0,0.0
38,[32],218145,Connor,"[3, 6]",See whats at the end of everything Drive a road haunted by a voice who knows you all too well Question the games medium as a whole Peek into a depressed mind Connor is what you make of it,Missing,,,,,,
39,"[8, 9, 32]",214768,Genso Flood Front,[6],A doujin game by FriendSea based on the Touhou Project series,Missing,,,,,,
40,[34],212256,Apathy: Gakkou de Atta Kowai Hanashi - Shinsei 2,[6],Missing,Missing,,,,,,
41,Missing,211190,MouseWars,[6],MouseWars is a real time multiplayer cursor war game The cursors have to fight until only one remains,Missing,,,,,,
42,"[31, 32]",209930,Daughter of Reyn,[6],Missing,Llyr king of Tyrfaen and 12th of the line of Reyn was murdered by his son Medrawd who claimed the throne and imprisoned his sister Anwen the true heir to the throne  Seizing the opportunity to expand their empire the necromancers of Ffaldyn broke the Adrw Treaty and penetrated Tyrfaens borders with ghosts and black magic  While Tyrfaen castle and keep prepare for war a group of soldiers loyal to the former king Llyr release princess Anwen in the hopes that she can retake the throne and restore peace,,,,,,
43,"[5, 8]",209266,Mega Man Christmas Carol 3,[6],Missing,Missing,,,,,,
44,[34],207261,How a Healthy Hentai Administers Public Service,[6],How a Healthy Hentai Administers Public Service is an erotic comedy developed by CLOCKUP where we follow the daily life of Jin Sintani the precincts newest sex officer charged with serving the community and protecting the peaceful citizens of Vaginville from the threat of sexual frustration,Once again we return to world of Healthy Hentai where sex and perversion is normal and widely accepted This time we follow the daily life of Jin Sintani the precincts newest sex officer charged with serving the community and protecting the peaceful citizens of Vaginville from the threat of sexual frustration Join Sintani on his daily patrols as he assists people in need when out on the beat watch as he encourages his fellow officers in the precincts exchange program enjoy the shaft gripping excitement as he accompanies the special fetish units on important raids or savor the heartwarming sight of him helping his coworker improve and learn to excell at her sexual duties Its a hard job to handle but it takes a big man to maintain order on these streets,,,,,,
45,[9],206176,Suzu to Mari no Bouken: The Ghost of Friend,[6],Missing,Missing,,,,,,
46,Missing,205976,MC Eternal,[6],A mod pack containing 380 mods,Missing,,,,,,
47,[5],205048,Halo: The Master Chief Collection Season 1 - Noble,"[6, 49, 169]",The first season implemented within The Master Chief Collection Titled Noble after NOBLE Team this season focuses on Halo Reach including the games armor customization system,Missing,,,,,,
48,"[13, 31]",203870,AI Dungeon,"[6, 34, 39, 82]",An AIpowered textbased RPG like youve never played before Write stories interact with realistic characters and experience virtually infinite worlds and genres Escape to alternate universes where you direct the action and anything is possible,Imagine A Game With Infinite Adventures As Unique As Your Own Life  A text adventure game however unlike traditional text adventure games which use prewritten content AI Dungeon uses artificial intelligence to generate effectively limitless openended storylines,0.88,0.0,0.0,70.0,3.0,3.0
49,[32],203638,Lysogenesis,[6],You need to take the ship apart to put yourself together Play as a seed of intelligence rapidly developing the ability to sense the world around you Unfortunately the world youre trapped inside is crashed and power is running low,Missing,0.0,0.0,0.0,0.0,0.0,0.0
50,[5],201232,HocusDOOM,[6],Hocusdoom is a Total Conversion for Doom 2 that attempts to bring Hocus Pocus a sidescrolling game by Apogee Software into the third dimension in a dazzling new adventure,Missing,,,,,,
51,Missing,201187,Quake 2 TC,[6],Quake 2 TC Is a TC for Doom 2 that runs solely on GZDoom  It uses all the original textures from Quake 2 on their original rendition as well as most of the ambient sounds of the game The TC runs with the outstanding Quake 2 Stuff mod that brings all the weapons and enemies straight from the game into GZDoom with total accuracy  The music comes from the Quake 2 port of Nintendo 64 composed by Aubrey Hodges  My aim is to create a near perfect recreation of a ID Tech 2Quake 2 level or expansion pack but with the Doom engine enhanced and made possible only with GZDoom Despite a few structural features and effects that are only possible on the Quake 2 engine the results are near identical and that proves again how an ancient engine like Doom is capable to reach a similar level of technical capabilities with ease,Missing,,,,,,
52,Missing,200979,Complex Doom: Clusterfuck,[6],The Complex Clusterfuck is a conglomeration of a large amount of Complex Doom modsaddons made by DustedPandemonic and with contributions from many others,Missing,,,,,,
53,Missing,199414,Lithium,[6],The air is so humid and hot that Ive begun sweating That cant happen I cant sweat There isnt anything to sweat Im scared This has to be an illusion or does reality not matter in this place  Lithium is a FPSRPG hybrid building on traditional Doom gameplay with leveling and upgrades also featuring mechanics such as an inventory system deadlier enemies monster mod and multiplayer compatibility and a scifi story shrouded in the supernatural inspired by games like EYE Divine Cybermancy Shin Megami Tensei and the Touhou series A significant amount of features are planned still but the core of the mod is completed,Missing,,,,,,
54,Missing,199404,DOOM: Slayer's Rampage,[6],Prepare to go back to hell and wipe it out of bad guys again Slayers Rampage brings a fast paced experience in the good old Doom and Doom II games with new guns monster IA HUD Controls and mechanics,Missing,,,,,,
55,Missing,198352,DooM: Infernal Attack,[6],With more than a year of development Infernal Attack is a mod for DooM that adds more that a half thousand of new enemies more than a hundred new weapons many objects graphic effects and new player abilities that combine the best mods for DooM,Missing,,,,,,
56,[5],196465,Quake: Xmas Jam 2019,[6],Annual Christmas mapping event This pack features 17 small maps in varied styles where all gameplay takes place within a 1024x1024x1024 space It includes a start map and is powered by the Arcane Dimensions devkit included  and some additional content The map sources are included as well,Missing,,,,,,
57,[5],196451,Quake: Realms of the Lost,[6],Realms of the Lost is a Finnish mappers episode jam for Quake based on the Copper mod included with nine medium to large maps in varying themes including a start hub and a secret level It also features a few new sounds and music tracks by Immorpher,Missing,,,,,,
58,[34],194603,Jibaku Kanojo: Kanojo wa Kakurete Mimodaeru,[6],Missing,Missing,,,,,,
59,[5],188541,Showdown,[6],Showdown is a competitive PvP shooter that will make your heart beat faster  You will be divided into two teams and placed in a kind of battle arena The battle between the two teams takes place on 3 levels with different layouts  Three mazelike levels await you The first two levels have lifting platforms for variety and the third level even has teleporters,Missing,,,,,,
60,[33],187085,Random-Pac,[6],RandomPac is a tribute to PacMan Pakkuman an arcade game released by Namco in 1980,Missing,,,,,,
61,[9],187073,Kawaii Girls Puzzle,[6],Kawaii girls puzzle is a puzzle game swap blocks to assemble an image,Missing,0.0,0.0,0.34,43.0,2.0,3.0
62,[32],186214,Math Labyrinth,"[6, 14, 34, 82]",A small Bitsy game the developer made to help teach their son math,Missing,0.0,0.0,0.0,0.0,0.0,0.0
63,"[13, 32]",186151,Restricted Airspace,"[3, 6, 14]",Restricted Airspace is a single player shoot em up in the style of Star Fox for the SNES It takes place in a city made from an amalgamation of the old Ottoman buildings the developer grew up with in Beirut  Upon the games initial release the city was under devastating attack and all players could do was delay the unavoidable before the city inevitably fell After the 2020 explosion of a port in Beirut the developer updated the game removing enemies and turning it into a peaceful flying simulator,Missing,0.0,0.0,0.0,0.0,0.0,0.0
64,[34],184894,"I Can't Believe the Most Popular Girl in School is a Lesbian, Just Like Me!","[3, 6, 14]",A lesbian Just like me,Missing,,,,,,
65,[2],183678,Sleepless Nights at Freddy's,[6],Missing,Missing,,,,,,
