,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[5],275213,Linux Jank,[6],A collection of maps that are short sweet and to the point This wad is called Linux Jank as a reference to my learning all the strange quirks of Eureka Editor,Missing,,,,,,
1,[34],273924,Complex Complex,[6],A short absurd game of crude humor Complex Complex is a twodimensional sex simulator that has you moving into the apartment occupied by your abnormal stepsister and her equallyasodd cousin Its a living situation where the heat can only turn up,Missing,,,,,,
2,[5],272166,The Temple of Blooooood,[6],Large blood temple The map source is included,Missing,,,,,,
3,[5],271535,Atrocity Arise,[6],Large Knavetextured castle with libraries and a courtyard The map source is included,Missing,,,,,,
4,[5],271339,Into the Dark,[6],Large blue somewhat E2M5ish fortress with several outside areas and a dark platforming section The map source is included,Missing,0.0,0.0,0.0,0.0,0.0,0.0
5,[5],268723,Blasphemous Experiments,[6],Blasphemous experiments is a complete first episode replacement for Heretic using the Blasphemer texture pack,Missing,,,,,,
6,[5],263416,The Mean Green 2,[6],The first 3 maps saw you fighting against Imps Sergeants and Demons with only the Shotgun Chaingun and the Rocket Launcher This time they are cranked up to 11 and youre gonna get bigger guns But also a whole lot of beefier meat to aim them at You are the Mean Green and you are about to bully the crap out of this strange world The levels are medium sized and sets the player in an abstract semi realistic hellish tech setting,Missing,,,,,,
7,[5],263354,Rapidfire,[6],6 Vanilla Compatible Levels where the aim was to make One Map per day for 6 days,Missing,,,,,,
8,[5],262995,Herschel Spaceport,[6],Heres a short techbase map set in Herschel Crater on Saturns moon Mimas The UAC has set up a space colony overrun by demons What could the UAC have hidden under the Miman soil to warrant such an invasion,Missing,,,,,,
9,[5],262553,Dereliction Derby,[6],Dereliction Derby is a single map release that was a result of being inspired by a number of more modern projects such as Eviternity Bloodstain Valiant and so forth The desire was to create a standalone release that made some use of these modern stylings especially by making use of Boom features to create something that has a constant feel of pressure and higher action while also being detailed enough to make it seem like a real place rather than the most abstract stylings of a lot of Doom fare,Missing,,,,,,
10,[5],261451,Demonic Destruction!,[6],Missing,Missing,,,,,,
11,[5],261107,Silver Edge,[6],Two Boom compatible cl9 levels for Doom 2 Quite challenging maps on UV harder then Plutonia maps on skill 4 more manageable on lower skill settings It features the low life Cybers Ribbiks created which have 700 hp in this wad a full credit list of the resources used is present in the text file Cooperative gameplay is implemented,Missing,,,,,,
12,"[5, 8]",259821,Gunner 3,"[6, 34]",Gunner 3 is a very challenging 2d shooter set in the forests of South America where rumours have been heard that in area 6B they are experimenting with mutants and weapons your mission is to stop them and destroy all the soldiers enemies This game was developed by KNPMASTER in 2000 this is a remaster for modern systems Created completely in the Unity Engine and with various improvements such as full screen 16 9 improved HUD more detailed clouds new difficulty levels,Missing,,,,,,
13,[31],259384,Siemb Chronicles: Arkos The Traitor,"[6, 25]",Caberhi Tram elite commander of Emperor Shakars military forces is a legend in the Ururben galaxy Even in the service of the evil intergalactic ruler his adventures across countless worlds have made him a hero to the oppressed  Following his legendary quest to find the three galactic tombs that ultimately spelled the end of the empire his adventures are told in whispers and tales in palaces cantinas markets and homes across the galaxy A series of adventures that are collected in the Chronicles of Siemb,One of these adventures took our hero to the domain of one of the empires governors beyond Alpha Centauri where Gremla ruled with an iron fist over five confederations of planets in the galactic empire of Siemb Her lieutenant Arkos had turned against the governor and thus against the empire Caberhi Tram flew to the planet Hypsis also known as the prison planet in search of Arkos  Arkos after destroying Gremlas palace and weakening his government on the planet Sckunn known to all as the Imperial PalacePlanet returned to the planet Hypsis the raw material production center of the empire and the site of ultramodern defensive installations that Arkos knew perfectly well Arkos had reprogrammed all the work robots and security terminators for his own protection and in addition he counted on the planets indigenous creatures to defend him  Our hero had to get to the facility find Arkos and finish him off but first he had to get through the perimeter and that would not be easy,,,,,,
14,Missing,257625,Deltarune: Chapter 1 & 2,"[6, 14, 48, 130]",The awardwinning indie RPG Undertale expands the series with a brand new gamein a different world Create your own avatar meet strange friends and jump into the darkness The first two chapters are free so what are you waiting for And more paid chapters will come out as soon as we finish them so keep an eye out For years,Missing,,,,,,
15,[5],257131,Carnage Oasis,[6],Carnage Oasis is a short episode for Doom 2 designed for limit removing source ports made by various members of Doomer Boards This months project lead is 40oz,Missing,,,,,,
16,[32],254844,Runnordai,[6],Enter the foreboding world of Runnordai an eerie and unsettling game set within the confines of a sprawling hospital As you navigate the labyrinthine corridors your sole objective is to check every locker and uncover a crucial code needed to escape But beware a sinister figure lurks in the shadows emerging at random intervals with distorted laughter and a chilling presence that clouds your vision  Time is of the essence in this macabre chase Lingering too long in a certain area spells doom but swift evasion can keep you one step ahead Equipped with a phone you monitor ventilation issues while managing the battery levels of both your phone and computer The PC serves as your lifeline to rectify the escalating ventilation problems its power restored through a strategically placed lever within the map  Immerse yourself in the chilling atmosphere of Runnordai where each step could be your last Unlock the secrets within the hospitals walls confront your pursuer and strive to escape this haunting nightmare Are you ready to embrace the darkness and face the unknown,Missing,,,,,,
17,[34],254552,The Vamp,[6],A short story about a vampire who breaks into a mans house at night  You can play as Yumi the vampire or the man Your goal obtain the best grade But its not really necessary You can also get all possible notes and all endings for a total of 26 endings,Missing,,,,,,
18,"[15, 33]",253715,Angry Birds Power Trouble,"[6, 34]",While the birds are sleeping a pig wizard arrives and steals the birds powers and their eggs too While powerless the flock must get their eggs and their powers back Will they get their powers back or will they be lost forever,Missing,,,,,,
19,[31],251196,Waterfall,[6],A shadowy figure seeks peace,Missing,,,,,,
20,Missing,250125,Five Nights At Your Mom's House,[6],So you need to work at Your Moms House but some people want to come by and Kill You,Missing,,,,,,
21,"[13, 31]",246206,Nullscape,"[3, 6, 14]",The End is a barren depressing bleak place As it should be and always will be  Nullscape is a Minecraft datapack designed to overhaul the Ends generation in a way that maintains this identity  a realm of utter desolation Nullscape will make you feel tiny and alone in the vast expanse of the End You against the void  nothing more than that,Missing,,,,,,
22,Missing,242498,Unforgiven: Carry The Pain,[6],Broken Shattered On a journey to redemption Carrying the pain of his past errors Seeking forgiveness by accepting a quest bestowed upon him by the King to cleanse the Underworld from an ancient evil also giving him a chance for revenge from the one causing the pain in the first place,Missing,0.0,0.0,0.0,0.0,0.0,0.0
23,"[9, 32, 35]",238877,BlackJack Math Cross Numbers,[6],Tease your brain in this ambient logic game where you have to make the math match 21 as a result horizontal and vertically because were talking about blackjack right Swap the cards make the math repeat Thats all youll need in order to complete this game,Missing,,,,,,
24,"[9, 34]",238662,Pedestal,[6],One month ago Cosmos Girls Academy student Shiori Natsume was found dead on campus  Though rumor spreads that it was suicide Aoi Ooe of the newspaper club wants to know if thats really true  Accompanied by her friend Akari she begins an investigation to uncover the truth  no matter what may come of it,Missing,,,,,,
25,[31],234809,The Passage,[6],The Passage is a firstperson exploration game set in a cold forest of a post apocalyptic world You suddenly run out of gas in a distant area and your only way out is to search for 2 gas canisters in the area to help you on your journey but beware of the creatures in the forest,Missing,,,,,,
26,Missing,234178,FTB Oceanblock,"[3, 6, 14]",OceanBlock is a new unique modpack created by the FTB Team inspired by the countless islandbased modpacks Expect many changes to what youre used to encounter custom structures within the deep depths of the sea Experience the true beauty of the obsidian boat especially in water With over 550 quests to guide you through this wet and wild journey youll never loose things to do Nor will you feel bored with the addition of rafts to break A new addiction can form the endless hunt for treasures among the infinite oceans An entirely new crafting system Tempered jars As you follow the quests diving into new draconic technology Enjoy the lack of ability to swim Jump into the ocean with a scuba suit Sluice gravel sand dirt and dust for resources  Dive into this new drenched world,Missing,,,,,,
27,"[8, 31, 32]",231239,Shieldmaiden: Remix Edition,"[6, 49, 130, 169]",Shieldmaiden Remix Edition is an expanded version of Shieldmaiden with a revised and more indepth story balance and quality of life improvements new levels and gameplay features,Missing,,,,,,
28,"[15, 33]",230098,Among Us: Submerged,[6],Submerged is a mod in Among Us that adds an underwaterthemed map,Missing,,,,,,
29,"[2, 34]",229770,Mornings with Java,"[3, 6, 14]",After recently moving in Chronos receives much needed help from his neighbour Java As thanks he starts spending the mornings with him Together they learn more about each other and end up falling in love  MORNINGS WITH JAVA is a visual novelpoint and click game created in RenPy Help Chronos make drinks for Java as they spend the mornings with each other,Missing,,,,,,
30,"[32, 34]",228988,Jacob's Room,[6],Your friend has invited you to hang out but there isnt actually much to do at his place Interact with items and talk to Jacob to learn more about him,Missing,,,,,,
31,[4],228293,Vargverse,[6],Vargverse is a fighting game made in MUGEN based on streamer Vinesauce Joel,Missing,,,,,,
32,Missing,227941,Sonic Colors: Ultimate - Day One Edition,"[6, 48, 49, 130]",Missing,Missing,,,,,,
33,"[13, 15]",226525,Anno 1800: Pedestrian Zone Pack,[6],The Pedestrian Zone Pack includes 22 new ornaments that allow your residents to stroll along beautiful streetscapes,Missing,,,,,,
34,[12],226521,Pathfinder: Wrath of the Righteous - Enhanced Edition,[6],Embark on a journey to a realm overrun by demons in a new epic RPG from the creators of Pathfinder Kingmaker Explore the nature of good and evil learn the true cost of power and rise as a Mythic Hero capable of deeds beyond mortal expectations,Missing,,,,,,
35,"[32, 34]",225819,Your Voice in the Autumn Leaves,[6],After his girlfriend Kaori broke up with him 17 year old student Kure isolated himself from the world spending his time home heartbroken listening to sad indie songs and playing videogames Then one day outside the Hospital where his mother works Kure met someone very special a girl named Autumn who has been diagnosed with cancer and is trying to assimilate her situation That day would change their lives forever,Missing,,,,,,
36,[5],224878,The Long Trek Back Home,[6],Meant to be an immediate followup to the story of Doom II it features maps that are heavily inspired by their original counterparts but with a reversed progression The player begins at the destroyed Icon of Sin site and retraces their steps through the Hell levels city levels and finally the starport levels while facing increasingly heavy demonic opposition and changed mostly destroyed and twisted architecture heavily reminiscent of the original layouts,Missing,,,,,,
37,[12],224437,Atom RPG: Trudograd - War Supply Pack,"[3, 6, 14]",War Supply Pack for Atom RPG Trudograd was created to allow more character customization options to those players who have already purchased the game but still want to support our small team,Missing,,,,,,
38,"[8, 31, 32]",223954,Blue Fire: Void of Sorrows,"[6, 48, 49, 130]",The Void of Sorrow DLC is an endgame content expansion for Blue Fire that includes  2 new Areas the Void Gate a secret wing of the Fire Keep and the Sealed Land a forgotten place hidden away for ages 16 new mindblowing Voids which will have you prove your limit 1 new epic boss fight where youll uncover an unbelievable truth Several hours of new gameplay Exclusive tunics swords and a new NPC Lore expansion  cutscenes,Missing,,,,,,
39,[12],222740,Utakata no Alice: Dolls infeRno,"[6, 14, 82]",Utakata no Alice Dolls infeRno is a roleplaying game created by R Man 44 in 2021,Alice who was supposed to be dead wakes up It is the hell she deserves,,,,,,
40,Missing,222638,Breathless,[6],Breathless is a large Boom compatible slaughter map for Doom 2 The theme is deep blues punctuated with cyan and is heavily inspired by Swim with the Whales both in aesthetics and difficulty The wad is inspired by a lot of things visually though from Metroid Primes Phazon Mines to Sunder,Missing,0.0,0.0,0.0,0.0,0.0,0.0
41,"[8, 31]",222418,Castlevania: Dracula X,"[6, 48, 49, 130]",A port of Castlevania Dracula X included in Castlevania Advance Collection  Fight your way through Draculas Castle and defeat the toughest enemies with the new special attack Item Crash  Castlevania Dracula X is a reimagining of the cult action game Castlevania Rondo of Blood and has been acclaimed as one of the most challenging Castlevania titles ever created  New QualityofLife features for this port are included such as Rewind Quick Save and RecordReplay  The Dark Lord Count Dracula rises again from the dead to revive the forces of darkness and to annihilate this corrupted world and create a new one You are Richter Belmont heir of the Belmont family and you set out for Draculas Castle to defeat its evil master,Missing,3.07,3.31,3.98,66.0,119.0,100.0
42,"[8, 12, 31]",222412,Castlevania: Aria of Sorrow,"[6, 48, 49, 130]",A port of Castlevania Aria of Sorrow included in Castlevania Advance Collection  Aria of Sorrow introduced a brand new attack system called Tactical Souls that lets Soma Cruz capture the souls of slain monsters to acquire their abilities 100 abilities in total Aria of Sorrow also has a ton of New Game content  New QualityofLife features for this port are included such as Rewind Quick Save and RecordReplay The new Encyclopedia feature offers helpful information that helps you keep track of items equipment enemies and the Tactical Souls System With the new Soul Gadget option you can get onscreen popups that display whether or not a soul has been obtained every time you defeat a monster  Soma Cruz a young high school exchange student in Japan is somehow involved in the eternal cycle of reincarnation of the Dark Lord himself What role does Soma play in all of this Will he be able to return to his own world,Missing,6.99,7.87,13.94,85.0,593.0,681.0
43,"[8, 12, 31]",222411,Castlevania: Harmony of Dissonance,"[6, 48, 49, 130]",A port of Castlevania Harmony of Dissonance included in Castlevania Advance Collection  Harmony of Dissonance introduced a lot of new features to the franchise such as Boss Rush mode and the Spell Fusion System that lets players combine SubWeapons with Spell Books to cast devastating spells  New QualityofLife features for this port are included such as Rewind Quick Save and RecordReplay The new Encyclopedia feature offers helpful information that helps you keep track of items equipment enemies and the Spell Fusion System With the new Collection Gadget option you can get onscreen popups that display the obtainable collection items in the current area  Play as Juste Belmont the grandson of legendary Vampire Hunter Simon Belmont,Missing,7.67,8.2,11.5,74.0,317.0,382.0
44,"[8, 12, 31]",222410,Castlevania: Circle of the Moon,"[6, 48, 49, 130]",A port of Castlevania Circle of the Moon included in Castlevania Advance Collection  In Circle of the Moon you can combine action and attribute cards to create over 80 unique spell effects ranging from fire whips to ice blizzards with the Dual Setup System  New QualityofLife features for this port are included such as Rewind Quick Save and RecordReplay The new Encyclopedia feature offers helpful information that helps you keep track of items equipment enemies and the Dual Setup System With the new DSS Gadget option you can get onscreen popups that display the DSS Attribute  Action cards that are obtainable from the monsters you encounter in battle  The story follows Nathan Graves a vampire hunter apprentice who enters Draculas Castle along with his Master in order to prevent the dreaded return of the Count,Missing,8.79,11.29,16.56,73.0,386.0,415.0
45,[5],221845,Haste,[6],Haste is an eighteenmap Doom II megawad for Boomcompatible source ports by various mappers known for their work in the slaughter map genre The project was originally headed by Scotty but seen to completion by Insane_Gazebo Initially the maps were meant to be short and more accessible challenge maps that could be beaten by lowerskilled players on the UltraViolence difficulty setting but the style shifted to longer and more challenging maps after Insane_Gazebo took over the project The WAD was released on the Doomworld forums on September 22nd 2021 and was awarded a Cacoward at the end of that year,Missing,,,,,,
46,"[31, 34]",221265,Hazuki Makimura's Love Story,[6],Hazuki Makimuras Love Story is an erotic romantic visual novel where after a series of misfortunes with the protagonist Kayabuki Akira being trapped after a tree fell into his apartment and the wall connecting his temporary apartment room to his neighbors collapses hes now forced to live with his neighbor Makimura Hazuki and deal with living together and getting to know each other better,The protagonist Kayabuki Akira is troubled by the fact that he has no dreams  After an unfortunate accident in which his apartment was trapped under a fallen tree he was forced to leave where he was living and was introduced to a rundown apartment called Shoufukusou with a rent of 20000 yen as a temporary residence However his misfortune is far from over  On the night he moves into the apartment the wall connecting his room to his neighbor collapses due to a noise problem he caused Until repairs are completed he is forced to live with his neighbor Makimura Hazuki  At first they are confused by the unfamiliarity of living together and with the opposite sex but as they get to know each other they lose their reservations and gradually grow closer  One day he is asked to help Hazuki with her hobby of making movies The wheels of his lost youth slowly and quietly begin to turn,,,,,,
47,[31],220767,Ex.Emi,[6],ExEmi is a Japanese Yume Nikki fangame It plays like a traditional fangame where you play as Emi 笑美 a young woman who refuses to leave her apartment,Missing,,,,,,
48,"[2, 12, 31, 32]",219788,Gamedec: Definitive Edition,"[6, 130, 167]",Gamedec is a singleplayer cyberpunk isometric RPG You are a game detective who solves crimes inside virtual worlds Use your wits to gather info from your witnesses and suspects getting to the bottom of deceptive schemes The game continually adapts to your decisions and never judges,Missing,,,,,,
49,"[2, 12, 15, 31, 32, 35]",218494,Historical Trilogy,"[6, 48, 49, 130]",Klabaters Historical Trilogy contains three meaningful storydriven  historyinspired games We The Revolution Help Will Come Tomorrow and The Amazing American Circus Immerse yourself into plots inspired by momentous historical and political events created with Unique handdrawn 2D visuals,Missing,,,,,,
50,Missing,218053,Age of DOOM,[6],A remake of Doom II set in the world of Age of Empires II,Missing,,,,,,
51,"[32, 34]",217758,Goodnight,"[3, 6, 14]",A short kinetic novel about a nameless boy who expresses his thoughts under the gentle shine of the night sky,Missing,0.83,0.0,0.0,60.0,1.0,1.0
52,[13],213951,Bus Simulator 21: MAN Bus Pack,"[6, 49]",Attention all Angel Shores and Seaside Valley bus drivers  You want to upgrade your fleet with the content of the Bus Simulator 21  Extended Edition including the fresh design of the new MAN Lions City 12 city bus with three fancy interior sets Then this is the perfect expansion pack for you,Missing,,,,,,
53,[13],213950,Bus Simulator 21: Protect Nature Interior Pack,[6],When asked what spices up their lives pedestrians drivers and passengers usually agree variety  With this Protect Nature themed authentic bus interior pack including four new specifically designed color patterns for the seats and attractive floor designs every virtual bus driver can make a statement about nature conservation Customize your bus and make it your own Enjoy the freedom of choice and try something new  The next shift is about to begin So what are you waiting for Get in sit down and enjoy the fresh interior designs of your buses,Missing,,,,,,
54,[32],213941,Totemlands,[6],You are an adventurer who just arrived at the mysterious land of Oakshade inhabited by spirits known as Oaklingers peculiar locals and totems Totemlands is a relaxing crafting building game where you hunt spirits use them to craft and raise totem poles Totem poles produce valuable resources called Relics which can be sold for Golden Acorns ingame currency which later can be used to expand upgrade or unlock new territories,Missing,,,,,,
55,[13],213849,Bus Simulator 21: USA Skin Pack,[6],This collection of 10 unique paint jobs opens the door to a land of unlimited visual opportunities while you drive the streets of Angel Shores and Seaside Valley,Missing,,,,,,
56,[13],213848,Bus Simulator 21: Angel Shores Insider Skin Pack,[6],This collection of 10 unique paint jobs lets you represent the new USA map Angel Shores as well as its sights and secret spots while you drive the streets of Angel Shores and Seaside Valley,Missing,,,,,,
57,"[13, 32, 34]",213728,Romance,[6],It is a love oriented short visual novel which contains a wealth of interesting games and a large number of exquisite CG pictures The man lives in the same apartment with his friends works in the same company and leads a monotonous life The appearance of interns has changed the repetitive life,Missing,0.0,0.0,9.3,0.0,0.0,1.0
58,[34],213134,"Fuyukara, Kururu.","[6, 48, 130]",Eh What do you mean that Shihonchan might die Eeh Shihonchans head has gone missing  It seems Shihonchans headless body was found in the meditation room  A murder isnt unusual after all theres at least one bloodthirsty killer at school Murdering people is fine and all but its considered a taboo that must be never violated to decapitate and hide their head because one can never be revived if so If her head isnt found within two days shell really kick the bucket  A boarding system school isolated from the outside world and there do the immortal girls live The time it takes for them to become an adult is the same time it takes for them to deage and become a baby they grow up until they become an adult once more and then do they deage againa cycle thats being repeated  Theres only one condition in order to graduate from school one needed to be deemed a prodigy by someone observing from the outside The moment that verdict be handed down the girls graduation would be recognized and she would disappear from school  The immortal girls peaceful school life would be greatly disturbed by a certain murder case,Missing,,,,,,
59,[12],212311,El Shaddai: Ascension of the Metatron,[6],El Shaddai Ascension of the Metatron originally released in 2011 is a unique thirdperson action adventure filled with a deeply artistic worldbuilding outstanding aesthetics and thrilling battles,Missing,8.46,10.6,13.63,67.0,132.0,129.0
60,"[8, 32]",210657,I Wanna How Many Bottles of Coke Zero Can Badlands Chug in 3 Minutes? Watch & See!,[6],Missing,Missing,,,,,,
61,"[9, 13]",209952,Container City,[6],Build ecofriendly habitats on the sea out of containers and solar panels Welcome to the city of the future,Missing,,,,,,
62,"[2, 34]",209720,The Case of the Serialized Killer,[6],When a popular illustrator is found dead disgraced demonologist Harold Ludicael is hired to summon her ghost But hes hiding a secret  Ghosts are as fake as all the other lies coming out of Ludicaels mouth,Missing,2.0,0.0,0.0,70.0,1.0,1.0
63,[34],209628,Eternum,"[3, 6, 14, 34]",Eternum is a choicebased visual novel made in Renpy with tons of romance mystery humor and much more,Youre moving with your best friend to the city of Kredon home to some of the best schools and universities in the country to continue your studies However in Kredon theres only one thing everyone talks about ETERNUMthe virtual hyperreality MMORPG game released a few years ago that revolutionized the world of technology With a neural implant that recreates the five senses it becomes impossible to distinguish between the game and the real world Thousands of servers form the network of Eternum from colorful magicfilled fantasy worlds to foggy scifi cities no world is beyond reach Nevertheless looking beyond the surface theres a darker side to this pretty facade black markets torture rape illegal content trafficking unlawful assemblies data theft Eternum follows the rules of no man For some reason governments turn a blind eye to this theres no regulation and no control Some say its because the game is highly addictive some say its because the market moves millions of dollars daily some say those in power have been bribed and others say theres something else going on And you Whats your role in this story Well Thats up to you now,11.82,0.0,0.0,0.0,0.0,1.0
64,"[5, 8]",209236,Make a Good 48 Hour Mega Man Level,[6],After all the work hes been doing for so many years Mega Man is finally taking a welldeserved vacation The Light family has set sail on a luxury cruise ship the SS Elroy Unfortunately it seems an upandcoming group of neerdowells has set their sights on the same cruise Before long its up to Mega Man to blast through the cruises Simulation Fair in an effort to gather enough Energy Elements to save the day  Make a Good 48 Hour Mega Man Level MaG48HMML or just 48H was held to test and refine the Megamix Engine in preparation for MaGMML3 Participants had 48 hours to create a level using randomly selected enemies and gimmicks from across the entire Classic Mega Man series Levels were evaluated and ranked by a panel of 4 judges and an elaborate game was built around the results Unlike the main MaGMMLs participants were not allowed to program custom objects for their levels  but that doesnt mean this game isnt just as wacky and innovative as previous ones  48H is a spiritual successor to Make a Good 24 Hour Mega Man Level that takes place between MaGMML2 and MaGMML3 but no previous MaGMML knowledge is necessary to enjoy the story,Missing,,,,,,
65,"[12, 31, 32]",208405,Anna-san tachi no Fushigi no meikyuu,[6],Annasan tachi no Fushigi no meikyuu is a roguelike game produced by Capricorn,Anna noticed that the prince was not there in the morning So she asked them to gather in the office to gather information  Have you seen the prince I havent seen him I saw him go into the forest alone  Was he heading for the forest labyrinth Unable to stay in the room Anna headed for the labyrinth,,,,,,
66,"[12, 31, 32]",207154,Touhou Genso Wanderer: Lotus Labyrinth R - Wily Beast and Weakest Creature Friends,"[6, 130]",This DLC adds new team members from Touhou Wily Beast and Weakest Creature,Lead tons of your favorite Touhou characters at once and conquer the impregnable Lotus Labyrinth,,,,,,
67,"[31, 32]",202131,Tiny Town Mail,[6],Its your first day on the job and you have several packages to deliver but all of the labels are smudged Get to know the folks of Tiny Town and try to figure out who ordered what in this small and simple puzzle game,Missing,,,,,,
68,[5],201229,Abysm 2: Pharaoh's Judgement,[6],Abysm 2 Pharaohs Judgement is an Expansion for the GZDoom mod Abysm 2 Infernal Contract Includes a new singleplayer Campaign with new Weapons Monsters and Quests,Missing,,,,,,
69,Missing,200697,Intern: An Intern's Guide to Maintaining Internal Rage,"[3, 6, 14, 82]",Welcome to your first day at redacted This new employee guide comes to you directly from the Far Corner Devs  We here at redacted thank you for joining our family You may have heard people refer to this job as monotonous passion devouring or a complete waste of shareholder funds,Missing,,,,,,
70,[32],198526,Type the Entire of Ulysses. That's It. That's the Game.,[6],Finally a typing game with the entire of James Joyces Ulysses in it In Type The Entire Of Ulysses Thats It Thats The Game you will type out Ulysses and pretty much nothing else,Missing,,,,,,
71,"[7, 32]",198523,The Geography,"[3, 6, 14, 34, 39, 162]",The Geography is an endless nonlinear orchestration The Geography is presented as a musical companion for meditation relaxation jubilation contemplation selfcare sleeping and dreaming where every instances composition is unique and plays endlessly,Missing,0.0,0.0,0.0,0.0,0.0,0.0
72,"[2, 32]",198511,Room Explorer 2010,"[6, 82]",Experience trespassing upon my very own home from the comfort of wherever your computer is located  TODAY,Missing,0.0,0.0,0.0,0.0,0.0,0.0
73,[5],196802,Quake: Alkaline Jam,[6],Nine large open industrialbase levels and a starting hub map The underlying mod features a large number new and modified enemies weapons and additional content like models sounds skyboxes and music tracks for each map It is also meant to serve as a general toolbox for basethemed levels,Missing,,,,,,
74,[5],196491,Quake: SMEJ Jam,[6],Community map pack inspired by SMEJ and SMEJ2 nine small to large levels plus a starthub map in varying themes mostly set in snowy Finnish landscapes It is based on the SMEJ2 mod included and features new enemies models custom textures skyboxes and music tracks The map sources are included SMEJ made were originally a map pack of Finnish mappers  Curiously none of the maps are made by the Finnish SMEJ team,Missing,,,,,,
75,"[13, 15, 31, 32]",195556,Space Tower Defense,[6],Welcome in Space Tower Defense where you must to defend your own castle from the waves of monsters Rush in and protect your own castle right now,Missing,,,,,,
76,"[31, 32]",195327,Welcome to Free Will: Episode 1,"[3, 6]",Welcome to Free Will  Episode 1 is the first episode of a choicedriven adult Visual Novel game You play as a young man who travels to a small town looking for his missing mother As you soon find out the town is packed with many beautiful women,Missing,,,,,,
77,[15],195110,Arkheim: Realms at War,[6],Experience a new take on the competitive 4x genre with Arkheim  Realms at War Team based strategy in a free to play MMO fantasy world played in game rounds of 10 weeks each,Missing,,,,,,
