first_release_date,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
1533859200,[12],272851,Korekiyo's Epic Quest for Pussy,"[6, 14]",Korekiyo Shinguji everyones favorite problematic anthropologist wakes up one day with an almost irresistible thirst for pussy Uhoh What will he do What kind of wacky adventures will he have What kinds of friends and foes will he meet on his journey Find out in this silly and funny new RPG Korekiyos Epic Quest for Pussy,Missing,nan,nan,nan,nan,nan,nan
1535587200,[5],271749,Rich Mahogany and Human Leather-Bound Books,[6],Large castle library in the mountains It uses some Knave textures and comes with a custom skybox,Missing,nan,nan,nan,nan,nan,nan
1535068800,[5],271295,Warmth Of A Dying Sun,[6],Mediumsized Egyptianstyle level Comes with a custom desert skybox,Missing,nan,nan,nan,nan,nan,nan
1535328000,[5],271235,Terracotta,[6],Terracotta  12 SP maps  Danzadan Inging ionous ish JCR muk0r Newhouse PinchySkree prengle Shambler vaf Andrew Yoder Includes various custom skyboxes and map sources and some of the maps may require a source port with increased limits,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1534032000,[5],268887,Stratospheric Domain,[6],This map involves running on precarious glitter bridges while in the line of fire of several death wyverns as well as being swarmed by numerous foes continually spawning in randomly,Missing,nan,nan,nan,nan,nan,nan
1534204800,[5],268879,Hexen Upstart Mapping Project,[6],Hexen Upstart Mapping Project also known as XUMP is a 12level PWAD for Hexen made for GZDoom The project was led by Tom Jensen HexenMapper as a community project with various mappers contributing to the final release The project was inspired by the Doom Upstart Mapping Project series,Missing,nan,nan,nan,nan,nan,nan
1535673600,[5],266825,The Incident,[6],This is a techbase themed map for Doom 2 where you are sent to Mars Base Rama to investigate an incident in subsector B3 The base personnel has vanished and in its place you encounter hordes of hellish demons What happened,Missing,nan,nan,nan,nan,nan,nan
1534809600,Missing,266503,Dresden Files Cooperative Card Game: Winter Schemes,"[3, 6, 14, 34, 39, 130]",FEELING WINTERS BITE Warm up with this expansion for the Dresden Files Cooperative Card Game Includes two alternative character decks  WINTER KNIGHT HARRY and WINTER LADY MOLLY  and two new book decks  COLD DAYS and SKIN GAME,This expansion references the main events and actions taken by characters in the books Cold Days and Skin Games,nan,nan,nan,nan,nan,nan
1535241600,[5],262264,Arctic Outpost,[6],The map was designed to be SP only for GZDoom works fine in 331 and so jumping crouching and freelook is allowed the arctic setting was originally inspired by The Thing however it soon evolved into a more traditional doom map This was a submission for the Vinesauce Mapping Contest II,Missing,nan,nan,nan,nan,nan,nan
1533859200,"[4, 12, 16]",260097,Pokémon Castaway,[6],Welcome to Pokémon Castaway The player is the notso fortunate winner of a trip to Alola On the flight there however the plane is struck down Landing on the mysterious Bermada Island the player is tasked with exploring their environment while searching for fellow survivors and a way off of the island As the player traverses further inland it becomes evident that the island is anything but deserted Will the player find a way off the island And more importantly will they get to go on an Alolan vacation,Missing,nan,nan,nan,nan,nan,nan
1534464000,[34],259344,Doki Doki Hell's Kitchen,[6],World renowned Chef Gordon Ramsey came to your club to show you the beauty of the culinary arts Hes here to educate motivate and tell you how to make the best cupcakes Will Gordon have enough patience for these mouthy high schoolers Can the club members take the heat of the kitchen And most importantly wheres the lamb sauce,Missing,nan,nan,nan,nan,nan,nan
1535068800,[32],251137,Project Beksinski,[6],Game inspired by images of Zbigniew Beksiński,Missing,nan,nan,nan,nan,nan,nan
1535673600,[34],240521,Tlicolity Eyes Vol. 3,[6],Tlicolity Eyes is a part of triAngle PROJECT a collaboration project between Otomate and Frontier Works Each series will have 3 games released in span of 9 months for Windows under the same concept one heroine two heroes and triangle love  Tlicolity Eyes theme is entertainment industry x love comedy x triangle love,Missing,nan,nan,nan,nan,nan,nan
1533772800,Missing,238945,Fishing: Barents Sea: Line and Net Ships,[6],Expand your fleet of ships with this DLC adding five new vessels to your game of Fishing Barents Sea The ships are either compatible with line or net fishing and comes with its very own quota  so drive out and fish to your hearts content There is plenty opportunity to explore the seas in search of new fishing grounds More ships mean more quotas to fill,Missing,nan,nan,nan,nan,nan,nan
1535673600,"[12, 31, 33]",230613,FNaF World Simulator,[6],Welcome back to Animatronica  Freddy has completed the game and gained an unfair amount of power With his new powers hell take over Animatronica and destroy any enemies left in it  It is now up to the so called enemies to stop Freddy before its too late,Missing,nan,nan,nan,nan,nan,nan
1535328000,"[9, 26]",230120,Test Your Knowledge: Cats,[6],Test Your Knowledge Cats is a test game that will test your knowledge of different cat breeds Do you know how to look like a variety of cat breeds Havana Somalia Oriental Peterbald Maine Coon Pixibob and many others Test yourself with our interesting test,Missing,nan,nan,nan,nan,nan,nan
1534118400,"[7, 31]",229902,Protocol: 47,"[3, 6]",Overpopulation Were running out of space We need to enact Protocol 47  Protocol 47  In the event of an humanitarian disaster Protocol 47 is used to select a celebrity to release an appealcharity single or host a celebrity filled live concert in order to raise awareness of chosen disaster  Play as a Superstar Producer and pen a new hit record that brings the overpopulation issue to the minds of many,Missing,nan,nan,nan,nan,nan,nan
1534464000,[8],227797,Sonic Advance Revamped,[6],Sonic Advance Revamped is a remake and reimagining of the original Sonic Advance on the GBA using the Sonic Worlds Delta engine its a passion project designed to be the definitive way to play Sonic Advance with better hazard placement a 169 aspect ratio patchedup levels and bosses completely redesigned Special Stages the smoothest sprites from each GBA Sonic title with some special cases and custom sprites here and there reimplemented unusedbeta elements and true classic Sonic controls to make the game feel even better Features set for the future include an exclusive Team Chaotix Mission Mode 8 Unique Playable Main Characters 7 of which are playable in this Demo a fleshedout Tiny Chao Garden New Levels and Music Tracks and more For this particular Demo Sonics InstaShield is swappedout for his Drop Dash This move will be an early unlockable in the final version,Missing,nan,nan,nan,nan,nan,nan
