first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1285632000,275236,Mafia II DLC: Greaser Pack,[6],The Mafia II Greaser DLC pack is all about speed These 2 new hotrod speedsters will have you outrunning the police every time Pair that with 2 new suits for Vito one with leather jacket and heavy boots the other a leather racing suit and get ready to start your engines,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1284422400,274219,Threshold of Pain,[6],Threshold of Pain is a ZDoom episode which attempts to recreate the look and feel of Midways famous PSX conversion of Doom whilst maintaining the core elements of the PC versions and a level of difficulty PC players would expect,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1285286400,273539,Prayers of Armageddon,[6],Prayers of Armageddon is a Doom II megawad created by Santtu Pesonen MFG38 It includes 32 new maps and a hidden bonus map which is only accessible via using cheats All the levels for the megawad were created entirely by Pesonen There was also a remake titled Prayers of Armageddon Retaliation and it was released in 2014,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1284940800,272807,Dink Smallwood HD,"[6, 14, 34, 39, 82]",The remixed version of the oldschool RPG adventure cult classic It features remastered soundtrack new quality of life features builtin mod support upgraded engine and gamepad support,"[12, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1283904000,268425,Vordakk's Keep,[6],This wad is a replacement for Map 01 of DOOM2 and is my attempt at a Plutoniastyle level Expect a very challenging adventure with some nasty battles and rather unfair ambushes all in the spirit of The Plutonia Experiment,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1283472000,261435,Mega Man: Day in the Limelight,[6],Mega Man Day in the Limelight is the first game in a fangame trilogy based on the 8bit series of games and created by Riverroad,"[5, 8]",Missing,Missing,nan,nan,nan,nan,nan,nan
1285804800,256445,Team Fortress 2: Mann-Conomy Update,[6],The MannConomy Update was a major content patch for Team Fortress 2 In total the update added 65 new items including communitycontributed content from the Polycount Pack contest new Cosmetics weapons Unusual effects minigames tools crates and packs of cosmetics and weapons The update also introduced the Mann Co Store Steam Wallet and microtransaction system as well as item trading,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1283385600,254473,The Elder Scrolls Renewal Morroblivion,[6],Welcome to Morroblivion the godfather of The Elder Scrolls Renewal Projects A community dedicated to recreating The Elder Scrolls III Morrowind GOTY into the more modern engine of Oblivion complete with creatures quests voices and support for original Morrowind mods such as Tamriel Rebuilt,[12],Missing,Missing,nan,nan,nan,nan,nan,nan
1284076800,247554,Half-Life: Shift-Two,[6],You are Otis a security guard at the Black Mesa facility After surviving the Resonance Cascade you attempt to escape the facility with your colleagues,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1285804800,228345,Unloved,"[6, 14]",You wake up in your house And youre all alone The only thing that is with you is your sanity Or is it,[5],You wake up in your house And youre all alone The only thing that is with you is your sanity Or is it,Missing,nan,nan,nan,nan,nan,nan
