first_release_date,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1237420800,[5],273268,Call of Duty: World at War Map Pack 1,"[6, 9, 12]",The Call of Duty World at War Map Pack 1 expands the addictive COD multiplayer experience with four new maps Players fight through the burning streets of Berlin in Nightfire and take up battle positions in fortified Japanese bunkers in Knee Deep Station offers a bombed out underground train station and the Nazi Zombies return in Verrückt Zombie Asylum featuring more weapons new PerksaCola machines and electroshock defenses,Missing,Missing,nan,nan,nan,nan,nan,nan
1238457600,Missing,266636,Exelinya Burst,[12],Hit the enemy with a large explosion Throw chain explosions pouring petrol on the treat Grab a nearby enemy the game is to throw away a lot of enemies The game is over when the time limit becomes zero Please aim for a high score within the time limit,Missing,Missing,nan,nan,nan,nan,nan,nan
1236729600,"[8, 15, 31, 32, 33]",164363,The Maw: River Redirect,"[6, 12]",In this deleted scene from The Maw raging fires block Frank and Maws way but with the powers of the Gastro and Pufftor creatures they change the course of a river and reopen their path This part of the story takes place after the Looferland level,Missing,Missing,0.0,0.0,0.45,50.0,1.0,2.0
1236297600,"[5, 31]",145197,Resident Evil 5: e-Capcom Limited Edition,"[9, 12]",Resident Evil 5 eCapcom Limited Edition is a Japanese limited edition box set only available for preorder from ecapcomcom for a short time in December 2008 It came in a sealed black outer case with a barcode sticker with the following items inside  Resident Evil 5  Tricell box which contains the game and a USB memory stick with instructions  BSAA box which contains a BSAA waist pouch  Resident Evil 5 Art Book A Tricell wallet was also bundled with each of the boxes,Missing,Missing,nan,nan,nan,nan,nan,nan
1236902400,"[5, 31]",145195,Biohazard 5: Limited Edition,"[9, 12]",Biohazard Resident Evil 5 Limited Edition is a Korean limited edition of Resident Evil 5 It came in a big box which contains  The Game regular edition with numbered sticker  The movie Resident Evil Degeneration  The Making of RE5 DVD  Art Book,Missing,Missing,nan,nan,nan,nan,nan,nan
1236211200,"[5, 31]",145193,Resident Evil 5: Deluxe Edition,[12],Resident Evil 5 Deluxe Edition is a Japanonly release that comes in a metal tin and includes a Select Track soundtrack CD,Missing,Missing,nan,nan,nan,nan,nan,nan
1236211200,"[8, 9, 31]",142472,Prince of Persia: Epilogue,"[9, 12]",Prince of Persia Epilogue is a downloadable content pack for the 2008 reboot of the Prince of Persia franchise It continues the story from where the base game ends It was released as a console exclusive and was not available on PC,After the prince releases the dark god Arhiman again to save Elikas life it is shown that they survive and retreat to an underground palace Elika leaves the Prince However they both end up facing against Elikas father now referred to as the Mourning King once again They escape and attempt to leave the palace alive While on their way Elika shows her frustration with the Prince multiple times believing bringing her back was not worth the price of the evil it unleashed The Prince counters that by freeing her they stand a chance against Ahriman In a final battle against the Mourning King the Prince defeats him by impaling him on spikes a visual reference to the original Prince of Persia game from 1989 In the end Elika leaves the Prince to search for her people and the Prince is left alone with a bloodthirsty Ahriman seeking revenge leading to the events of Prince of Persia The Fallen King,Missing,nan,nan,nan,nan,nan,nan
1236729600,[26],68559,No Frills Cross Sums,[12],No Frills Cross Sums is an XNA community game The gameplay is a logicbased number placement game,Missing,Missing,nan,nan,nan,nan,nan,nan
1238457600,[5],67833,Squid Yes! Not So Octopus!,"[6, 12]",Born of atomic death Raised in the shadow of a mushroom cloud Hes a squid Not an Octopus Hes Squid Yes Not So Octopus And hes very irritable A classic single player psychedelic retro styled arena shooter The aim of the game is to score as close to 9 as possible whilst not succumbing to the invading masses,Missing,Missing,nan,nan,nan,nan,nan,nan
1237507200,Missing,66872,Moe Moe 2-ji Daisenryaku 2 Chu,"[6, 12, 20, 38]",Moe Moe 2ji Daisenryaku 2 chu is a turn based WWII strategy game developed SystemSoft Alpha Originally released for the PC it was later ported to the PlayStation 2 PlayStation Portable Nintendo DS and Xbox 360 with additional content,Missing,Missing,nan,nan,nan,nan,nan,nan
