,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
15,"[5, 24, 31]",53019,Far Cry 4: Gold Edition,"[6, 48, 49]",The Far Cry 4 Gold Edition includes the Limited Edition  The season pass It is designed for any fan and new comer who want the most complete game experience on Far Cry 4,Missing,Missing,,,,,,
16,"[5, 24, 31]",51531,Far Cry 4: Steelbook Edition,"[6, 9, 12, 48, 49]",The SteelBook Edition of Far Cry 4 includes   Far Cry 4 SteelBook  Map of Kryat  Propaganda poster,Missing,Missing,,,,,,
17,"[12, 24, 31]",47491,Dragon Age: Inquisition - Deluxe Edition,"[6, 48, 49]",Dragon Age Inquisition Deluxe Edition is the premium edition of Dragon Age Inquisition It is available on PC Xbox One Xbox 360 PS4 and PS3 for North America and was released on November 18 2014 it was released on November 21 2014 in Europe however the PC version of this edition is unavailable in Europe A digital version of this edition is available for all platforms,Missing,Missing,,,,,,
18,[4],45150,Mortal Kombat X: Kollector's Edition,"[48, 49]",This edition includes the following Mortal Kombat X game Scorpion figurine by Coarse Certificate of Authenticity Gold Scorpion Skin and Kombat Pack Downloadable Content,Missing,Missing,,,,,,
19,"[5, 24, 31]",42943,Far Cry 4: Limited Edition,"[6, 9, 12, 48, 49]",Far Cry 4 Limited Edition is a special edition of Far Cry 4 there comes with the DLC Hurks Redemption The Limited Edition includes three additional Hurk bonus missions and an exclusive Impaler Harpoon Gun and More Monkeys  The singleplayer story follows Ajay Ghale who initially returns to his home country Kyrata wild region of the Himalayas struggling under the regime of despotic selfappointed king Pagan Min played by Troy Bakerto scatter his mothers ashes but becomes caught up in a civil war,Missing,Missing,,,,,,
20,"[12, 31]",42910,Assassin's Creed: Unity - Collector's Edition,"[6, 48, 49]",The Collectors Edition of Assassins Creed Unity comes in a Notre Dame Cathedral collectors showcase box and includes the following content   16 Arno Figurine  Art Book  Music Box  Soundtrack  Single Player missions DLC  The Science Mission  The Chemical Revolution,Missing,Missing,,,,,,
21,"[5, 24, 31]",41616,Far Cry 4: Kyrat Edition,"[6, 9, 48, 49]",In Far Cry 4 players find themselves in Kyrat a breathtaking perilous and wild region of the Himalayas struggling under the regime of a despotic selfappointed king Using a vast array of weapons vehicles and animals players will write their own story across an exotic openworld landscape  The Far Cry 4 Collectors Edition is the ultimate package It includes   Far Cry 4 Limited Edition game with a set of 3 bonus missions and a harpoon gun  79 inch figurine of the villain Pagan Min seated on an elephant throne  165x30 inch Pagan Min propaganda poster  Travel Journal  Map of the Himalayan openworld of Kyrat  Exclusive collectors box,Missing,Missing,,,,,,
22,"[5, 31]",41607,The Evil Within: Limited Edition,"[6, 9, 12, 48, 49]",Highlycrafted environments horrifying anxiety and an intricate story are combined to create an immersive world that will bring you to the height of tension in this game With limited resources at your disposal youll fight for survival and experience profound fear in this perfect blend of horror and action,While investigating the scene of a gruesome mass murder Detective Sebastian Castellanos and his partners encounter a mysterious and powerful force After seeing the slaughter of fellow officers Sebastian is ambushed and knocked unconscious When he awakens he finds himself in a deranged world where hideous creatures wander among the dead Facing unimaginable terror and fighting for survival Sebastian embarks on a frightening journey to unravel whats behind this evil force,Missing,,,,,,
23,"[12, 13, 15, 31, 32]",31472,Revenant Saga,"[6, 9, 14, 34, 41, 46, 48, 49, 130]",Become a Revenant and find the truth beyond revenge in this gothic fantasy RPG with stunning 3D battles Boasting a story that blurs the lines between good and evil a refined 3D battle system and plenty of content to go around this is one title not to be missed,Missing,Missing,14.81,18.58,21.34,57.0,6.0,10.0
24,"[14, 32]",22152,Super Mega Baseball,"[6, 9, 48, 49]",Super Mega Baseball is a video game developed by independent studio Metalhead Software in Victoria BC Canada It was first released on December 16 2014 as a PlayStation 3 and PlayStation 4 crossbuy title on the US PlayStation Store It was released on the European PlayStation Store on April 1 2015 An updated version called Super Mega Baseball Extra Innings was released on Xbox One on August 14 2015 and it was released on Steam for PC on August 21 2015 The extra features from this version will be released as free DLC for the PlayStation 3 and PlayStation 4 in 2015,Missing,Missing,21.25,0.0,0.0,69.0,4.0,2.0
25,"[10, 33]",11959,Motorcycle Club,"[6, 9, 12, 48]",Ride 22 motorcycles with the official BMW Honda Kawasaki KTM Suzuki and Yamaha licences Play solo or online at the handlebars of Superbike Roadster and Custom models and create customize and develop your club,Missing,Missing,12.0,15.0,20.0,40.0,1.0,3.0
26,"[5, 12, 24, 31]",7829,Far Cry 4: Ultimate Kyrat Edition,"[6, 9, 12, 48, 49]",The Far Cry 4 Collectors Edition is the ultimate package It includes an exclusive collectors box with Far Cry 4 Limited Edition game with a set of 3 bonus missions and a harpoon gun 79 inch figurine of the villain Pagan Min seated on an elephant throne 165x30 inch Pagan Min propaganda poster  Travel Journal Map of the Himalayan openworld of Kyrat,Missing,Missing,,,,,,
27,"[5, 31]",41595,BioShock Infinite: The Complete Edition,"[6, 9, 12, 14, 48, 49, 130]",BioShock Infinite The Complete Edition is a rerelease of BioShock Infinite including all its downloadable content exclusively for Xbox 360 and PlayStation 3 platforms,Missing,89.71714257155182,,,,,,
