first_release_date,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1409184000,"[4, 12, 31]",256501,Persona 4 Arena Ultimax: P4A Story,"[9, 12]",P4A Story Persona 4 Arena Story is a paid DLC for Persona 4 Arena Ultimax This DLC enables you to play through the story of the original Persona 4 Arena with updated Persona 4 Arena Ultimax gameplay,Missing,Missing,nan,nan,nan,nan,nan,nan
1409011200,[14],243339,Madden NFL 15,"[9, 12]",Missing,Missing,Missing,22.68,73.95,241.06,66.0,26.0,14.0
1409097600,"[2, 31]",127061,The Walking Dead: Season Two - Episode 5: No Going Back,"[6, 9, 12, 14, 34, 39, 46, 48, 49]",The birth of Rebeccas son and subsequent death of the babys mother has started a new battle for survival which promises to not end quietly Through the harshest weather she has seen thus far can Clementine protect the groups newest member and keep everyone she cares about alive,Missing,Missing,nan,nan,nan,nan,nan,nan
1408406400,"[8, 10, 33]",53001,Trials Fusion: Empire of the Sky,"[6, 48, 49]",A protected and pristine utopia was built on futuristic islands floating in the sky for the rich to enjoy their leisurely lives Are you ready to ride in a hypertechnological world Enhance your experience in the sky with 9 new tracks including six Classic Trials Tracks one Supercross Track one Skill Game and one FMX Track 18 new Challenges including secret features hidden minigames 5 new achievements and dozens of new Track Editor objects including antigravity technology resort homes force fields floating platforms,Missing,Missing,nan,nan,nan,nan,nan,nan
1409097600,"[5, 32]",34890,Nandeyanen!?: The 1st Sûtra,"[6, 12]",Nandeyanen The 1st Sûtra is a horizontal 2D shootem up that introduces gameplay mechanics such as bullet counter and blast pods The player takes the role of Tenguman a longnosed goblin who wakes up after a thousand year sleep to see the world overrun by an army of mythical pranksters,Missing,Missing,1.77,0.0,0.0,30.0,1.0,1.0
1407196800,[5],20872,Call of Duty: Ghosts - Nemesis,"[6, 9, 12, 48, 49]",Nemesis is a downloadable pack for Call of Duty Ghosts It is the fourth and final DLC to come out for the game The DLC has a red color scheme for its label The DLC was released on August 5th 2014 on Xbox Live Xbox 360 and Xbox One and on September 4 2014 for PlayStation Network PlayStation 3 PlayStation 4 and PC Steam  Like the previous DLC Invasion this DLC pack does not include any new weapon unlike the 1st and 2nd DLC packs that came before it Onslaught and Devastation which introduced the MaverickMaverickA2 and the Ripper,Missing,Missing,0.0,0.0,3.02,50.0,1.0,1.0
1409097600,[30],20230,Pinball FX2: The Walking Dead,"[12, 49]",Pinball table based on The Walking Dead from Telltale,Missing,Missing,nan,nan,nan,nan,nan,nan
1408579200,[31],10874,Sniper Elite III: Save Churchill Part 2 - Belly of the Beast,"[6, 48, 49]",Save Churchill Part 2 Belly of the Beast is the intense second mission of a new threepart campaign for Sniper Elite 3  In the outlying mountains of North Morocco a concealed facility is being used by Axis forces to create devastating new weapons of war and build an elite unit of the Führers most devoted soldiers  Among them is Raubvogel the elusive German sniper behind a plot to kill British Prime Minister Winston Churchill You must find out what you can about the planned assassination and stop these new weapons from leaving the remote facility  Traverse an intricate maze of lofty canyons and walkways littered with enemy encampments and testing rooms But be cautious the soldiers guarding the canyon are some of the most formidable that you will have ever faced and eager to test their terrifying new weapons,Missing,Missing,nan,nan,nan,nan,nan,nan
1408924800,"[5, 12]",6880,Metro Redux,"[3, 6, 14, 48, 49, 130, 169]",Metro Redux is the ultimate double game collection including the definitive versions of both Metro 2033 and Metro Last Light each rebuilt in the latest and greatest iteration of the 4A Engine for nextgen consoles and PC  For the first time console owners can expect smooth 60FPS gameplay and state of the art visuals that were once only available on highend PC hardware  Newcomers to the series will get the chance to experience two of the finest storydriven shooters of all time in one vast package an epic adventure combining gripping survival horror exploration and tactical combat and stealth  Fans of the original games will find the unique world of Metro transformed with incredible new lighting physics and dynamic weather effects as well as a host of gameplay improvements and new features,83.41902104140173,The year is 2033 Twenty years ago the world was devastated by an apocalyptic event annihilating almost all mankind and turning the earths surface into a poisonous wasteland An entire generation has been born and raised underground and their besieged Metro StationCities struggle for survival with each other and the mutant horrors that await outside,17.3,25.07,51.88,82.0,52.0,57.0
1408924800,"[12, 31]",22502,Dark Souls II: Crown of the Old Iron King,"[6, 9, 12]",Dark Souls II Crown of the Old Iron King is the second of 3 largescale DLC additions to Dark Souls II and includes allnew stages maps boss characters weapons  armor In this second DLC players will find themselves in a world shrouded in ash Can you find and recover the lost crown,82.83619629116168,Missing,4.44,5.92,7.87,77.0,97.0,88.0
1407974400,"[12, 31]",178111,Corpse Party,"[3, 6, 14, 39, 48, 49, 130]",A friendship ritual gone awry transports high school student Ayumi Shinozaki and her friends to an alternate reality version of a tragedystricken institution that stood on the site of their own school long ago As the vengeful spirits of elementary school students threaten their lives and their sanity their only hope of survivalmuch less escapeis to uncover the chilling details surrounding the murders of those trapped before them,80.85311108720973,Missing,10.06,12.51,17.27,76.0,122.0,161.0
1409011200,"[5, 12, 31]",50199,Metro: Last Light Redux,"[3, 6, 14, 48, 49, 130, 170]",Metro Last Light Redux is the definitive version of the critically acclaimed Metro Last Light rebuilt in the latest and greatest iteration of the 4A Engine for Next Gen Newcomers will get the chance to experience one of the finest storydriven shooters of all time an epic adventure combining gripping survival horror exploration and tactical combat and stealth  This definitive version also includes all previously released DLC adding 10 hours of bonus singleplayer content to the huge solo campaign Fans of the original game will notice new features and gameplay improvements including new melee animations the ability to check your watch and ammo supplies on the fly and new fullbody player animations  And those who favoured the more survivalhorror oriented gameplay of the cult prequel Metro 2033 will find a new way to experience the campaign thanks to the introduction of two unique Play Styles  Survival and Spartan The former transforms Last light from a more actionoriented stealth combat experience to a fraught slow burn fight for survival With the legendary Ranger Mode included to offer an extra layer of challenge and immersion Metro Last Light Redux offers hours of AAA gameplay for an incredible price,80.65668894842452,The game picks up after the bad ending from Metro 2033 in which Artyom delivers a devastating attack on the mysterious supernatural race known as the Dark Ones The stationcities of the Metro struggle for power using weapons found in D6 The player follows Artyom the main protagonist from Metro 2033 as he searches for the mysterious Prisoner the supposed key to survival  the last light in our darkest hour,9.73,13.36,27.22,79.0,1305.0,1897.0
1408406400,"[12, 15, 25, 31]",47452,Diablo III: Reaper of Souls - Ultimate Evil Edition,"[9, 12, 48, 49]",Diablo III Ultimate Evil Edition includes the expansion pack Reaper of Souls and features special fourplayer coop features With the wireless controller and a customdesigned console interface players will be outfitted with touch pad functionality and new social features as they engage in pulsepounding combat with hordes of monsters and acquire items of incredible power,80.38456320919605,Missing,nan,nan,nan,nan,nan,nan
1409011200,"[5, 12, 31]",80853,Metro 2033 Redux,"[3, 6, 14, 48, 49, 130, 170]",Metro 2033 Redux is the definitive version of the cult classic Metro 2033 rebuilt in the latest and greatest iteration of the 4A Engine for Next Gen Fans of the original game will find the unique world of Metro transformed with incredible lighting physics and dynamic weather effects Newcomers will get the chance to experience one of the finest storydriven shooters of all time an epic adventure combining gripping survival horror exploration and tactical combat and stealth  All the gameplay improvements and features from the acclaimed sequel Metro Last Light have been transferred to Metro 2033 Redux  superior AI controls animation weapon handling and many more  to create a thrilling experience for newcomers and veterans alike With two unique playstyles and the legendary Ranger Mode included Metro 2033 Redux offers hours of AAA gameplay for an incredible price,80.13217861499274,In 2013 the world was devastated by an apocalyptic event annihilating almost all mankind and turning the Earths surface into a poisonous wasteland A handful of survivors took refuge in the depths of the Moscow underground and human civilization entered a new Dark Age  The year is 2033 An entire generation has been born and raised underground and their besieged Metro StationCities struggle for survival with each other and the mutant horrors that await outside You are Artyom born in the last days before the fire but raised underground Having never ventured beyond the city limits one fateful event sparks a desperate mission to the heart of the Metro system to warn the remnants of mankind of a terrible impending threat  Your journey takes you from the forgotten catacombs beneath the subway to the desolate wastelands above where your actions will determine the fate of mankind But what if the real threat comes from within,9.04,11.48,23.68,77.0,1701.0,2647.0
1408579200,[26],7782,Fibbage,"[9, 48, 49]",Fibbage is the lying bluffing fibtillyouwin trivia party game from the makers of YOU DONT KNOW JACK Play with 28 players,80.0,Missing,nan,nan,nan,nan,nan,nan
