,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[10],6198,Test Drive Off-Road Wide Open,"[8, 11]",Test Drive OffRoad  Wide Open gives you brute force offroad racing through natures untamed badlands Twelve kickass trucks fight for offroad supremacy in the wide open wilderness Prove your skills in a Hummer Dodge TRex Ford Bronco and more Take towering jumps at high speeds in your unstoppable trucks Grab your guts and hold on because this one gets rough,Missing,0.0,0.0,0.0,0,0,0
1,"[4, 33]",3846,Capcom vs. SNK 2: Mark of the Millennium 2001,"[8, 9, 11, 21, 23, 52]",Capcom vs SNK 2 Mark of the Millennium 2001 Millionaire Fighting 2001 in Japan is the sequel to the fighting game Capcom vs SNK and the sixth game in the Capcoms VS Series This game was released on Sega NAOMI hardware in the arcade It was later released for the Sega Dreamcast Japan only PlayStation 2 and Playstation 3 as a Playstation 2 Classics title in the PlayStation Network with the GameCube and Xbox receiving an updated version called Capcom vs SNK 2 EO,84.70894591873858,0.81,4.12,30.89,84,62,33
2,"[10, 14]",3871,Dave Mirra Freestyle BMX 2,"[8, 11, 21]",Ride around big open levels on your bmx bike earning points for tricks Complete various missions which help you unlock more levels and riders,49.84689435426115,8.93,17.31,0.0,65,23,8
