first_release_date,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1344556800,"[15, 16]",257273,Ant General,[12],Ant General is a turnbased strategy game where you control an army of ants,Missing,Missing,nan,nan,nan,nan,nan,nan
1345507200,[5],235400,Transformers: Fall of Cybertron - Multiplayer Havoc Pack,"[6, 9, 12]",The first multiplayer character pack for Fall of Cybertron it unlocks 5 characters and their related parts for use in custom loadouts The characters included are Wheeljack Zeta Prime Perceptor Blast Off and Ultra Magnus,Missing,Missing,nan,nan,nan,nan,nan,nan
1344902400,"[12, 25, 31]",216196,Darksiders II: Limited Edition,"[6, 9, 12]",The Limited Edition includes free access to the Arguls Tomb DLC pack when it becomes available  Wield the unstoppable power of Death the most feared of the legendary Four Horsemen Battle forces of heaven hell and beyond in an epic world unlike anything you have seen before,Missing,Missing,nan,nan,nan,nan,nan,nan
1346112000,[2],114942,The Walking Dead: Season One - Episode 3: Long Road Ahead,"[6, 9, 12, 14, 34, 39, 46, 48, 49, 130]",Just like the first episode it consists of eight chapters and it picks up after the events of the previous episode The group is still at the Travelier Motel and goes by with the supplies from the car they found along with scavenging trips from Kenny and Lee to the city,Missing,Missing,nan,nan,nan,nan,nan,nan
1344384000,[31],64126,The 4th Wall,"[6, 12]",The 4th Wall is an surreal horror puzzle game by GZ Storm It was designed specifically to prey on the phobias of Youtube LPer AzuriteReaction,Missing,Missing,0.17,0.0,0.0,60.0,1.0,2.0
1345161600,[9],63057,SpyLeaks,"[6, 12]",Uncover the mystery and save the world in this retro puzzler that also sports some oldschool shmup action in between all the spying,Missing,Missing,nan,nan,nan,nan,nan,nan
1345852800,Missing,61968,Crystaloid,"[12, 34, 72]",Crystaloid is a brickandball game for Androidbased devices and Xbox 360,Missing,Missing,nan,nan,nan,nan,nan,nan
1345075200,[13],59721,0 Gravity Y3030,[12],Clean up space debris in this Xbox Live Indie Game,Missing,Missing,nan,nan,nan,nan,nan,nan
1344729600,"[4, 33]",47433,JoJo's Bizarre Adventure HD,"[9, 12]",JoJos Bizarre Adventure ジョジョの奇妙な冒険 JoJo no Kimyō na Bōken is a fighting game developed by Capcom based on Hirohiko Arakis Japanese manga of the same title The games were developed by the same team who are responsible for the Street Fighter III series  It was originally released in the arcade in 1998 on the CPS3 arcade system this version was known outside Japan as JoJos Venture An updated version of the game was released in 1999 as JoJos Bizarre Adventure Heritage for the Future ジョジョの奇妙な冒険 未来への遺産 JoJo no Kimyō na Bōken Mirai e no Isan becoming the sixth and last game released for the CPS3 board Console ports for the PlayStation and Dreamcast were also released that year A highdefinition version of the game was released on PlayStation Network and Xbox Live Arcade in August 20121  The game combines Capcoms trademark animeinspired graphics as seen in the Darkstalkers series with the colorful characters and events of Hirohiko Arakis creation resulting in a highly stylized and detailed visual style It also features many of the gameplay mechanics seen on previous Capcom fighting games such as the use of power gauges for super moves as well as a brand new Stand Mode consisting of the series signature guardian spirits that accompanies almost every character and can be summoned or dismissed at will by the player resulting in variations in the characters move list and abilities  Original author Hirohiko Araki served as a consultant for the game and created exclusive pieces of artwork for its promotion and packaging most notably he developed from scratch a new character design for Midler since Capcom was interested in using her in the game and she had been only vaguely shown in the original manga,Missing,Missing,nan,nan,nan,nan,nan,nan
1344384000,[5],21069,Hybrid,"[6, 12, 14]",Hybrid is a multiplayer third person shooter in which two factions fight for world domination on a persistent world map Take control of a soldier fighting for the Paladins or the Variants as they race to control the worlds most powerful resource Dark Matter Your victories on the battlefield directly affect the course of the war,A mysterious explosion obliterates Australia and an entity from unknown origins has appeared on the planet Chaos ensues and world war breaks out between the Paladins and the Variants    Join a worldwide campaign to fight for a mystifying power source that can restore order or dominate mankind the choice is yours,Missing,7.29,0.0,0.0,0.0,0.0,1.0
