,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[5],74408,Centipede & Millipede,[12],In one of the most beloved arcade games of all times players must destroy the Centipede as it moves faster and faster through a colorful mushroom field Try your hand at this classic arcade game in its original form and completely restylized versions featuring evolved graphics and gameplay,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1,[14],7063,Major League Baseball 2K7,"[8, 9, 11, 12, 20, 24, 38]",Major League Baseball 2K7 or MLB 2K7 is a Major League Baseball licensed baseball simulation video game developed by Kush Games and published by 2K Sports Released on February 27 2007 it is the only 2007 MLB licensed game available for the Xbox 360 and Xbox It is also available for the PlayStation Portable the PlayStation 2 and for the first time the PlayStation 3 though its competition came in the form of MLB 07 The Show from 989 Sports Portable versions for the Nintendo DS PlayStation Portable and Game Boy Advance were released It is the first baseball game to be released for the Nintendo DS and the last major release for the Xbox game console  For the third year in a row Derek Jeter is the cover athlete and ESPN baseball broadcasters Jon Miller and Joe Morgan serve as announcers despite the loss of the ESPN license to Electronic Arts Steve Physioc and Jeanne Zelasko cover the pregame,Missing,Missing,0.0,0.0,35.0,66.0,5.0,1.0
2,[12],6965,Diario: Rebirth Moon Legend,[12],Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
3,"[12, 31]",10,Jade Empire: Special Edition,"[6, 11, 14, 34, 39]",Step into the role of an aspiring martialarts master and follow the path of the open palm or the closed fist In this multiawardwinning actionRPG your choices and actions will determine the fate of the entire Jade Empire Will you prevent the destruction of this beautiful land or will you crush it beneath your heel Are you a warrior who uses his strength and fighting mastery to bring peace or will you instead use your power to bring pain and ruin The choice is yours,80.48092125926281,In the ancient mysterious world of the Jade Empire you train under your masters watchful eye and learn powerful martial arts and mystical powers  When danger threatens you travel across the world from the harsh mountains of the Land of Howling Spirits to the lush gardens of the Imperial City  In your adventures you face powerful human and supernatural foes learn exotic and magical martial arts and discover the darkest secrets of the world  Only by mastering the greatest fighting styles and defeating the most powerful enemies will you earn your place as a master of martial arts in the world of Jade Empire,15.45,23.07,35.04,79.0,152.0,190.0
4,"[11, 13, 15]",276,Supreme Commander,"[6, 8, 12]",For a millennium three opposing forces of humanitythe Cybran Nation the Aeon Illuminate and the United Earth Federationhave fought a bitter and bloody war over conflicting and unwavering systems of belief There is no room for compromise No room for mercy No room for anything but the complete eradication of anyone with opposing belief systems Labeled the Infinite War this horrific conflict has shattered a once peaceful galaxy and only served to deepen the hatred and schisms between the three factions Now after centuries of struggle the battle for supremacy has at long last reached a turning point You are a Supreme Commander and only you have the power to bring the Infinite War to an end once and for all Set in the 37th century Supreme Commander signals the next evolution in the RTS genre by being the first strategy game to deliver a truly strategic and tactical experience,76.81051420621225,Missing,18.43,30.93,47.83,73.0,50.0,36.0
5,"[5, 8, 32, 33]",20673,Alien Hominid HD,"[6, 12, 49, 130, 169]",Alien Hominid HD the award winning sidescroller classic from the Behemoth is now available for Xbox 360 LIVE Arcade  Theyve got your spaceship and you will blow up anything in your path to get it back Completely handdrawn highdefinition graphics coupled with oldschool game play results in ultimate mayhem and hours of fun  Features 16 levels and over 20 Bosses High Definition Resolution 7 mini games 2 Xbox Live Arcade Multiplayer games All new PDA Game levels Leaderboards with REAL trophies,75.77626564741146,Your UFO has crash landed and the FBI is out to get you Time to take them out,4.83,7.25,7.32,64.0,32.0,31.0
6,[9],3751,Peggle,"[6, 9, 12, 14, 34, 38, 39, 55, 73, 240, 405]",Take your best shot with energizing arcade fun Aim shoot clear the orange pegs then sit back and cheer as 10 whimsical teachers guide you to Peggle greatness Conquer 55 fanciful levels with 10 mystical Magic Powers racking up bonus points and shots youll smile about for weeks Face off against your friends in Duel Mode or tackle 75 extratricky challenges Its luck and skill and joyous thrills and amidst all this fevered action only one question remains Can you become a Peggle Master,73.70105134387508,Missing,,,,,,
7,"[4, 5, 12, 31]",2896,Crackdown,[12],Crackdown is an open world thirdperson shooter video game for the Xbox 360 Set in the fictional Pacific City the player controls a biologically enhanced Agent tasked with defeating three crime lords and their organized crime syndicates The Agents abilities improve by defeating both crime lords and their supporters as well as by completing optional activities such as street races and scavenger hunts The gameplay is nonlinear instead of following a rigid mission sequence players are free to select the approach to completing their missions and activities The game features a twoplayer cooperative play mode via Xbox Live Crackdown initially planned for release on the original Xbox console was envisioned as a vast world in which players could experiment and explore freely Microsoft Game Studios bundled specifically marked copies of Crackdown with an access code to the multiplayer test version of the muchanticipated Halo 3 Beta The game sold 15 million copies in its first six months of release because everybody wanted to play Halo 3 It received positive reviews and has garnered several awards for its innovative gameplay Crackdown was a free download for Xbox Live Gold members only from August 1st 2013 to August 16th 2013 as part of the Xbox 360 Games With Gold Xbox Live program,73.15045124299061,Crackdown takes place in the fictional metropolis of Pacific City whose several districts and areas are divided among four islands The city is controlled by three crime organizations Los Muertos which means the dead in Spanish of Central American origin an Eastern European gang the Volk Russian for Wolf  and the formerly aboveboard ShaiGen Corporation from East Asia Normally a policelike organization called the Peacekeepers kept the city under control their forces however were overwhelmed by the sudden rise in crime The city therefore sought additional help from the Agency an organization that in addition to outfitting and supporting Peacekeepers has used advanced surgical and cybernetic technology to create supersoldiers known as Agents The Agency is based out of a former hotel in the very centre of the city The player takes on the role of one of their Agents and is tasked with systematically bringing down all three organized gangs while keeping both the populace and Peacekeepers safe The Agents actions are continuously monitored by the Agency and its Director voiced by Michael McConnohie provides continuous reports to him of his progress Throughout the game the player roams Pacific City systematically eliminating the leaders and subordinates of the three gangs Upon defeating the gangs Kingpins and generals the Agent must put down a final riot by the remaining gang members in the area which after completion will cause that city to be almost crime free,10.72,16.68,44.91,71.0,215.0,129.0
8,[14],7108,NBA Street Homecourt,"[9, 12]",NBA Street Homecourt is the fourth game in the NBA Street series It was released for the Xbox 360 on February 19 2007 and for the PlayStation 3 on March 6 2007    Carmelo Anthony pictured during his tenure with the Denver Nuggets is featured on the cover    A demo of the game was released on February 2 2007 on the Xbox Live Marketplace NBA Street Homecourt was the first Xbox 360 game to be natively rendered in the 1080p resolution2 The game features basketball courts that are based on real ones that NBA superstars grew up on and honed their talents,59.24184261036469,Missing,8.0,14.14,19.29,72.0,17.0,11.0
9,[7],6953,Dance Dance Revolution Universe,[12],The DDR dance party continues its long tradition of innovation and creativity with an entirely new game Dance Dance Revolution Universe takes dancing to a whole new dance floor exclusively on the Xbox 360 A game that everyone can play and enjoy including anyone with two left feet,55.0,Missing,0.0,8.0,0.0,70.0,1.0,1.0
