first_release_date,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1553817600,"[12, 31]",237701,Assassin's Creed III Remastered,"[6, 48, 49, 130, 170]",Relive the American Revolution or experience it for the first time in Assassins Creed III Remastered with enhanced graphics and improved gameplay mechanics Also includes Assassins Creed Liberation remastered and all solo DLC content  FIGHT FOR FREEDOM 1775 The American Colonies are about to revolt As Connor a Native American Assassin secure liberty for your people and your nation From bustling city streets to the chaotic battlefields assassinate your foes in a variety of deadly ways with a vast array of weaponry  A NEW VISUAL AND GAMEPLAY EXPERIENCE Play the iconic Assassins Creed III with enhanced graphics now featuring 4K resolution new character models polished environment rendering and more The gameplay mechanics have been revamped as well improving your experience and your immersion  ADDITIONAL CONTENT Also includes all the original solo DLC including The Tyranny of King Washington and the full game Assassins Creed Liberation Remastered,Missing,Missing,14.37,30.3,53.72,69.0,398.0,634.0
1553817600,Missing,227107,Fortnite: Lava Legends Pack,[49],Bring the heat this season with the Lava Legends pack Includes the following cosmetics   Lavawing Glider  Molten Valkyrie Outfit  Molten Valkyrie Wings Back Bling  Molten Battle Hound Outfit  Molten Crested Cape Back Bling,Missing,Missing,nan,nan,nan,nan,nan,nan
1553558400,Missing,215399,Stellaris: Plantoids Species Pack,[49],Plantoids Species Pack introduces a new phenotype for players with original art and animations As the title implies Plantoids will give Stellaris fans access to a plantlike species that has gained sentience and begun to spread its tendrils across the galaxy planting the roots of new civilizations on new planets,Missing,Missing,nan,nan,nan,nan,nan,nan
1552953600,"[9, 25, 31]",207265,LEGO DC Super-Villains: Batman - The Animated Series Level Pack,"[6, 14, 48, 49, 130]",Download now to get access to Batman The Animated Series This level pack is based on the Mask of the Phantasm Fight Joker and Captain Clown alongside the Phantasm This level pack includes Batman TwoFace Captain Clown Harley Quinn Joker The Phantasm ManBat Mad Hatter,Missing,Missing,nan,nan,nan,nan,nan,nan
1553558400,Missing,205276,Power Rangers: Battle for the Grid - Digital Collector's Edition,[49],Generations of Power Rangers collide across the multiverses 25 year history Experience authentic but reimagined Power Rangers gameplay This easy to learn but hard to master fighting game is designed to welcome players of all skill levels,Missing,Missing,nan,nan,nan,nan,nan,nan
1553558400,[4],168723,SoulCalibur VI: Amy,"[6, 48, 49]",Celebrate 20 years of SOULCALIBUR with an all new playable character Amy,Missing,Missing,nan,nan,nan,nan,nan,nan
1553558400,[31],164778,Assassin's Creed Legendary Collection,"[48, 49]",Experience the best of the legendary Assassins Creed franchise with this collection that includes six classic Assassins Creed games,Missing,Missing,nan,nan,nan,nan,nan,nan
1553731200,Missing,164578,Kerbal Space Program: Enhanced Edition - History and Parts Pack,[49],Reach new heights in the critically acclaimed space simulation game Kerbal Space Program with the History and Parts Pack Experience a variety of new content with premade missions inspired by humankinds most daring historical events new parts to experiment with from the historic Space Race and fresh suits to enhance the style of your Kerbals Also included are new launch sites with the Mun launch site not currently on PC,Missing,Missing,nan,nan,nan,nan,nan,nan
1552608000,[31],152911,One Piece: World Seeker Episode Pass,"[6, 48, 49]",Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1552348800,"[5, 12, 24]",152165,Tom Clancy's The Division 2: Year 1 Pass,"[6, 48, 49, 170]",The Year 1 Pass has expired as of 1 March 2020 There are now Season Passes for each Season of The Division 2  Owners of the Year 1 Pass will get access to  Three additional specialisations unlocked instantly Unique customisation options will be made available as part of the new specialisations  Eight classified assignments Unique backpack trophies will be awarded for completing the assignments  Agent Ward outfit Please note that the outfit will not be listed under Uniforms Items will be available individually from their respective sections boots pants scarf and shirt  Scout emote  The Year 1 Pass is available as part of the  Gold Edition  Warlords of New York Ultimate Edition  Year 1 Bundle,Missing,Missing,nan,nan,nan,nan,nan,nan
1553817600,"[2, 12, 13, 31, 32, 34]",137072,A Hero and a Garden,"[3, 6, 14, 48, 49, 130, 167]",Play as a fairytale hero and help him garden since saving the princess didnt go that well A fantasy gardening visual novel and clicker game,Missing,Missing,1.7,1.85,1.8,71.0,12.0,21.0
1551744000,"[5, 24]",129900,Tom Clancy's Rainbow Six Siege: Operation Burnt Horizon,"[6, 48, 49]",Rainbow Six goes to the land Down Under for Operation Burnt Horizon Protection specialists with the SASR Mobility Platoon Gridlock and Mozzie are assigned protection detail for a highvalue convoy across sunburnt country An unscheduled pit stop at a lonely petrol station turns into a standoff when their convoy is unexpectedly pinned down Discover the new Outback service station map where the red desert brings plenty of heat Find more details in the full Patch Notes below as well as many gameplay fixes implemented this Season,Missing,Missing,nan,nan,nan,nan,nan,nan
1551744000,"[5, 12, 24, 31]",129887,Destiny 2: Forsaken - Season of the Drifter,"[6, 48, 49]",For this season of Destiny the Drifter takes center stage with new rewards for every Guardian to add to their collections For owners of the Annual Pass he has new tricks up his sleeve for players of every fighting style and combat specialty,Winning a round of Gambit Prime is just the beginning The Drifter has a whole new extension of the Destiny endgame Take your rewards and risk them in a new challenge that belongs to the Nine Confront swarms of enemies to unlock greater rewards that you can take with you into battle,Missing,nan,nan,nan,nan,nan,nan
1552953600,[5],129860,Apex Legends: Season 1,"[6, 48, 49]",The hunt is on Welcome to the Wild Frontier, New Legend Octavio Octane Silva   New Cosmetics,Missing,nan,nan,nan,nan,nan,nan
1552953600,Missing,129407,Dead by Daylight: Demise of the Faithful Chapter,"[6, 49, 130]",Demise of the Faithful is a brandnew Chapter for Dead by Daylight which includes a new Killer a Survivor and a Map Purchasing the Demise of the Faithful DLC will unlock its new Killer new Survivor and an exclusive item for the new survivor,Embrace the immense unknown and surrender yourself to the vast inexplicable that is the oath of the faithful When surrounded by darkness they look inward for a beacon of light to follow trusting it will lead them to safety But when their light is distorted by pride and ambition how long will they err in the dark    Sold to a Babylonian temple as a child she sought the means to repel the darkness she carried inside She found solace in sacred rituals where she felt safe and empowered Faithful but proud she began to rise in status and believed she was untouchable But when a plague began to defile her body she confronted her gods realizing too late that they had no impact on her fate    Jane Romero was striving to become a powerful icon a voice that would inspire and support those in need She fought against powerful executives to send out her message about owning up to your insecurities Every day she would share her beliefs and practices with thousands of avid followers One evening she was driving home after a particularly stressful live show and feeling drained she closed her eyes for a moment that had lasting consequences,Missing,nan,nan,nan,nan,nan,nan
1553644800,"[12, 13, 15, 31]",121902,Monochrome Order,"[6, 34, 39, 48, 49, 130]",Guide the world toward the right direction through Judgments in a fantasy RPG with multiple endings Your Judgments will greatly affect the story and your characters role in both good and evil paths Explore different routes to guide the world toward the right direction,Missing,Missing,5.5,0.0,12.44,70.0,1.0,2.0
1552521600,Missing,121417,One Piece: World Seeker - Deluxe Edition,"[6, 49]",The ONE PIECE World Seeker Deluxe Edition includes the game and the Episode Pass which contains 3 additional episode packs and bonus items,Missing,Missing,nan,nan,nan,nan,nan,nan
1553558400,[4],119069,Power Rangers: Battle for the Grid - Collector's Edition,"[48, 49, 130, 169]",A modern take on the 25 year franchise Power Rangers Battle for the Grid showcases stunning graphics with vivid details Pit current and classic Rangers and villains like never before in team battles Test your skills online against friends and players from around the world for endless replayability A streamlined combat system welcomes newcomers with simplified controls while maintaining depth for the most dedicated competitor to learn and master,Missing,Missing,nan,nan,nan,nan,nan,nan
