,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[14],243012,Madden NFL 07,"[6, 8, 11, 21]",Missing,Missing,Missing,14.38,18.33,40.0,76.0,23.0,8.0
1,[35],145836,Texas Hold 'em,[12],Texas Hold em is an Xbox Live Arcade version of the popular poker variant of the same name developed by TikGames,Missing,Missing,0.0,0.0,0.0,47.0,3.0,0.0
2,[12],120636,The Elder Scrolls IV: Oblivion - Spell Tomes,"[6, 12]",Spell Tomes is the seventh official addon for The Elder Scrolls IV Oblivion The addon adds new spell books which can be randomly found while looting chests The books contain both new and existing spells It also adds a single new NPC who will attack you and drops a spell tome after killed,Missing,Missing,,,,,,
3,[5],47397,Prey: Limited Collector's Edition,[12],Missing,Missing,Missing,,,,,,
4,"[12, 15]",21339,Spectral Force 3,[12],Magic Era 996 The ten kingdoms of the land seizing the opportunity provided by Overlord Januss death are attempting to unify the continent under their own banners This is the beginning of the Great Neverland War In order to bolster their defenses kingdoms have begun hiring mercenary units As new members of the Norius Mercenaries you and your friend Diaz are eager to prove yourselves When the squads commander Judo is mortally wounded in battle the mantle of leadership is entrusted to you and so the adventure begins,Missing,Missing,,,,,,
5,[14],20572,ProStroke Golf: World Tour 2007,"[6, 8, 11, 38]",ProStroke Golf  World Tour 2007 is a golf sim developed by Gusto Games and published by Oxygen Interactive Software It was released on the PC PS2 Xbox and PSP,Missing,Missing,,,,,,
6,"[9, 31]",11286,Pirates: Legend of the Black Buccaneer,"[6, 8, 9, 11]",Pirate Francis Blade searches for the treasure of the Black Buccaneer,Missing,Missing,5.09,6.23,7.1,53.0,3.0,7.0
7,[5],6254,Xyanide,[11],Xyanide is a shoot em up video game for the Xbox in 2006 It was developed by Playlogic Entertainment and published by Evolved Games after being originally developed by Engine Software for the Game Boy Advance A sequel titled Xyanide Resurrection was released for the PC PlayStation 2 and PlayStation Portable in 20071,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
8,"[14, 15, 35]",5288,World Series of Poker: Tournament of Champions,"[5, 6, 8, 12, 38]",World Series of Poker Tournament of Champions is a video game based on the popular gambling tournament World Series of Poker Its available for multiple systems Xbox 360 PlayStation 2 Wii PlayStation Portable and PC It is the successor of the original World Series of Poker video game,Missing,Missing,0.0,0.0,0.0,70.0,1.0,0.0
9,"[25, 31]",4797,Dead Rising,"[6, 12, 48, 49]",Frank West a freelance photojournalist on the hunt for the scoop of a lifetime pursues a juicy lead to a small suburban town only to find that it is being overrun by zombies He escapes to the local shopping mall thinking it will be a bastion of safety but it turns out to be anything but Its a true struggle to survive the endless stream of enemies but with full reign over an entire shopping center Frank can utilize anything to fight off the fleshhungry mob and search for the truth behind the horrendous epidemic,73.89940658845487,Frank West a freelance photojournalist on the hunt for the scoop of a lifetime pursues a juicy lead to a small suburban town only to find that it is being overrun by zombies He escapes to the local shopping mall thinking it will be a bastion of safety but it turns out to be anything but Its a true struggle to survive the endless stream of enemies but with full reign over an entire shopping center Frank can utilize anything to fight off the fleshhungry mob and search for the truth behind the horrendous epidemic,11.91,19.23,75.45,76.0,377.0,327.0
10,"[12, 25]",7129,Phantasy Star Universe,"[6, 8, 12]",Ethan Waber the main character and his little sister Lumia Waber are at the celebration of the 100th year anniversary of the Alliance Space Fleet on the GUARDIANS Space station The celebration is interrupted when a mysterious meteor shower almost destroys the entire fleet During evacuation Ethan and Lumia split off of the main evacuation route and collapsing rubble separates Lumia from Ethan Ethan then meets up with a GUARDIAN named Leo but they are attacked by a strange creature The creature paralyzes Leo and Ethan takes his handgun and kills the creature Leo then tells Ethan to find his sister and that a rescue team is on the way,69.84085092471561,Missing,28.26,34.69,44.45,63.0,22.0,18.0
11,"[5, 10, 31]",825,Saints Row,[12],Saints Row takes place in the fictional city of Stilwater where the main character is involved in a conflict between four rival gangs Despite the protagonists attempts to remain uninvolved you are drawn into the conflict and become a member of the Third Street Saints As the game progresses you go to war with Los Carnales the Westside Rollers and the Vice Kings gaining status within the gang and taking over the city in the process,68.0248823494121,Missing,13.3,25.63,49.2,60.0,177.0,216.0
12,"[13, 14]",4983,Madden NFL 07,"[9, 12]",Madden NFL 07 is the seventeenth installment of the Madden NFL series This version introduces some new tricks updates some features and brings depth to some game modes from previous Madden titles  The 07 game focuses on the Running Back by giving you lead blocker controls After selecting a running play you can cycle through offensive players to open up gaps New evasive maneuvers are controlled with a separate stick to elude defenders along with new juking and spinning maneuvers  Start a career with your favorite NFL team draft the players call the plays and lead your team to a dynasty Or make your own player and guide him on and off the field through his entire career starting with the draft If you do not want to mess with all the options and features you can simply sit down for a quick game,66.74780431149459,Missing,14.38,18.33,40.0,76.0,23.0,8.0
13,[5],6003,Reservoir Dogs,"[6, 8, 11]",Reservoir Dogs is a video game based on the Quentin Tarantino film of the same name Released in 2006 it garnered mostly mediocre reviews and caused minor controversies for its violence being banned in Australia and New Zealand,61.94497451185322,This game based on the famous Quentin Tarantino movie Reservoir Dogs fills in the gaps in the movie that are only briefly mentioned like the robbery at the jewelry store Throughout the story you get to play all seven main characters from Mr Blonde to Mr White  The missions are introduced by game engine cutscenes which often recreate moments from the film For example in the first mission you see Mr Pink holding his famous monologue I dont think we got set up I know we got set up and then you play Mr Blue as the police arrives at the jewelry where your goal is to get out alive  To do so you have two choices be a psychopath and shoot your way out or try the subtle approach without harming anyone For instance if you do not want to harm anyone you can take a hostage and then threaten the police to lay their weapons down and order them to face the wall There are a few missions in which you must drive a car but mostly you walk through them Like in the Hitman series the game shows at the end of every mission how well you have done,3.51,3.98,4.66,54.0,22.0,26.0
14,[9],27813,AstroPop Deluxe,"[6, 11, 12]",Blast off to unearthly arcade puzzle action and an awesome storyline Grab group and blast bricks to clear a path through hyperspace Unlock 4 different characters as you search for the elusive Quadrillium,60.0,Missing,,,,,,
15,[15],6925,Bomberman: Act Zero,[12],Bomberman Act Zero is an action video game developed by Hudson Soft and published by Konami for the Xbox 360 in 2006 It is noteworthy for its departure from standard titles in the Bomberman series it features more realistic graphics and a dark dystopian future setting,60.0,Missing,2.72,0.0,0.0,55.0,2.0,2.0
