,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,255328,Minecraft: Minecon 2016 Skin Pack,"[6, 9, 12, 34, 39, 41, 48, 49]",Missing,Missing,Missing,Missing,,,,,,
1,251228,Firewatch: Audio Tour,"[3, 6, 14, 48, 49]","[31, 32]",This update adds a commentary mode in which the games protagonist goes on a hunt for new tapes that contain the developers recollections anecdotes and more It also adds a freeroam mode,Missing,Missing,,,,,,
2,246628,Dead or Alive 5: Last Round - Character: Mai Shiranui,"[6, 48, 49]",[4],The super heroine of fighting games enters the fray  The flying fan the powerful flames the bewitching beauty  all come to life with the hottest fighters in gaming  Mai Shiranui puts her Shiranui style of ninja arts to the test in Dead or Alive  Download this to use Mai Shiranui in Dead or Alive 5 Last Round,Missing,Missing,,,,,,
3,240450,FIFA 17,"[9, 12]",[14],Oldgen port of FIFA 17 PS3 and Xbox 360 This version runs on the older Ignite Engine,Missing,Missing,23.48,137.65,159.96,73.0,226.0,148.0
4,172621,LEGO Dimensions: Supergirl Polybag,"[9, 12, 41, 48, 49]","[9, 31]",A Polybag exclusive to the Starter Pack Playstation 4 version of Lego Dimensions although the character will work across all platforms,Missing,Missing,,,,,,
5,172582,LEGO Dimensions: Mission - Impossible Level Pack,"[9, 12, 41, 48, 49]","[9, 31]",Secret agent Ethan Hunt is being framed for the theft of highly classified materials from IMF and needs your help to find the true villain Infiltrate your way through the American Embassy CIA Headquarters and more in this thrilling game level Build Ethan and use his Camera Spectacles for the perfect disguise and wear the Magno Gloves to sneak your way up walls When you need a quick escape hop onto the IMF Scrambler or IMF Sport Car and then rebuild the vehicles into the ShockCycle and IMF Covert Jet and the IMF Tank and The IMFSplorer to access a host of new superspy abilities Unlock the exclusive Mission Impossible Adventure World and Battle Arena,Missing,Missing,,,,,,
6,172577,LEGO Dimensions: B.A. Baracus (The A-Team) Fun Pack,"[9, 12, 41, 48, 49]","[9, 31]",Smash your way through the Lego Dimensions Multiverse with the classic action hero BA Baracus Add the ATeams mohawksporting mechanical genius to the mashup adventure with your favorite characters Build and place him on the Lego Toy Pad to send him into the game with his Super Strength and FixIt abilities or activate his special ATeam Master Build and Laser Redirect skills for those hardertosolve puzzles Unlock the Adventure World and Battle Arena and use BAs Van to quickly get him where hes needed most then rebuild it into the Fool Smasher and if BA can overcome his fear of flying rebuild the vehicle again into The Pain Plane for upgraded powers in the game,Missing,Missing,,,,,,
7,172572,LEGO Dimensions: Ghostbusters - Story Pack,"[9, 12, 41, 48, 49]","[9, 31]",Things just got spookier in the Lego Dimensions Multiverse with the allnew Ghostbusters Story Pack Relive the film and help Abby Yates and her team of Ghostbusters save the world from the mysterious and evil ghost Rowen across six actionpacked levels of gameplay Equip Abby with her Proton Blaster to activate her Charge Transfer ability to move electricity between conduits and use her Intelligence Access ability for puzzlesolving Ride around in the Ecto1 then rebuild it into the Ectozer and The PerfEcto for supercharged power Customize the Lego Toy Pad with the Zhus Chinese Restaurant gateway build and unlock a brand new Ghostbusters Adventure World and exclusive Battle Arena,Missing,Missing,,,,,,
8,140366,Forza Horizon 3: Motorsports All-Stars Car Pack,"[6, 49]",[10],Motorsport AllStars Car Pack is a downloadable car pack made available for the PC and Xbox One releases of Forza Horizon 3  It was made included with the Deluxe Edition and Ultimate Edition releases of Forza Horizon 3 and was released as a standalone pack on September 27 2016    It is not included as part of the Car Pass for Forza Horizon 3,Missing,Missing,,,,,,
9,127056,Minecraft: Story Mode - Episode 8: A Journey's End?,"[6, 9, 12, 14, 34, 39, 48, 49]",[31],Minecraft Story Mode is an adventure game set in a Minecraft world It is a fivepart episodic series that will take you to the Nether the Farlands the End and beyond You will drive how the story flows through the decisions you make what you say to people and how you say it and what you choose to do in moments of thrilling action,Missing,Missing,1.49,1.51,1.61,68.0,20.0,30.0
