,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,"[8, 31, 32]",249141,Tobe's Vertical Adventure,[12],The original version of Tobes Vertical Adventure released as an Xbox Live Indie Game in 2010 The game was delisted in 2011 after the release of the PC port which added a second character with a different moveset and storyline  Tobes Vertical Adventure is a classic 2D platformer where players join Tobe on his quest for the treasure of King Garuza Play the game in single or coop modes through hours of platforming fun in 16 levels on 4 unique islands Get ready for Tobe the little guy with the big head big adventure,Missing,Missing,1.99,2.94,5.38,64.0,11.0,24.0
1,[14],229208,Madden NFL 10: Madden Ultimate Team,"[9, 12]",An update which adds the Madden Ultimate Team game mode for Madden NFL 10,Missing,Missing,,,,,,
2,"[5, 31]",202312,Mass Effect 2: Cerberus Network,"[6, 12]",An online downloadable content and news service that enables free bonus content for the game New purchases of Mass Effect 2 are provided with a onetime use access code that unlocks the games Cerberus Network However users who buy the game used have to pay for the Cerberus Network separately if they want access to the bonus content,Missing,Missing,,,,,,
3,[5],77997,DoDonPachi Daifukkatsu Black Label,"[12, 52]",Missing,Missing,Missing,,,,,,
4,[9],74419,Minesweeper Flags,[12],Minesweeper Flag includes LIVE multiplayer Flags action exciting achievements rankings ratings and true skill See how you stack up against your friends in Minesweeper action This game requires the Xbox 360 hard drive or the 512MB Memory Unit for storage,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
5,[9],74409,Coffeetime Crosswords,[12],Prepare for the ultimate crossword challenge and get the full version of Coffeetime Crosswords Featuring more than 150 puzzles created by Penny Press it will test your skill and mental prowess at crosswords Play together with a friend in coop mode and help each other solve the crosswords,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
6,[9],67327,KrissX,"[6, 12]",Word puzzle game,Missing,Missing,6.0,0.0,7.03,53.0,4.0,8.0
7,"[5, 31, 32]",67097,Abaddon,[12],A tower defense shmup for Xbox Live Arcade,Missing,Missing,,,,,,
8,"[12, 16, 24]",53025,Vandal Hearts: Flames of Judgment,"[9, 12]",A new entry in the Vandal Hearts series Flames of Judgement follows the story of young orphan Tobias Martin as he bands together with his schoolmates to help defend his homeland against a rival kingdom The story acts as a prequel to the original Vandal Hearts  The series trademark isometric combat returns now presented in 3D with 3D character models Players attempt to position themselves tactically to gain an advantage over stronger or more numerous foes Combat takes place in turns with each side moving one character per turn Each party member can carry two weapons and switch between them without using up a turn allowing them to shift quickly from a sword to a longrange bow for example Characters gain levels through successful battles and increase skills with a particular weapon or spell by using that weapon or spell in combat  Many engagements expand beyond simple combat by introducing some sort of puzzle element ranging from pushing boulders to protecting characters from attackers Missions may also radically update their goals as progress is made In addition to the standard game there are also multiple endings and multiple secret maps unlocked across the regular levels,Missing,Missing,10.14,13.39,13.65,62.0,15.0,21.0
9,"[5, 8]",47430,Matt Hazard: Blood Bath and Beyond,"[9, 12]",Matt Hazard Blood Bath and Beyond is designed as a 2D side scroller in order to give it a retro feel You once again take on the role of Matt Hazard parodying gaming clichés In order to stop the evil Marathon MegaCorp from consigning Matt to certain death he must travel back in time to stop them In order to deal with the minions of Marathon Matt will have an arsenal of standard weapons at his disposal that includes shotguns plasma rifles flamethrowers and grenades which can be upgraded as the game progresses you will also be able to find various power ups that will aid Matts quest The shoulder buttons also allow you to enter the precision aim mode which allows you to conserve your limited ammunition  There is a two player coop mode available in which the second player assumes the role of Matts partner Dexter Dare,Missing,Missing,3.01,0.0,0.0,49.0,7.0,6.0
10,"[5, 14]",47368,Konami Classics Vol. 2,[12],The Xbox Live Arcade versions of Contra Track  Field and Rush N Attack are included on this discbased compilation,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
11,"[5, 12, 13, 31]",43957,Mass Effect 2: Collector's Edition,"[6, 12]",Two years after Commander Shepard repelled invading Reapers bent on the destruction of organic life a mysterious new enemy has emerged On the fringes of known space something is silently abducting entire human colonies Now Shepard must work with Cerberus a ruthless organization devoted to human survival at any cost to stop the most terrifying threat mankind has ever faced To even attempt this perilous mission Shepard must assemble the galaxys most elite team and command the most powerful ship ever built Even then they say it would be suicide  The Collectors Edition includes The full version of Mass Effect 2 48page hardcover art book Limited edition Mass Effect Redemption 1 comic book Exclusive ingame Collectors Edition weapon and armor Bonus DVD with behindthescenes and makingof videos Limited edition Cerberus Network card granting access to bonus content,Missing,Missing,,,,,,
12,[5],22977,Death by Cube,[12],In this Square Enix developed XBLA dualstick shooter players control a guntoting amnesiac robot trying to regain its memory by killing lots of cubes on cubes Cubes,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
13,"[5, 12, 31]",74,Mass Effect 2,"[6, 9, 12]",Are you prepared to lose everything to save the galaxy Youll need to be Commander Shephard Its time to bring together your greatest allies and recruit the galaxys fighting elite to continue the resistance against the invading Reapers So steel yourself because this is an astronomical mission where sacrifices must be made Youll face tougher choices and new deadlier enemies Arm yourself and prepare for an unforgettable intergalactic adventure  Game Features  Shift the fight in your favour Equip yourself with powerful new weapons almost instantly thanks to a new inventory system Plus an improved health regeneration system means youll spend less time hunting for restorative items  Make every decision matter Divisive crew members are just the tip of the iceberg Commander because youll also be tasked with issues of intergalactic diplomacy And times a wastin so dont be afraid to use new promptbased actions that let you interrupt conversations even if they could alter the fate of your crewand the galaxy  Forge new alliances carefully Youll fight alongside some of your most trustworthy crew members but youll also get the opportunity to recruit new talent Just choose your new partners with care because the fate of the galaxy rests on your shoulders Commander,91.37637407524755,Two years after Commander Shepard repelled invading Reapers bent on the destruction of organic life a mysterious new enemy has emerged On the fringes of known space something is silently abducting entire human colonies Now Shepard must work with Cerberus a ruthless organization devoted to human survival at any cost to stop the most terrifying threat mankind has ever faced  To even attempt this perilous mission Shepard must assemble the galaxys most elite team and command the most powerful ship ever built Even then they say it would be suicide Commander Shepard intends to prove them wrong,24.44,35.5,50.02,90.0,3030.0,4135.0
14,"[12, 31]",6358,Divinity II: Ego Draconis,"[6, 12]",Dragons they have been hunted they have been slain but now the hour to strike back has come  Divinity II is an action roleplaying game developed by Larian Studios Its first release in 2009 was subtitled Ego Draconis and was published by DTP entertainment and in the United States by CDV Entertainment The updated 2011 rerelease The Dragon Knight Saga which included the expansion Flames of Vengeance as well as the final 2012 release as Divinity II Developers Cut were published by Focus Home Interactive  The defining feature of Divinity II is the ability to switch between aerial combat as a dragon and more traditional thirdperson actionrole playing gameplay as a human It is the third game in the Divinity franchise and the first Divinity game to be released on consoles as well as for Windows,81.38263092255846,Missing,27.52,30.37,40.95,77.0,18.0,24.0
15,"[5, 12]",13798,Mass Effect 2: Zaeed - The Price of Revenge,"[6, 9, 12]",Zaeed  The Price of Revenge is a DLC pack for Mass Effect 2,80.12585881018404,Missing,0.95,1.03,1.34,70.0,152.0,135.0
16,"[12, 25, 31]",1270,Darksiders,"[3, 6, 9, 12]",Apocalyptic power of War Unleash the wrath of War combining brutal attacks and supernatural abilities to decimate all who stand in your way Epic quest Battle across the wastelands and demoninfested dungeons of the decimated Earth in your quest for vengeance and redemption Character progression Uncover powerful ancient relics upgrade your weapons unlock new abilities and customize your gameplay style Battle Heaven and Hell Battle against all who stand in your wayfrom warweary angelic forces to Hells hideous demon hordes,79.00591352264574,Deceived by the forces of evil into prematurely bringing about the end of the world War  the first Horseman of the Apocalypse  stands accused of breaking the sacred law by inciting a war between Heaven and Hell In the ensuing slaughter demonic forces defeated the Heavenly Hosts and laid claim to the Earth Brought before the sacred Charred Council War is indicted for his crimes and stripped of his powers Dishonored and facing his own demise War is given the opportunity to find redemption by returning to Earth to search for the truthand to punish those responsible Hunted by vengeful Angels War must forge uneasy alliances with the very demons he hunts as he journeys across the ravaged remains of Earth on his quest for vindication,17.07,20.36,27.8,75.0,1521.0,2306.0
17,[12],7159,Resonance of Fate,"[9, 12]",In this scifi rpg you will follwo the three protagonists  Zephyr Leanne and Vashyron  as they form a mercenary group that take odd jobs for the populace of Basel During their missions they discover a plan by the citys ruling Cardinals to subvert Zeniths rule and discover their own connections to the Cardinals plans,70.05377439843141,In a distant future the earth decayed to the point where life as we knew no longer existed Toxins in the air poisoned the land and water and earths warped axis even robbed us of time The human race unable to adapt to the changes brought by such harsh environmental destruction rapidly began to die out as a species  Those that survived created Basel a gigantic structure embedded beneath the earth designed to purify the atmosphere and normalize the environment Little by little life began to reassert itself as people formed civilizations around Basel but as more and more people withdrew into this tiny world constructed by man they came to repeat the mistakes of the past Thus begins the story of a world nearing its end and the intertwining fates of those who inhabit it,51.03,67.22,112.32,75.0,108.0,145.0
18,[31],9562,Assassin's Creed II: Battle of Forlì,"[6, 9, 12]",The Battle of Forlì was one of two downloadable content packs available for Assassins Creed II It comprised the first of the two corrupted memory sequences of the Animus The DLC also contained six memories and a special memory that allowed the use of Leonardo da Vincis Flying Machine over the city of Forlì,67.18737681895192,Missing,,,,,,
19,"[5, 13, 31]",4220,Dark Void,"[6, 9, 12]",Dark Void is a scifi actionadventure game that combines an adrenalinefueled blend of aerial and groundpounding combat Set in a parallel universe called The Void players take on the role of Will a pilot dropped into incredible circumstances within the mysterious Void,66.44457572390232,Missing,7.08,9.45,16.33,58.0,89.0,92.0
20,[14],2709,Vancouver 2010,"[6, 9, 12]",Experience the thrill and adrenaline of the Olympic Winter Games of Vancouver 2010 Carve your way down the slopes and across the ice as you aim to reach the pinnacle of your sport and claim a gold medal for your country Featuring only the fastest highest and most spectacular events that immerses the player in the adrenaline danger and glory of the worlds greatest winter multisport event,65.0,Missing,1.14,0.0,0.0,58.0,4.0,2.0
21,"[5, 24]",997,Army of Two: The 40th Day,"[9, 12, 38]",The wild boys of the SSC face hell again in this sequel to the hit thirdperson teamworkbased shooter Army of Two The 40th Day reunites Salem and Rios as theyre forced to survive in a city under siege The sequel includes more coop moves for players to use at any time which will allow for completely different strategies and options in battle adding up to a bigger more organic and immersive coop experience  The story of The 40th Day places Salem and Rios in the middle of Shanghai China as a disaster of epic proportions strikes the city While they happen to be in the wrong place at the wrong time they are the right men to react to the chaos As they fight their way through ruined districts of the city they discover more and more catastrophes are being orchestrated to devastate Shanghai piece by piece Its up two Salem and Rios to uncover the secret of the 40th Day and survive the chaos,63.44228031019731,Missing,7.73,9.51,13.54,67.0,155.0,108.0
22,"[12, 31]",202310,Mass Effect 2: Normandy Crash Site,"[6, 12]",Normandy Crash Site is a DLC pack for Mass Effect 2 that was released with the games launch Explore the crash site of the SSV Normandy as Commander Shepard is asked by Alliance Command to explore the site and recover the remains of missing crew members and place a monument on the site Alliance Command wants Shepard to be the first to walk on the site as Shepard was the vessels last commanding officer,60.33241999928609,Missing,0.5,0.5,0.51,62.0,148.0,117.0
23,Missing,22975,Dragon Age: Origins - Return to Ostagar,"[6, 9, 12, 14]",The battle of Ostagar laid waste to your order and claimed the lives of many great men and women including the brash King Cailan and your mentor Duncan Now there are rumors that a fellow survivor of the battle has escaped from captivity and is seeking the Grey Wardens help The time has come to make your return to Ostagar and exact revenge upon the darkspawn,52.36620132088093,Missing,,,,,,
24,"[5, 32]",16219,Arcadia,"[3, 6, 12]",Arcadia is a fun casual little shooter There are a variety of enemies that will hunt you down and a few little tactics you can use to take them down Try to get the best score and stay on top of the leaderboard The game is played from a topdown perspective All your enemies are in view 90 of the time so its easy to see and most importantly blow them apart Dont sit still for long theyre coming for you Can you handle the pressure,50.0,Missing,0.41,0.0,0.7,40.0,2.0,2.0
25,"[13, 31, 32, 34]",9843,Flower Shop: Summer In Fairbrook,"[6, 48, 49, 130, 167, 169]",The Flower Shop is a dating and farming simulation game  Steves life has just taken a downward turn His grades from his first semester in college are dismal his relationship with his girlfriend is rocky at best and now his dad is shipping him off to some farm for the summer so that he can build character  Whats a poor lazy college kid to do  Take control of Steve as he spends a summer in Fairbook working on the farm making new friends and maintaining old relationships,50.0,Missing,2.01,2.97,3.92,65.0,6.0,14.0
