first_release_date,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1691712000,210902,Acceptance,"[6, 48, 49, 130, 167, 169]",Missing,A storydriven psychological thriller about the horrific consequences of a loved ones suicide,"[31, 32]",Missing,0.43,0.0,1.66,73.0,2.0,2.0
1692662400,204916,Humankind: Heritage Edition,"[48, 49, 167, 169]",Missing,Humankind is a historical strategy game where youll be rewriting the entire narrative of human history and combining cultures to create a civilization thats as unique as you are,Missing,Missing,nan,nan,nan,nan,nan,nan
1691625600,194506,Stray Gods: The Roleplaying Musical,"[6, 48, 49, 130, 167, 169]",In a modern fantasy world where the Greek gods live hidden among us Grace is granted the power of a Muse to draw others into musical numbers power that shell need to find out the truth behind her predecessors death before time runs out Unravel the mystery of the last Muse through your choices in a beautifully handillustrated roleplaying musical,Murder Gods Romance Band practice Unravel the mystery of the Last Muses death in an interactive roleplaying musical where Greek gods live hidden among us Use your newfound powers of musical persuasion to choose how this wry and moving saga will unfold How will the curtain fall,"[7, 12, 31]",Missing,6.27,7.18,16.14,80.0,25.0,68.0
1691452800,194466,WrestleQuest,"[6, 34, 39, 48, 49, 130, 167, 169]",Take a heros journey in tights Upgrade from aspiring rookie to world champ by training learning glamming and SLAMMING to the top of the pro wrestling food chain,In WrestleQuest players assume the role of a young wrestling hopeful on his quest to become one of the alltime greats while he powerbombs slams and suplexes his way to the top Inspired by icons like the legendary Macho Man Randy Savage our hero must immerse himself in the world of professional wrestling which will not only test his athleticism but his will and conscience too,"[4, 12, 31, 32]",Missing,35.45,50.03,0.0,35.0,1.0,2.0
1691539200,189076,Mondealy,"[6, 49, 130, 169]",Missing,Mondealy is about you building relationships and exploring the world An ordinary guy from an ordinary town on an ordinary day uncovers the secrets of an extraordinary underground kingdom located under his home Your adventure begins,"[12, 31, 32]",Missing,6.97,7.48,9.43,69.0,5.0,9.0
1693180800,164145,Strategic Mind: Spirit of Liberty,"[6, 49, 169]",Missing,Strategic Mind Spirit of Liberty is a historydriven turnbased strategy set in WW2 Lead the scarce Finnish forces through the Winter War Continuation War and Lapland War Save your countrys very existence from the Red Menace Niet Molotoff,"[13, 15, 16, 24]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1692230400,146212,Gord,"[6, 167, 169]",Missing,Gord is a singleplayer adventurestrategy game featuring developing societies eerie forbidden lands and remarkable mythical creatures Complete quests and manage a populace whose personal stories and wellbeing impact the fate of the settlement,"[12, 13, 15, 31, 32]",Missing,18.04,0.0,0.0,0.0,0.0,2.0
1693440000,145354,Pocket Bravery,"[6, 48, 49, 130, 167, 169]",Missing,Pocket Bravery is inspired by classics from the 90s such as Street Fighter Fatal Fury and The King of Fighters And its SD aesthetic had an influence on games like Pocket Fighter and other fighting games from Neo Geo Pocket Color  But make no mistake Pocket Bravery was created to be a new and unique fighting game with original characters vibrant colors and a combat system that will impress you since the game was designed with the focus on high level players Even so it has features that will teach beginning players how to develop and evolve in the game  The game uses the digital pad and four buttons two for punches and two for kicks You can execute the traditional commands from the fighting games using the directional pad plus the button to make special moves super specials or even the final attack Each character has an element that represents his strength can be physical or supernatural You can accumulate up to 2 attacks on the elemental bar Through this system it is possible to execute elemental attacks that have different characteristics from the others and bring new offensive or defensive possibilities for the player,"[4, 32]",Missing,0.0,0.0,0.0,60.0,1.0,0.0
1691107200,143935,Sclash,"[3, 6, 14, 48, 49, 130, 167, 169]",Missing,Sclash is a plugnplay 2D samurai fighting game full of tension where one hit is enough to kill Play as a handdrawn samurai in beautiful painted settings and fight your opponent in epic solemn duels where each move matters Manage well your stamina breath and take your time to land a deadly hit,"[4, 32]",Missing,0.0,0.0,0.0,70.0,1.0,0.0
1691107200,119363,Super Space Club,"[6, 49]",Super Space Club is an arcadestyle space shooting game about pilots defending the galaxy Setting out to be the topranked club in the galaxy the player controls a group of pilots known as the Super Space Club The players objective is to complete missions and defeat as many enemies as possible while ensuring to not deplete all of their ships energy sending them back to their beginning base,In Super Space Club journey alongside a group of anthropomorphic heroes as they set out to be the topranked defenders of the galaxy Youll take on various missions partake in several space dogfights and jam out to lofi beats in this chill arcadestyle shooter,"[5, 32, 33]",Missing,nan,nan,nan,nan,nan,nan
1692835200,165390,Blasphemous II,"[6, 48, 49, 130, 167, 169]",Awakened in a strange new land and displaced from his final resting place The Penitent One is thrust back into the endless cycle of life death and resurrection with no other option than to explore this perilous new world and uncover its longforgotten secrets  Hordes of grotesque enemies stand in your way awaiting final judgement by the brutal hand of the Penitent One with titanic twisted bosses also lurking in the darkness waiting for their chance to return you to the grave from whence you came,The Penitent One awakens as Blasphemous 2 joins him once again in an endless struggle against The Miracle Dive into a perilous new world filled with mysteries and secrets to discover and tear your way through monstrous foes that stand between you and your quest to end the cycle one and for all,"[8, 12, 25, 31, 32]",89.86103598529917,14.58,18.67,22.36,86.0,118.0,208.0
1693180800,131890,Sea of Stars,"[6, 48, 49, 130, 167, 169]",A prequel story set in The Messengers universe it tells the story of two Children of the Solstice who will combine the powers of the sun and moon to perform Eclipse Magic the only force capable of fending off the monstrous creations of the evil alchemist known as The Fleshmancer,Sea of Stars is a turnbased RPG inspired by the classics Promising the Sabotage touch in every system Sea of Stars aims to modernize the classic RPG in terms of turnbased combat storytelling exploration and interactions with the environment while still offering a hearty slice of nostalgia and good old simple fun,"[12, 16, 31, 32]",89.78065522230999,27.86,34.41,41.7,85.0,369.0,740.0
1692835200,228542,Armored Core VI: Fires of Rubicon,"[6, 48, 49, 167, 169]",A mysterious new substance was discovered on the remote planet Rubicon 3 As an energy source this substance was expected to dramatically advance humanitys technological and communications capabilities Instead this substance caused a catastrophe that engulfed the planet and the surrounding stars in flames and storms forming a Burning Star System  Almost half a century later the same substance resurfaced on Rubicon 3 a planet now contaminated and sealed off by the catastrophe  Extraterrestrial corporations and resistance groups fight over control of the substance The player infiltrates Rubicon as an independent mercenary and finds themself in a struggle over the substance with the corporations and other factions,By combining FromSoftwares longstanding expertise in mech games and their signature robust gameplay Armored Core VI Fires of Rubicon will be a new action experience,"[5, 31]",89.46515773611212,17.37,27.33,48.0,85.0,297.0,551.0
1693440000,245390,Trine 5: A Clockwork Conspiracy,"[6, 48, 49, 130, 167, 169]",With their reputations tarnished loved ones in danger and their own magical powers at stake the Heroes of Trine must reunite to push back a fearsome Clockwork army and bring peace and justice to the land,Trine 5 A Clockwork Conspiracy will take Amadeus the Wizard Zoya the Thief and Pontius the Knight on their most actionpacked journey yet  Traverse breathtaking 25D landscapes in Trines deepest and visually richest chapter to date with an all new cast of characters  some friends some foes but all unforgettable  Whether by yourself or playing with up to three friends in online and local coop the upgraded puzzle difficulty system keeps things fresh adapting the challenge to the number of players  Level up the heroes abilities with the allnew skill quest system growing their legend as they are once again united by the Trine,"[8, 9, 12, 31, 32]",79.87836545613558,16.36,22.17,25.18,83.0,13.0,20.0
1692316800,185238,The Texas Chain Saw Massacre,"[6, 48, 49, 167, 169]",Missing,Take on the role of one of the notorious Slaughter family or their victims in The Texas Chain Saw Massacre a thirdperson asymmetrical horror experience based on the groundbreaking and iconic 1974 horror film,[32],78.12390884866306,1.89,19.43,50.0,62.0,17.0,7.0
1691625600,214409,Atlas Fallen,"[6, 167, 169]",Missing,Rise from the dust and glide the sands of a timeless land filled with ancient dangers mysteries and fragments of the past Hunt legendary monsters with powerful sandinfused weapons and abilities in spectacular superpowered combat,"[12, 31]",70.53636854765449,10.84,17.82,26.86,67.0,29.0,51.0
1692316800,135940,Bomb Rush Cyberfunk,"[6, 48, 49, 130, 167, 169]",Start your own cypher and dance paint trick face off with the cops and stake your claim to the extrusions and cavities of a sprawling metropolis in an alternate future set to the musical brainwaves of Hideki Naganuma,Bomb Rush Cyberfunk an indie actionadventure platformer features 1 second per second of highly advanced funkstyle In a world where selfstyled crews are equipped with personal boostpacks new heights of graffiti are reached Start your own cypher and dance paint trick face off with the cops and stake your claim to the extrusions and cavities of a sprawling metropolis in an alternate future,"[8, 12, 14, 31, 32]",70.14814635650664,10.11,13.3,25.28,84.0,77.0,166.0
1691625600,261085,Quake II,"[6, 48, 49, 130, 167, 169]",Missing,You are humanitys last hope to stop the Strogg a hostile alien race waging war against Earth Play this military scifi FPS now upgraded for modern platforms with improved visuals new campaign content online multiplayercoop and more,[5],64.74062331836996,7.46,9.44,12.83,80.0,337.0,360.0
1693353600,152844,Daymare: 1994 Sandcastle,"[6, 48, 49, 130, 167, 169]",Step into the shoes of special agent Dalila Reyes a former government spy now in the service of a unit called HADES Hexacore Advanced Division for Extraction and Search and get ready to enter the most advanced experimental research center in the United States of America Be careful though because in the darkness of the desolate labyrinthine depths of the military research center there is something creepy and lethal awaiting you  Grab one of the most innovative and technologically advanced weapons of all time and prepare to face neverbeforeseen creatures while you make your way through a series of frightfully evocative settings all ready to be discovered A perfect mix of fierce and deadly enemies hardcore action game mechanics environmental puzzles a chilling soundtrack plenty of exploration and massive doses of concentrated horror wait for you in Daymare 1994 Sandcastle No place is safe especially when youre being hunted by your nightmares,Daymare 1994 Sandcastle is a thirdperson storydriven survival horror game prequel to the critically acclaimed Daymare 1998 Step into the shoes of agent Dalila Reyes a former government spy now in the service of HADES unit and prepare to face the true horror,"[5, 31]",58.58105584115197,6.97,8.86,10.22,65.0,11.0,18.0
