first_release_date,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1327363200,[31],167242,Assassin's Creed Revelations: Mediterranean Traveler Map Pack,"[6, 9, 12]",The Mediterranean Traveler Map Pack extends the Assassins Creed Revelations multiplayer experience with the addition of six multiplayer maps each introducing new gameplay opportunities through their varied terrain perches and hideouts  Journey to the majestic holy city of Jerusalem the opulent Imperial district of Constantinople and the colorful mercantile district of Dyers Revisit your favorite Italian Renaissance maps from Assassins Creed Brotherhood starting with the historic city of Firenze Florence traveling to the mountainsides of San Donato and to nighttime Siena with its carnival lights talented performers and deadly hiding spots  This allnew downloadable content also comes with a new collection of Achievements and Trophies for those that want to try their hand at kills and escapes that are as impressive as they are effective  Give all your multiplayer characters some personal style with bonus multiplayer customization items also included in the pack,Missing,Missing,nan,nan,nan,nan,nan,nan
1325894400,Missing,93492,4P Ping-Pong,[12],4P PingPong is a game developed and published by Bitreaction Game Studios for the Xbox Live Indie Games platform 4P PingPong was released on January 7th 2012 for the price of 80 Microsoft Points or 1,Missing,Missing,nan,nan,nan,nan,nan,nan
1327104000,"[7, 9]",80505,3D Stereo Studio,[12],A game where players can edit pictures It requires a 3D TV,Missing,Missing,nan,nan,nan,nan,nan,nan
1326931200,[25],65700,Onechanbara Z: Kagura,[12],Missing,Missing,Missing,5.99,0.0,0.0,73.0,4.0,4.0
1327363200,[5],53905,"Warhammer 40,000: Space Marine - Dreadnought","[6, 9, 12]",Dreadnought is the second DLC for Warhammer 40000 Space Marine It includes three new maps for the multiplayer PVP mode The major change on these map is the usage of the Dreadnought a 20 feet tall war machine which is controlled by a mortally wounded Space Marine In the multiplayer games one of the participating players control the Dreadnought,Missing,Missing,nan,nan,nan,nan,nan,nan
1327968000,"[12, 31]",41843,Final Fantasy XIII-2: Steelbook Edition,"[9, 12]",Contents A steelbook case the base game episode 1 novella 3 lithograph art cards downloadable contents Fight in Style DLC Pack and 2 alternative costumes,Missing,Missing,nan,nan,nan,nan,nan,nan
1326499200,[10],24235,Joe Danger: Special Edition,[12],You are Joe Danger the worlds most determined motorbike stuntman You live to thrill the crowd and break World Records A call back to retro classics like Excitebike this 3D sidescrolling stuntemup is a burst of sugarrush fun for todays jaded gamers,Missing,Missing,6.0,10.5,0.0,78.0,4.0,4.0
1326844800,[31],20245,Haunt,[12],Welcome to Benjys Mansion  a spooky haunted house where you are the first visitor for a generation Haunt leverages the power of Kinect to enable you to freely explore the house using just your body as the controller  youll need to stay on your toes in order to outsmart the mansions host of fiendish ghosts and unravel the sinister secrets that shroud the mansion in mystery,Missing,Missing,3.0,5.0,0.0,65.0,2.0,2.0
1325548800,"[14, 33]",19807,NFL Blitz,"[9, 12]",The exciting hits and stellar plays are back with allnew NFL Blitz Featuring a combination of the arcadestyle gameplay that made the original a hit and the deep immersive game modes of today NFL Blitz is recharged with an energetic football gaming experience Whether battling your rival in a 7on7 grudge match fighting your way through a season of the Blitz Gauntlet or taking over the online Battle Boards in Blitz Battles Every Game Is a TwoMinute Drill with NFL Blitz,Missing,Missing,15.5,0.0,0.0,79.0,16.0,2.0
1326153600,"[5, 13, 15, 33]",15158,Choplifter HD,"[3, 6, 9, 12]",In Choplifter HD players take on the role of an upandcoming rescue pilot asked to join the elite international helicopter rescue team Pilots will be trained to command a variety of helicopters deployed on 30 different missions Pilots must bank hover touchdown and sometimes even shake zombies from their chopper during liftoff in order to make their rescue and complete their mission  Command a variety of helicopters deployed on more than 30 different missions ranging from captured military prisoner extraction to saving survivors of viral outbreaks  Original Choplifter franchise creator Dan Gorlin serving as design consultant,80.0,Missing,5.58,6.43,15.55,65.0,4.0,8.0
1327536000,"[5, 13]",5492,Armored Core V,"[9, 12]",Armored Core V revolutionizes the series with a completely new atmosphere and a strong multiplayer component to compliment its single player mode In addition the online mode has been completely redesigned to focus on battles on a global scale based on team play absolutely immense With mechs that are smaller than the previous chapters Armored Core V is more focused on tactics used effectively geography level rather than relying only on the attacks,80.0,Missing,12.86,19.95,40.41,72.0,13.0,16.0
1327449600,"[8, 9, 13, 32]",10728,Puddle,"[3, 6, 9, 12, 14, 34, 39, 41, 46, 48, 72]",Dive into Puddle a game unlike any other where you have to guide a puddle of fluid by tilting the environment to the left or right Play carefully taking friction gravity and temperature into account and by using the unique properties of each type of fluid water oil nitroglycerin molten lava in a range of original environments Conserve as much fluid as possible when crossing a variety of obstacles such as burning passageways carnivorous plants and electric currents,75.32969983773783,Missing,5.79,6.06,8.39,69.0,15.0,31.0
