,genres,id,name,platforms,rating,storyline,summary,main,extra,completionist,review_score,review_count,people_polled
0,"[2, 9, 31]",797,Myst III: Exile,"[6, 8, 11, 14]",87.55653787572783,Exile begins 10 years after the events of Riven when the Stranger arrives at the home of Atrus and his wife Catherine Atrus is a scientist and explorer who has mastered an ancient practice known as the Art he can create links to different worlds called Ages by writing special books This ability is by an ancient civilization known as the Dni whose society crumbles after the Dni city is devastated by a plague Atrus calls the Stranger to his home to display his newest Age Releeshahn which Atrus has designed as a new home for the Dni survivors  As Atrus is preparing to leave for Releeshahn a mysterious man appears in Atrus study steals the Releeshahn book and leaves behind another Following the thief the Stranger arrives at Jnanin an Age that Atrus had written long before as a way to teach the Art to his sons Because the thief has caused considerable damage to the Jnanin book Atrus cannot accompany the Stranger,MYST III EXILE introduces a new villain Saavedro who seeks revenge when he finds out his homeland was destroyed by Atrus sons The player must track the villain through several surrealistic Ages navigating puzzles to uncover the truth behind this new adversary Only then can disaster be averted to choose who was right and who was wrong  Saavedro is played by Academy Award nominee Brad Dourif One Flew Over the Cuckoos Nest,7.44,9.26,13.15,79,36,46
1,[9],8318,Bejeweled,"[6, 11, 14, 24, 39, 73, 405, 417]",67.23276796408075,Missing,Bejeweled is a tilematching puzzle video game by PopCap Games first developed for browsers in 2001 Three followups to this game have been released More than 75 million copies of Bejeweled have been sold and the game has been downloaded more than 150 million times Although the game is no longer downloadable through PopCaps website the installer can be downloaded via the Wayback Machine,2.27,27.5,0.0,63,13,7
