,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[5, 12, 13, 15, 16, 24, 31]",243463,2K Essentials Collection,"[9, 12]",The 2K Essentials Collection features the groundbreaking originals Bioshock and Borderlands as well as the highly acclaimed XCOM Enemy Unknown A must have collection for any game library,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1,[12],175862,Doom and Destiny,"[39, 49]",Four nerds drawn into a fantasy world and mistaken for heroes have to battle their way through a massive crazy adventure and defeat a preposterous villain This great RPG has magic dungeons pizza and jokes galore If you ever enjoyed 8bit and 16bit role playing game pen and paper RPG and nerd humor you are going to love this game,Missing,Missing,,,,,,
2,[5],128650,Metro: Last Light - Chronicles Pack,"[6, 9, 12, 48, 49]",The Chronicles Pack DLC is the last Metro DLC pack said to include new original single player gameplay that expands on Metro Last Lights universe and story The player will play three levels as Khan Pavel and Anna in their respective levels,Missing,Missing,,,,,,
3,"[2, 31]",127107,The Wolf Among Us: Episode 1 - Faith,"[6, 9, 12, 14]",The first murder of a Fable in several years leads Bigby on the trail of a killer,Missing,Missing,,,,,,
4,[31],89872,Assassin's Creed IV: Black Flag - Buccaneer Edition,"[6, 9, 12, 41]",Welcome to the Golden Age of Piracy The year is 1715 Pirates rule the Caribbean and have established their own lawless Republic where corruption greediness and cruelty are commonplace Among these outlaws is a brash young captain named Edward Kenway His fight for glory has earned him the respect of legends like Blackbeard but also drawn him into the ancient war between Assassins and Templars a war that may destroy everything the pirates have built  A Brash Rebel Assassin Become Edward Kenway a charismatic yet brutal pirate captain trained by Assassins Edward can effortlessly switch between the Hidden Blade of the Assassins Order and all new weaponry including four flintlock pistols and dual cutlass swords  The Assassins Creed IV Black Flag Buccaneer Edition includes  A 45cm figurine of Captain Edward Kenway  Collectors box  A high quality artbook including artworks that inspired the game  The Official Game Soundtrack  2 lithographs in a protective envelope  Unlockable bonus content 3 additional solo missions for an extra 45 minutes of gameplay  Black Island Captain Morgans favourite ship has sunken off the coast with a full load of legendary sailing equipment Explore the Black Island and retrieve these items Pirates have desperately been looking for  Hidden Mystery Follow Stede Bonnets path and find the secrets of his adventures on the beautiful island of St Lucia  Sacrificed Secrets Recover Captain Drakes lost treasures including golden flintlocks and cutlass when exploring the exotic island of Sacrifices  Additional Single  Multiplayer items Captain Kenways Legacy,Missing,Missing,,,,,,
5,"[25, 31]",75535,Batman: Arkham Origins - Deathstroke Challenge Pack,"[6, 9, 12]",You fought him Now become him Take control of Deathstroke  the worlds deadliest assassin  when you download the Deathstroke Challenge Pack Guide him through Arkham Origins challenge maps as well as two brand new ones No Money Down and 100 to 1 armed with unique gadgets and special moves In addition to all this gain access to a special challenge campaign and two bonus skins Judas Contract Deathstroke and Injustice Deathstroke,Missing,Missing,,,,,,
6,"[12, 13, 31, 34]",62592,Nicole,"[3, 6, 14, 46, 48, 49, 130]",Nicole is a dating sim that revolves around your daytoday life as a college student You can take up parttime jobs to earn money explore various locations do recreational and extracurricular activities and meet intriguing characters like Darren Kurt Jeff and Ted You might even get to date the culprit,Nicole is thrilled that she managed to get into her first choice school and is looking forward to experiencing college life there However as soon as she moves into the university dorms she finds out that theres been a series of mysterious disappearances going on around the campus So far three girls have already gone missing and Nicole could be next if shes not too careful  not quite the ideal college experience Nicole had in mind,Missing,6.0,0.0,7.81,68.0,6.0,8.0
7,[25],61698,Monster Hunter Frontier G3,"[6, 12]",Season 3 of Monster Hunter Frontier G,Missing,Missing,,,,,,
8,"[13, 14, 31]",47441,Wipeout Create & Crash,"[5, 12, 41]",For the first time ever players can design play and share their very own chaotic courses with the all new Course Creator Choose from easy medium or hard obstacles and try to beat your course and then share the unique code with your friends and family In addition compete as either fanfavorite or allnew characters in overthetop new courses like Prehistoric Panic and Wipeouts Ahoy with all new themed obstacles You can also challenge your friends to reign supreme in sidebyside or team local multiplayer,Missing,Missing,0.0,0.0,0.0,70.0,1.0,0.0
9,"[25, 31]",44658,Enslaved Odyssey: To The West - Collector's Edition,"[9, 12]",To The West Collectors Edition Includes   Enslaved Odyssey Art Book  Enslaved Odyssey Soundtrack CD,Missing,Missing,,,,,,
