first_release_date,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1463443200,185979,Homefront: The Revolution - Freedom Fighter Bundle,"[48, 49]",The Homefront The Revolution Freedom Fighter Bundle includes the base game and Expansion Pass entitling the holder to major single player expansions and valuable bonuses for your CoOp career,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1462838400,172574,LEGO Dimensions: Slimer Ghostbusters Fun Pack,"[9, 12, 41, 48, 49]",Slime your enemies with Slimer from Ghostbusters Construct this glutinous ghost and represent the Ghostbusters in a crazy mashup multiverse of your favorite characters Place Slimer on the Lego Toy Pad to bring him to life in the game Fire his hot dog and activate his Boomerang Sonar Smash Flying Dive Hazard Clean Illumination Mini Access and Hazard Protection abilities to solve puzzles and battle enemies When he needs backup call in the Slime Shooter and rebuild it into a Slime Exploder and Slime Streamer for upgraded ingame powers,"[9, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1464652800,171048,One Piece: Burning Blood - Wanted,[49],This amazing Wanted pack gives you access to 6 alternate versions of playable characters 8 new costumes 4 customizable HUDsA perfect mix to gear up for the fight,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1464048000,168779,LEGO Marvel's Avengers: Spider-Man Character Pack,"[6, 9, 12, 14, 41, 48, 49]",Fan favourite SpiderMan content is swinging your way Peter Parker Miles Morales and more join the adventure complimentary to all who have purchased LEGO Marvels Avengers This pack features 6 playable characters including SpiderMan from the actionpacked theatrical blockbuster Marvels Captain America Civil War,[31],Missing,Missing,nan,nan,nan,nan,nan,nan
1462233600,168158,Naruto Shippuden: Ultimate Ninja Storm 4 - The Sound Four Characters,"[6, 49]",The Sound Four Extra Playable Characters Pack includes  4 new playable characters  Jirobo  Kidomaru  Sakon Ukon  Tayuya 3 Combination secret techniques  The Seven Ninja Swords Men of the Mist  The Sound Ninja Four  Cold Assault of the Demon Blade Costumes from previous games Matching voice Ninja Info Card Picture Ninja Treasure Finish cutin image,"[4, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1462838400,137717,"LEGO Marvel's Avengers: All-New, All-Different Doctor Strange Pack","[6, 9, 12, 14, 41, 48, 49]",Based on the AllNew AllDifferent Doctor Strange comics this DLC adds a brandnew level and eight characters to your LEGO Marvels Avengers journey,"[9, 25, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1462233600,137699,LEGO Marvel's Avengers: Classic Black Panther Pack,"[6, 9, 12, 14, 41, 48, 49]",Based on the classic Black Panther comics this DLC adds a brandnew level nine characters and an additional vehicle to your LEGO Marvels Avengers journey,"[9, 25, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1463443200,137633,LEGO Marvel's Avengers: Marvel's Agents of S.H.I.E.L.D. Pack,"[6, 9, 12, 14, 41, 48, 49]",Based on season 2 of the Marvels Agents of SHIELD television series this DLC adds a brandnew level eleven characters and an additional vehicle to your LEGO Marvels Avengers journey,"[9, 25, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1464652800,128473,The Elder Scrolls Online: Dark Brotherhood,"[6, 14, 48, 49]",Though at the height of their power the Dark Brotherhood faces a grave threat in the form of a mysterious blackarmored warrior capable of bringing down their best agents Venture forth for another exciting adventure in the Elder Scrolls Online as you carve a bloody swath across Tamriel in the name of the Dark Brotherhood,[12],Missing,Missing,9.25,9.87,12.5,56.0,7.0,7.0
1464652800,91022,Hitman: Episode 3 - Marrakesh,"[3, 6, 14, 48, 49]",Episode Three releases for all platforms on May 31st and adds an entirely new destination to Hitman Marrakesh Morocco From the busy souks and shisha cafes to the angry mobs calling for justice outside the Swedish consulate Marrakesh promises Hitman players the lure of voyeurism and the thrill of infiltration,"[5, 24, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1463702400,89840,Homefront: The Revolution - Goliath Edition,"[6, 48, 49]",In Homefront The Revolution these is a special edition called Goliath Edition which is based off the vehicle With the pack it includes a steelbook game cover for PS4 Xbox One and PC It also has a radiocontrolled scaled replica Goliath There is also a 32page art book and includes both the Revolutionary Spirit Pack and Expansion Pass DLCs,"[5, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1464134400,52164,Crazy Strike Bowling EX,"[48, 49, 130]",Join Aiden Mr Jenkins and a host of other cute funfilled characters in Crazy Strike Bowling EX a wacky bowling game fit for the whole family Get a strike in new and distant bowling lands from the exotic forests of the Amazon to the pyramids of Egypt battle your friends in exhibition or battle mode or dodge obstacles in challenge mode Go crazy and use your characters special move to knock those bowling pins into oblivion while unlocking secret worlds and costumes With levelups Crazy Strike Bowling EX is a strike for all ages  The PlayStation Camera and PlayStation Move motion controller can optionally be used with this game,[14],Missing,Missing,0.0,0.0,0.0,50.0,1.0,0.0
1462492800,42953,Dirt Rally: Legend Edition,"[6, 48, 49]",This edition of DiRT Rally includes a bonus Bluray disc featuring a fulllength documentary on the late rally champion Colin McRae called Colin McRae Rally Legendand tells the story of McRae through his own words,[10],Missing,Missing,nan,nan,nan,nan,nan,nan
1463011200,41637,Dark Souls III: Apocalypse Edition,"[48, 49]",Prepare to die again with the third entry in the brutal blockbuster actionRPG franchise A dark and brooding fantasy adventure awaits players in a vast twisted world full of fearsome beasts devious traps and hidden secrets The embers of a onceproud kingdom set the stage for this new adventure Battle against fearsome enemies and bosses with a variety of weapons and magic through a mysterious land riddled with secrets  Dark Souls III once again gives gamers the trademark sword and sorcery combat and rewarding action RPG gameplay Players will travel across a wide variety of locations in an interconnected world of unrelenting challenge and deep RPG gameplay as they search for a way to survive the coming apocalypse,"[12, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1463097600,41614,DOOM: Collector's Edition,"[6, 48, 49]",Created in conjunction with Triforce the DOOM Collectors Edition includes an exclusive fullyrealized 12 tall collectors statue of one of DOOMs most iconic demons the Revenant Made of highquality PVC and modeled from actual ingame 3D files the Revenant stands on an LEDlit base with internal slowspinning turbine from the UAC facility on Mars The DOOM Collectors Edition also includes the highlyanticipated game packaged in an exclusive metal case,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1463097600,32732,Dyna Bomb,"[6, 14, 48, 49, 130]",Strap on your jetpack and prepare for chaos Dyna Bomb has intuitive arcade action game play with a blast of humor Enjoy,"[8, 31, 32, 33]",Missing,Missing,0.0,0.0,0.0,50.0,1.0,0.0
1462838400,24500,Tom Clancy's Rainbow Six Siege: Operation Dust Line,"[6, 48, 49]",In Operation Dust Line two Navy SEAL Operators join Team Rainbow to secure the Border  our new free map This second major content update also introduces new weapon skins advanced customisation options the ability to change your loadouts between rounds and lots more,"[5, 24]",Missing,Missing,nan,nan,nan,nan,nan,nan
1462492800,19889,Mystery Castle,"[6, 14, 49]",A retroinspired masterpiece Mystery Castle is the one puzzle game that will rule them all,"[9, 31, 32]",Missing,Missing,0.0,11.5,0.0,0.0,0.0,1.0
1463702400,19888,Cubikolor,"[6, 14, 48, 49, 130]",Armed only with your logic and your Kube move through the 150 levels outwitting the traps in the System an evil scheming entity to confront the machine and pass the test,"[9, 32]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1464652800,19399,Dead Island Definitive Collection,"[6, 48, 49]",The game that redefined the Zombie genre  fully remastered Paradise meets Hell Welcome to the Zombie Apocalypse experience of a lifetime  and now more beautiful than ever Caught in the midst of an epic zombie outbreak on the tropical island of Banoi your only thought is Survival   Luscious Improved graphics and game models  Glorious 1080p resolution  Photorealistic lighting system with physically based shading  Incl Dead Island Retro Game,"[5, 12, 25, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1464566400,13166,The Witcher 3: Wild Hunt - Blood and Wine,"[6, 48, 49, 130, 167, 169]",Blood and Wine is the second major expansion to The Witcher 3 Wild Hunt  The players will accompany Geralt of Rivia to the region of Toussaint one of the few places in the Witcher universe which has remained largely untouched by the war The calm laidback atmosphere holds a dark and bloody secret that only the White Wolf can uncover the expansion features brand new items for us to collect on our adventure and also introduces previously unknown characters,[12],96.44273107918232,Missing,15.22,28.23,40.57,94.0,755.0,977.0
