,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,254250,Minecraft: Marvel Spider-Man Skin Pack,"[9, 12, 41, 46, 48, 49]",The pack contained characters from SpiderMan,Missing,Missing,Missing,,,,,,
1,170390,Child of Light: The Golem's Plight Pack,"[6, 9, 12, 46, 48, 49]",The Golems Plight Coffer contains the Golem quest which unlocks another powerful ally to fight alonside Aurora Also included in the pack are the unique powerful Erins Stone and a pack of smaller Rough oculi 3 Blue 3 Red and 3 Green,"[12, 31]",Missing,Missing,,,,,,
2,160279,Child of Light: Dark Aurora Pack,"[6, 9, 12, 46, 48, 49]",Child of Light Dark Aurora a DLC pack for Child of Light contains an exclusive skin for Aurora and provides her improvements of Magic Power Defense and Magic resistance Also included in the bonus content a pack of Rough oculi 3 Blue 3 Green and 2 Red,"[12, 31]",Missing,Missing,,,,,,
3,152020,Undead Syndrome Episode 2,"[6, 12]",You managed to wake up from the nightmare and discovered a further challenge awaits you Getting to the heart of the story  The second part of the Undead Syndrome series,Missing,Missing,Missing,,,,,,
4,143197,Watch Dogs: Season Pass,"[6, 9, 12, 48, 49]",The Season Pass contains a new Single Player Campaign featuring the legendary hacker TBone as a new playable character 3 additional missions for the main game 3 new weapons and 5 additional skins It also includes a new mind bending game mode in which cyborgs are invading Chicago,[31],Missing,Missing,,,,,,
5,134965,Rasternauts,"[6, 12]",A pixel perfect way of life is under threat when a scientific experiment gone wrong uncovers a new dimension composed entirely of vectors Run jump and shoot your way through the enemy landscape to save your bitmapped buddies hold back the vector invasion and save all of raster kind,"[5, 8, 33]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
6,78359,Monster Hunter Frontier GG,"[6, 9, 12, 41]",Season 4 of Monster Hunter Frontier G,[25],Missing,Missing,,,,,,
7,75529,Batman: Arkham Origins - Season Pass,"[6, 9, 12]",Enhance your Arkham Origins experience by purchasing a season pass today Gain access to new challenge maps two Skin packs and an epic new story campaign adventure In addition to hours of new content youll also unlock two exclusive Batman Skins Gotham by Gaslight Batman and Brightest Day Batman  All Skins can be used in the story campaign upon completion of the main story in the challenge maps and online All other Season Pass content is for use exclusively in the story campaign mode All content included in the Season Pass can also be purchased individually  Season Pass Skin Pack  Key Features Gotham by Gaslight Batman Bring a little bit of 1889 into your gameplay Wear the suit inspired by Brian Augustyn and Mike Mignolas hit graphic Novel Gotham by Gaslight Gotham by Gaslight Batman From the natural fiber trousers to the leather utility belt loaded with throwing knives every detail is painstakingly modeled after that of the comic Brightest Day Batman Play as Brightest Day Batman the Batman resurrected from the dead by the White Light in Geoff Johns and Peter Tomassis Brightest Day series Brightest Day Batman Brightest Day Batmans suit is white unlike any others in the game  New Millennium Skins Pack  Key Features Dress to impress Get the latest gear without paying full price Save big on the New Millennium Skins Pack with this Season Pass  The coolest Skins The New Millennium Skin Pack includes 5 of the most soughtafter Skins 1 Red Son Batman 2 Blackest Night Batman 3 New 52 Batman 4 Batman Noel 5 1st Appearance Batman and 6 One Year Later Robin  Infinite Earth Skins Pack  Key Features Dress to impress Get the latest gear without paying full price Save big on the Infinite Earth Skins Pack with this Season Pass The Skins youve been wanting The New Millennium Skin Pack includes 5 of the best Skins 1 Earth 2 Dark Knight 2 Long Halloween Batman 3 Batman Dark Knight of the Round Table 4 Thrillkiller Batman 5 Earth 2 Batman 6 Classic Tim Drake Robin  Initiation DLC  Key Features Travel back in time Journey to the days before Batman even existed and take control of a young Bruce Wayne in the final stages of his martial arts training Experience exotic locales including a bamboo forest and mountaintop monastery Where Batman really began Witness the birth of the worlds most powerful crime fighter with this DLC containing 2 Skins  Bruce Wayne and Vigilante Bruce Wayne four challenge maps and a challenge campaign  Cold Cold Heart DLC  Key Features Return to Gotham City to ring in the New Year Arkham Origins style When the CEO of GothCorp is kidnapped by Mr Freeze Batman sets out to bring him to justice Along the way he will uncover the tragic history of his new enemy prompting our hero to attempt the impossible save the victim AND the villain Hours of narrativedriven gameplay and new Open World content await,"[25, 31]",Missing,Missing,,,,,,
8,74744,South Park: The Stick of Truth - Super Samurai Spaceman Pack,"[6, 9, 12, 48, 49]",Push your role playing skills to the limit with Superhero Samurai and Spaceman outfits,"[12, 31]",Missing,Missing,,,,,,
9,74743,South Park: The Stick of Truth - Ultimate Fellowship Pack,"[6, 9, 12, 48, 49]",Unlock the ultimate fellowship with the one preorder pack to rule them all Choose your class and pick your perk with four exclusive Stick of Truth costumes that come equipped with special abilities  Suit up as the Necromancer Sorcerer to increase your fire damage earn extra gold by equipping the Rogue Assassin outfit deal extra weapon damage with the Ranger Elf costume or raise your defense with the Holy Defender outfit The choice is yours New Kid Seize the Kingdom of South Park,"[12, 31]",Missing,Missing,,,,,,
10,62324,R.B.I. Baseball 14,"[9, 12, 39, 48, 49]",Major League Baseball is getting into the video game business with the release of a new game that says RBI Baseball right on the digital cover,"[13, 14]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
11,61571,Ga-Sen Love Plus Pengo!,[12],GaSen Love Plus Pengo collects the 2010 8player widescreen remake of Pengo Pengo with three other games,[33],Missing,Missing,,,,,,
12,53058,Yu-Gi-Oh! Millennium Duels,"[9, 12]",In YuGiOh Millennium Duels players enter a Virtual Dueling System an advanced program wherein they battle against simulated Duelists from the animated TV show characters from past classic YuGiOh storylines through to those from the current YuGiOh ZEXAL adventures Players can also unlock avatars from the animated series and take them online to battle other players in versus matches,"[16, 35]",Missing,Missing,0.0,0.0,0.0,56.0,5.0,0.0
13,20936,Call of Duty: Ghosts - Devastation,"[6, 9, 12, 48, 49]",Devastation is the second downloadable content pack for Call of Duty Ghosts Featuring multiplayer maps   Ruins  a mountaintop Mayan ruin this map blends the verticality with tight subterranean sections  Behemoth  situated on a massive excavation vehicle Behemoth is a narrow multilevel map  Collision  the mangled remains of cargo ship crashed into a bridge the ideal theatre for closequarters combat  Unearthed  a map inspired by Dome from MW3  The Ripper  an allnew tactical 2in1 weapon that can be switched from Sub MachineGun to Assault Rifle on the fly  Extinction Episode 2 Mayday  Where your team has been sent to investigate an abandoned ship in the South Pacific There you will face the wallcrawling Seeder and skyscrapersized Kraken,[5],Missing,Missing,0.0,0.0,2.21,55.0,2.0,1.0
14,79812,Cel Damage HD,"[9, 46, 48, 49, 130]",A HD reimagining of the 2001 cartoon car combat game for Xbox Gamecube and PS2,"[10, 33]",90.0,Missing,,,,,,
15,6967,Don Bradman Cricket 14,"[6, 9, 12]",The first thing to think about when you start playing Don Bradman Cricket 14 is to forget what you know about Cricket games and start afreshits cricket like youve never seen it before,"[13, 14, 32]",89.30375633057018,Missing,17.36,0.0,150.0,66.0,8.0,5.0
16,5645,Bullet Soul Infinite Burst,"[6, 12, 130]",Bullet Soul Infinite Burst is a vertically scrolling shooting game crossing oldschool gameplay with a bullet hell twist It adds numerous gameplay enhancements over its predecessor Bullet Soul not least of which is Burst Mode The same aggressive bulletcancelling gameplay now with more destruction more coins and more tunes Shooting fans its time to welcome back the true Japanese shooting experience,"[5, 33]",85.0,Missing,0.47,0.0,0.0,0.0,0.0,1.0
17,13928,Borderlands 2: Sir Hammerlock vs. the Son of Crawmerax,"[3, 6, 9, 12, 14]",Sir Hammerlock vs the Son of Crawmerax is the fifth and final Headhunter DLC pack for Borderlands 2,"[5, 12]",84.17270658338455,Missing,0.7,0.87,1.14,67.0,49.0,39.0
18,4756,Child of Light,"[6, 9, 12, 41, 46, 48, 49, 170]",The Black Queen has stolen the Sun the Moon and the Stars You play as Aurora a young princess with a pure heart whose soul is brought to the kingdom of Lemuria Embark on a quest to recapture the three sources of light defeat the Black Queen and restore the kingdom of Lemuria,"[8, 12, 31]",82.16357945270508,Missing,11.2,13.46,15.46,78.0,965.0,1271.0
19,4842,Kinect Sports Rivals,[49],Kinect Sports Rivals is the next generation of the bestselling Kinect franchise Kinect Sports that brings your favorite sports back in reimagined ways and delivers new sports and events made possible with Xbox Ones revolutionary technology Kinect Sports Rivals puts you in the game like never before tracks your movements and expressions with incredible accuracy and offers neverending competition with your friends and rivals,[14],80.0,Missing,0.95,0.0,14.37,63.0,3.0,2.0
20,3191,Trials Fusion,"[6, 12, 48, 49]",Take on an unlimited array of platformracing challenges in the unreal world of Trials Fusion Using your skills to traverse across obstacleladen rampridden courses you must strive to set track records against the best Trials players around the globe Whether youre racing alone with friends or in a global tournament competition is always around you,"[8, 10, 14, 33]",76.61503759224887,Missing,6.67,24.31,95.28,71.0,184.0,136.0
21,1081,The Elder Scrolls Online,"[6, 14, 48, 49, 167, 169, 170]",Experience an everexpanding story across all of Tamriel in The Elder Scrolls Online an awardwinning online RPG Explore a rich living world with friends or embark upon a solo adventure Enjoy complete control over how your character looks and plays from the weapons you wield to the skills you learn  the choices you make will shape your destiny Welcome to a world without limits,"[12, 31]",72.04316007707698,The game is set in the Second Era in 2E 583 during a period of time known as the Interregnum It was a period of time known for its political instability Daedric prince Molag Bal has taken advantage of this instability to try and pull all of Tamriel into his realm of Coldharbour Bal is doing so by sending devices called Dark Anchors into Tamriel The Fighters Guild have taken it upon themselves to remove them  The Tharn family current rulers of Cyrodiil through Empress Regent Clivia Tharn has made a pact with the King of Worms who has agreed to supplement the Imperials forces by resurrecting their soldiers Secretly Mannimarco is conspiring with Molag Bal the Daedric Prince of Corruption and Domination to take over Mundus Molag Bal is also harvesting the souls of mortals The Hero is an adventurer whose soul has been taken which allows them to constantly return to life,44.65,198.34,484.15,70.0,254.0,126.0
22,10028,"Batman: Arkham Origins - Cold, Cold Heart","[6, 9, 12]",Return to Gotham City to ring in the New Year Arkham Origins style When the CEO of GothCorp is kidnapped by Mr Freeze Batman sets out to bring him to justice Along the way he will uncover the tragic history of his new enemy prompting our hero to attempt the impossible save the victim AND the villain,"[25, 31]",71.3874446797301,Missing,2.66,3.27,3.93,73.0,121.0,185.0
23,6656,Ultra Street Fighter IV,"[6, 9, 12, 48, 52]",The worlds greatest fighting game evolves to a whole new level with Ultra Street Fighter IV Continuing the tradition of excellence the series is known for five new characters and six new stages have been added for even more fighting mayhem with rebalanced gameplay and original modes topping off this ultimate offering,"[4, 33]",71.02206206699674,Super Street Fighter IV takes place at the same time as SF4 several months after the events of Street Fighter II thus is chronologically set between Street Fighter II and III After M Bisons survival following his encounter with Akuma the SIN corporation began another fighting tournament in order to draw out the most powerful fighters on Earth to complete the BLECE project Each character has their own reasons for entering this tournament but SINs real desire is to lure Ryu to them in order to analyze the Satsui no Hadō believed to be the last piece of data needed to complete BLECE,2.41,18.06,135.25,79.0,170.0,126.0
24,19489,Leo's Fortune,"[6, 14, 34, 39, 48, 49]",Leos Fortune is an awardwinning platform adventure game where you hunt down the cunning and mysterious thief that stole your gold Beautifully handcrafted levels bring the story of Leo to life in this epic adventure,"[8, 9, 31, 32]",70.34684067475563,Missing,2.49,3.77,5.45,74.0,60.0,61.0
25,87410,Croc's World,"[6, 12, 34, 39, 48, 49, 74, 130]",Crocs World is a really nice jumpnrun with 60 incredible levels and many challenging enemies,"[8, 31, 33]",70.0,Missing,2.21,0.0,0.0,35.0,6.0,2.0
26,65504,Steins;Gate: Linear Bounded Phenogram,"[6, 9, 12, 39, 46, 48]",SteinsGate Linear Bounded PhenogramPhenogram of Linear Restraint STEINSGATE 線形拘束のフェノグラム Senkei Kousoku no Phenogram is a visual novel released on April 25 2013 containing a mixture of scenarios set during and after the original visual novels storyline but in different world lines,"[31, 34]",70.0,You followed Okarin through the labyrinth of time and space now relive the twists and turns of SteinsGate through the eyes of Kurisu Suzuha Daru and the rest of the Future Gadget Lab members See how they faced the startling events of the game hear their thoughts and experience their battles firsthand This incredible visual novel gives you the rest of the story with new revelations that will amaze even the most jaded SteinsGate fan The drama of SteinsGate continues Dont miss it,20.51,26.3,30.66,76.0,29.0,61.0
27,4844,LEGO The Hobbit,"[6, 9, 12, 14, 37, 41, 46, 48, 49]",Reclaim the Lost Kingdom brick by brick Join Bilbo Baggins Gandalf Thorin and his company of Dwarves in an epic adventure across Middleearth to recapture the Lonely Mountain in the most expansive LEGO game to date Battle ravenous Trolls dangerous Orcs and many more Combine the Dwarves unique abilities to solve puzzles  often with hilarious results Explore iconic locations in Middleearth from the Shire to Goblintown and beyond,"[9, 12, 31]",69.97178507497993,Missing,8.8,16.1,37.27,69.0,266.0,474.0
28,17139,Nightmares from the Deep 2: The Siren's Call,"[3, 6, 14, 48, 49, 130]",Nightmares from the Deep The Sirens Call is the sequel to the smash hit Nightmares from the Deep The Cursed HeartThis epic adventure features an exciting plot full of outstanding puzzles and unforeseeable twists and turns,"[9, 31]",69.8989511152348,When Sarah Black curator at the Caribbean Naval Museum receives a package from a mysterious messenger she is unwittingly drawn into an ancient conflict Inside the package she finds an artifact and instantly assailants descend on the museum to rob her The artifact is stolen Sarah lowers her head in disbelief as she realizes that again she is falling headfirst into a nightmare from the deep  Next Sarah finds herself on the shores of Kingsmouth a forgotten fishing town which holds an incredible secret A wouldbe messenger reveals the sad truth he and the rest of the towns denizens are suffering from a curse that is gradually turning them into ghoulish mutated ocean creatures a curse that was cast by none other than the mayor Murray and the old seadevil himself Davy Jones,4.03,4.79,6.57,67.0,37.0,118.0
29,10233,Brawlhalla,"[6, 14, 34, 39, 48, 49, 130]",Brawlhalla is a free platform fighting game with over 100 million players that supports up to 8 players online in a single match with full crossplay Frequent updates 50 unique characters and counting Come fight for glory in the halls of Valhalla,"[4, 8, 32, 33]",66.25635304078475,Brawlhalla Historys greatest warriors brawl to prove whos the best in an epic test of strength and skill These slugfests are salted with powerful weapons and gadgets Every weapon you pick up changes your style of play,59.88,176.06,267.46,63.0,232.0,33.0
30,9881,Circuits,"[3, 6, 14, 39, 48, 49, 130]",Simple in concept but very challenging and rewardingCircuits is a puzzle game that requires careful listening to complete each level  The goal of Circuits  piece together the different parts of a song Sounds easy but maybe not,"[7, 9, 32]",65.61794001446775,Missing,3.16,3.61,4.88,60.0,24.0,46.0
31,5471,2014 FIFA World Cup Brazil,"[9, 12]",Lead your country to World Cup glory while experiencing all the fun excitement and drama of Footballs greatest event,[14],64.74133696317328,Missing,2.89,60.46,1265.27,67.0,28.0,11.0
32,4755,The Amazing Spider-Man 2,"[6, 9, 12, 41, 48, 49]",2 years after the death of Ben Parker Peter Parker his nephew gains special Spider like powers to become Spiderman But now with the rise of enemies like Harry Osborn kingpin And the Russian Mob Spiderman is in one of his biggest battles yet Though he is not the only one hunting Villains,"[4, 25, 31]",59.2155425145892,Missing,7.16,11.72,22.87,57.0,163.0,175.0
33,16447,Full Mojo Rampage,"[6, 48, 49]",Full Mojo Rampage is a roguelike game that takes place within the confines of the Voodoo reality In this realm only the most powerful rites and powers can provide a safeguard against evil,"[5, 12, 32]",56.48,Missing,6.41,9.6,44.45,58.0,15.0,11.0
34,9465,Strike Suit Zero: Director's Cut,"[6, 48, 49, 130]",In the year 2299 an interstellar war rages Take control of the Strike Suit  a craft with the ability to transform into a hulking suit of space armor  in a bid to save Earth from destruction Immerse yourself in massive fleet battles where your dogfighting skills will directly affect the fate of the cosmos  Discover a colorful and vibrant universe with an epic story spanning 17 unique missions Engage intelligent enemy fighters and take on colossal capital ships exploiting weak points in their superstructure to blow them apart piece by piece Upgrade your Strike Suit and customize your weapon loadouts to tailor combat to your tastes Take advantage of six craft including three Strike Suits to experience dogfighting action as youve never seen it before  The Directors Cut is the definitive version of the game featuring a nextgen graphical overhaul restructured campaign and additional content  including the Heroes of the Fleet campaign,"[5, 32, 33]",50.0,Missing,5.91,8.5,11.09,59.0,15.0,14.0
