first_release_date,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1400284800,[5],250142,Sakura Flamingo Archives,[12],Sakura Flamingo Archives is a compilation of Milestones five arcade shooters   Chaos Field  Radirgy  Karous  Illvelo  Radirgy Noa  It also features a Mixture mode and a Death mode both of which could be played with any ship from the games mentioned above,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1401235200,[31],233695,Minecraft: Master Chief Mash-up,"[6, 12, 34, 39, 48, 49, 74, 130, 132, 388]",Welcome to the Minecraft Master Chief Mashup which includes more than 50 skins a bespoke texture set with themed UI an original soundtrack and an amazing world filled with iconic locations to explore,Missing,Missing,nan,nan,nan,nan,nan,nan
1399852800,[31],168772,LEGO The Hobbit: The Big Little Character Pack,"[6, 14, 48, 49]",Highlighting a few miniature versions of big fan favorites The Big Little Character Pack is sure to deliver a fun take on some famous Middleearth residents Strike a little fear and terror into the hearts of your foes with Baby Smaug or enjoy a cameo appearance of Baby Gimli from The Lord of the Rings trilogy  The LEGO Big Figure Snow Troll is sure to shake things up and youll also have the chance to play as Bandobras Bullroarer Took or a Stone Dwarf from Erebor If you find yourself weary of travel by foot take a ride on the Spider Remember its not about the journey itself but rather the experience we have with those we take along with us,Missing,Missing,nan,nan,nan,nan,nan,nan
1399852800,[31],168771,LEGO The Hobbit: Side Quest Character Pack,"[6, 14, 48, 49]",New surprise characters await when you take time to explore the hidden secrets of Middleearth Take command of a LEGO Big Figure River Troll or Girion a brave Lord of Dale The noble Elk will offer you transport wherever you desire or you can charge into battle with the fearless Dwarf soldier,Missing,Missing,nan,nan,nan,nan,nan,nan
1401148800,"[2, 31]",127110,The Wolf Among Us: Episode 4 - In Sheep's Clothing,"[6, 9, 12, 14]",Bigby must delve into the criminal underworld to find the Crooked Man,Missing,Missing,nan,nan,nan,nan,nan,nan
1401148800,"[2, 31]",127109,The Wolf Among Us: Episode 3 - A Crooked Mile,"[6, 9, 12, 14]",Following a shocking revelation Bigby pursues Ichabod Crane who is now in hiding,Missing,Missing,nan,nan,nan,nan,nan,nan
1399939200,"[2, 31]",127059,The Walking Dead: Season Two - Episode 3: In Harm's Way,"[6, 9, 12, 14, 39, 46, 48, 49]",After reuniting with her old friend Kenny Clementine is now prisoner to a man with the intention of preparing mankinds next generation for survival through any means necessary Can she and her friends escape,Missing,Missing,nan,nan,nan,nan,nan,nan
1400198400,"[12, 13, 31, 32, 34]",114775,Autumn's Journey,"[6, 48, 49, 130]",The world of Ishtera is populated by two races dragonkind who have lived there for eons and the heavenkind who have recently appeared  Auralee an aspiring knight from the farming town of Berri stumbles upon something unexpected during one of her patrols After a rather inelegant introduction Kerr states hes really an Earth Dragon Whether he likes it or not Auralee is now involved in his mission to regain his dragon form Along with some help by a fellow dragonkind named Ilmari their journey begins,The world of Ishtera is populated by two races dragonkind who have lived there for eons and the heavenkind who have recently appeared  Auralee an aspiring knight from the farming town of Berri stumbles upon something unexpected during one of her patrols After a rather inelegant introduction Kerr states hes really an Earth Dragon  one of the mystical beasts that inhabit their world Ishtera Whether he likes it or not Auralee is now involved in his mission to regain his dragon form Along with some help by a fellow dragonkind named Ilmari their journey begins,Missing,2.34,0.0,2.91,58.0,6.0,11.0
1401148800,[31],103379,Watch Dogs: DEDSEC Edition,"[6, 9, 12, 48, 49]",The Dedsec Edition includes   Watch_Dogs  23cm Aiden Pearce Figurine  3 exclusive badges  4 collectible cards  Artbook  DEDSEC Collector box  Map of Chicago  Steelbook  Soundtrack disc  Additional digital content   Watch_Dogs Breakthrough Pack DLC  Watch_Dogs Palace Pack DLC  Watch_Dogs Signature Shot Pack DLC  Watch_Dogs White Hat Pack DLC for this edition exclusive to PS3PS4,Missing,Missing,nan,nan,nan,nan,nan,nan
1399075200,[9],61727,Flex,[12],Flex is a massively customizable blockmatching game,Missing,Missing,nan,nan,nan,nan,nan,nan
1401321600,[31],59732,Avatar Fear,[12],Explore a Mayan temple using an Xbox Live Avatar in search of artifacts,Missing,Missing,nan,nan,nan,nan,nan,nan
1399593600,"[5, 31]",51869,Saints Row IV: Game of the Century Edition,"[6, 9, 12]",The US President must save the Earth from alien overlord Zinyak using superpowers and strange weapons in the wildest open world game ever Includes all available DLC    The epic conclusion to the game that changed all the rules The Saints have gone from the crackhouse to the White Housebut the Earth has been invaded and its up to you to free the world from Overlord Zinyak and his alien empire With homies new and old superpowers and strange weapons you must save the world in the wildest open world game ever And this edition even includes all available DLC,Missing,Missing,nan,nan,nan,nan,nan,nan
