,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
43,"[9, 15, 32]",17990,Semispheres,"[6, 46, 48, 49, 130]",Semispheres is a singleplayer stealth puzzler where you simultaneously control two characters in connected parallel realities The game is a mix of mindbending puzzles and motor coordination challenges Later levels introduce the coop aspect of the game where the two sides need to work together sometimes simultaneously to progress,70.0,Missing,2.06,2.17,2.23,60.0,2.0,5.0
44,"[5, 9, 31]",27019,Resident Evil 7: Biohazard - Banned Footage Vol. 2,"[6, 48, 49]",In this DLC this newly unearthed footage exposes further secrets from the dark past of the Baker family,69.98250514827505,Missing,1.42,3.05,7.13,70.0,73.0,65.0
45,"[5, 8, 12, 31, 32]",112185,Fury Unleashed,"[3, 6, 14, 39, 48, 49, 130]",Fury Unleashed is an action platformer where you shoot your way through the pages of an everchanging comic book Take advantage of unique combo system to unleash your fury and become a whirling tornado of destruction Discover why your creator doubted you and prove him wrong  Your guns are your best friends and ink is your most valuable resource  collect it from defeated enemies to permanently upgrade your hero The more dynamic and brave your play style the greater the rewards But remember to stay focused at all times or you will die sooner than you think and lose everything you looted on your way,69.97577988761867,Missing,7.66,11.01,17.12,74.0,26.0,31.0
46,"[5, 31]",27349,Watch Dogs 2: Human Conditions,"[6, 48, 49]",Dive into the dark world of science medicine and misuse as biotech takes center stage in 3 new World Stories Hack your way through several hours of additional mission content and uncover San Franciscos biggest scientific scandals,69.29137760158572,Missing,3.04,4.01,9.42,69.0,28.0,45.0
47,"[9, 31, 32]",27310,We Were Here,"[6, 14, 48, 49, 163]",Lost and separated in an abandoned castle set in a frozen wasteland Your only possession left is a walkietalkie with a familiar voice on the other end Can the both of you find your way out in time,68.13412235641889,Missing,1.62,1.9,2.63,71.0,526.0,926.0
48,"[8, 9, 32]",11250,Shift Happens,"[6, 48, 49, 130]",Shift Happens is a coop platformer for two people You control Bismo and Plom who are connected by accident They share a common mass and can shift it at any time At the push of a button you change size and strength affecting yourself and your partner The mechanic links you and forces you to cooperate and communicate,64.39410978759877,Missing,6.97,9.66,15.08,71.0,25.0,33.0
49,"[5, 8, 32, 33]",26363,Splasher,"[3, 6, 14, 48, 49, 130]",Splasher is a 2D platformer that offers arcade action With a powerful and surprising paint canon the player will have to face great challenges and use all his skills to rescue the Splashers These little fellows are working as peons in a big factory Inkorp The Evil ruler of the company Le Docteur has insane plans that threatens them all with a terrible fate  Along his journey the player will have to master the power of his paint cannon He will soon find out that each color offers special abilities from crazy bouncing to sticking to walls or even tricking encounters and changing their behaviour The game will offer more than twenty levels a time attack mode with leaderboards epic boss fights and many other cool features,64.06814780263647,Missing,5.34,6.99,8.37,75.0,52.0,89.0
50,"[8, 9, 31, 32, 33]",27358,The Mooseman,"[3, 6, 14, 46, 48, 49, 130, 167, 169]",Longlong time ago the world was created out of an eggshell by a god named Yen In the murky depths of the endless ocean the Lower World was born The Middle World was made for the men to dwell and the Upper World was were the ancient gods would reside Multitude of spirits dwells among the layers of creation guarding their secrets in the dark Embark on a journey through all the worlds of ancient myth find artefacts of Chud tribes and solve all the mysteries of finnougric tales You are the Mooseman and you have the ability to see all that is hidden to the mortal eye You are about to visit three layers of this universe  the first one is the Lower World where ancient spirits dwell,63.91987440834535,Missing,1.7,2.3,3.09,63.0,54.0,79.0
51,"[12, 31, 32]",29943,Tyler: Model 005,"[6, 49]",Tyler Model005 is a 3D actionplatformer and exploration game set in the 1950s where you control a spunky miniature robot named Tyler Many years after being shut down Tyler is accidentally powered up during the height of a thunderstorm You set off with Tyler to discover why your creator is missing and what has happened to your home which is now overrun with robotsized rats cockroaches and more,60.0,Missing,0.0,6.0,7.53,40.0,1.0,3.0
52,"[9, 31, 32]",27569,Dying: Reborn,"[6, 46, 48, 49, 130]",DYING Reborn is a dark horrorthemed puzzle game that creates a unique firstperson room escape experience A mysterious fishhead nemesis a grudge a series of neverending trials and a shocking ending promise to satisfy your horror needs,60.0,Missing,,,,,,
53,"[9, 31, 32]",28357,Die With Glory,"[6, 14, 34, 39, 48, 49, 130]",Die With Glory is a humorpacked adventure game with a rich nonlinear storyline where your ultimate goal is to die  Sigurd is the old Viking who has been a warrior all his life and has never lost in battle Now hes ready to die with glory and go to Valhalla  Travel through beautiful landscapes in a search of a worthy foe who will be able to defeat you and grant you an honorable death Try every deadly peril to test your Viking warrior strength and dont give up until you find a way to die with glory and go through the Valhalla Gates  Explore a tiny yet diversified world face hardest challenges meet new characters and fight with unique weapons It is up to you to choose your path define your own game world and determine Sigurds destiny  Die with Glory empowers you to choose your own adventure to accomplish the ultimate goal of ensuring Sigurd dies an honorable death  Our main goal is to present a unique experience at every stage of the game still based on simple core gameplay mechanics To die with glory you have to face the obstacles characters and game physics below to reach your goals  Siege and defend castles Surf the lava river Raise the Army of the Dead Befriend a vegetarian timetraveling dragon or dont Fall in love with a valkyrie shes ginger Partake in a massive battle between flying fleets Travel through time Sacrifice and betrayal sarcasm and deadly seriousness Also goats Discover other game film and literature references throughout the game  Unlike most other games the objective is for the protagonist the die rather than survive Nonlinear storyline served in brief episodes Simple core gameplay but diversified experience Other game film and literature references throughout the game Original visual design and style Goats that arent what they look like,50.0,The game tells a story of an old viking who lived a glorious life of a brave warrior and is now eager to reach Valhalla,1.54,2.08,5.59,70.0,2.0,5.0
54,"[13, 15]",33479,Battle Islands: Commanders,"[6, 48, 49]",Take part in major WWII battles in Battle Islands Commanders from the sandy dunes of North Africa to the bitter cold of the Eastern Front Master the art of war against real opponents from around the world and reap the spoils of war,40.0,Missing,0.0,0.0,0.0,30.0,2.0,0.0
