,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,[31],274894,Hitman 3: Ambrose Island,"[6, 48, 49, 167, 169]",Ambrose Island is a brand new location for HITMAN 3 and a major release as part of our Year 2 plans Its available now as a free download included with the July Patch  Embark on a new adventure with Agent 47 to a secluded island in the Andaman Sea Located north from the Strait of Malacca Ambrose Island is an isolated harbour packed full of dense vegetation hidden coves twisting paths and perilous bridges  From the lit torches that illuminate narrow passageways to the neon lights that flicker over the bustle of Farahs bar theres a sense of discovery around every corner,Missing,Missing,,,,,,
1,"[8, 31]",272023,Klonoa 2: Lunatea's Veil,"[6, 48, 49, 130, 167, 169]",Klonoa 2 Lunateas Veil is a remaster of the original 25D platformer game released for modern consoles with enhanced graphics The game was bundled with Klonoa Door to Phantomile in the Phantasy Reverie Series This is actually the first time Lunateas Veil has had any sort of rerelease since its debut on the PS2,The game puts players in the role of Klonoa who along with a new cast of friends has stumbled into another adventure this time to save the world of Lunatea and help unveil the mysteries of the enchanted world,Missing,6.52,8.24,8.83,79.0,96.0,93.0
2,"[8, 31]",270725,Klonoa: Door to Phantomile,"[6, 48, 49, 130, 167, 169]",Klonoa Door to Phantomile is a remaster of the original 25D platformer game released for modern consoles with enhanced graphics The game was bundled with Klonoa 2 Lunateas Veil in the Phantasy Reverie series This version is actually a remaster of the 2008 Wii remake simply titled Klonoa with the character designs and colors remaining more faithful to the original PS1 game,The story follows Klonoa and his friend Huepow in their efforts to save the dream world of Phantomile from an evil spirit intent on turning it into a world of nightmares,Missing,4.34,4.95,5.25,78.0,198.0,205.0
3,[5],256741,Hunt: Showdown - The Prescient Night,[49],This DLC contains one Legendary Hunter and three Legendary weapons   The Prescient one Hunter  The Forewarning one weapon  Moon Bleached one weapon  The Blindside one weapon,Missing,Missing,,,,,,
4,Missing,255089,Kao the Kangaroo: Summer Drip,"[6, 130, 167, 169]",Missing,Missing,Missing,,,,,,
5,Missing,254501,Fortnite: Sapphire Hagiri Quest Pack,"[48, 49, 130, 167, 169]",The Sapphire Serpent will help Charlotte unlock her true potential Includes an Outfit w style a Back Bling 2 Pickaxes a Wrap and Quests to earn up to 1500 VBucks,Missing,Missing,,,,,,
6,"[13, 31]",254265,Minecraft: SpongeBob SquarePants,"[6, 34, 39, 48, 49, 130, 169]",Are you ready kids Its time to join your favourite underthesea chums on an adventure in Minecraft Visit Bikini Bottom and help make today the BEST DAY EVER for SpongeBob Patrick Sandy and friends Complete with 40 skins,Missing,Missing,,,,,,
7,[10],248413,Hot Wheels: Retro Game Customization Pack,[49],For all of us who spent hours at the Arcades this pack will take you back in time to the glorious 8bit years Pixelated style for Basement and Unleashed Profile with a retro touch everyone will love even those born in this millennium,Missing,Missing,,,,,,
8,[8],243685,Fall Guys: Neigh Neigh Pack,"[6, 48, 49, 130, 167, 169]",Guaranteed to turn your next round into a onehorse race  Bundle Includes Neigh Neigh Whole Costume 600x ShowBucks,Missing,Missing,,,,,,
9,[8],243683,Fall Guys: Wildfire Pack,"[6, 48, 49, 130, 167, 169]",Make your next round an ultimate knockout with these ringside rumblers  Bundle Includes Wildfire Whole Costume Blunderdome Sports Live Whole Costume Bean Analyst Whole Costume 2000 x ShowBucks,Missing,Missing,,,,,,
10,"[5, 33]",239052,Grand Theft Auto Online: The Criminal Enterprises,"[167, 169]",Grand Theft Auto Online The Criminal Enterprises is a content update for Grand Theft Auto Online The game features a wide range of GTA Online experience improvements many of these the direct result of extensive and constructive feedback provided by the players,Missing,Missing,,,,,,
11,"[4, 13]",230988,WWE 2K22: The Whole Dam Pack,"[49, 169]",The Whole Dam Pack features Rob Van Dam Machine Gun Kelly Logan Paul LA Knight Xia Li Commander Azeez and Sarray Each playable Superstar comes with their own MyFACTION EVO cards  The Whole Dam Pack is already included in the WWE 2K22 Season Pass,Missing,Missing,,,,,,
12,[4],230981,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles: Additional Costume Pack - Kimetsu Academy Summer Uniforms,"[49, 169]",Ingame costumes that can be used in Versus Mode Kimetsu Academy Summer Uniforms are now available for Kimetsu Academy Tanjiro Kamado Kimetsu Academy Nezuko Kamado Kimetsu Academy Zenitsu Agatsuma Kimetsu Academy Inosuke Hashibira and Kimetsu Academy Giyu Tomioka,Missing,Missing,,,,,,
13,"[13, 14]",227316,Matchpoint: Tennis Championships - Legends DLC,"[49, 169]",Play two of the biggest Tennis legends in history,Missing,Missing,,,,,,
14,[31],226917,Sniper Elite 5: Landing Force Mission and Weapon Pack,"[6, 48, 49, 167, 169]",Deploy to the South of France where enemy forces have commandeered an island off the coast of Marseille to house a gargantuan gun battery The vast island is a hive of Nazi activity and features docks lighthouse and a ruined keep as well as the huge gun emplacement which must be destroyed in order to help the Allied Landing Force liberate Southern France,Missing,Missing,,,,,,
15,"[5, 12]",223831,Aliens: Fireteam Elite - Frontier Freelancer Pack,"[49, 169]",The Outer Rim remains one of the most challenging frontiers for humanity Prepare yourself with the Frontier Freelancer Pack filled with over 20 items including class kit skins weapon colors head accessories emotes and more,Missing,Missing,,,,,,
16,[31],223592,Dragon Ball: Xenoverse 2 - Conton City Vote Pack,"[49, 130]",3 New Characters Goku Ultra Instinct Sign Dyspo Vegeta GT 2 Extra Missions 4 New Parallel Quests 10 Additional Moves 4 CostumesAccessories 5 Super Souls 15 Illustrations,Missing,Missing,,,,,,
17,[31],221534,No Man's Sky: Endurance,"[6, 48, 49, 167, 169]",Dramatically expand your capital ship in update 394 Endurance Introducing deeper and more varied freighter base building including exterior platforms and catwalks enhanced nebulae and deep space storms fleets of organic frigates and so much more,Missing,Missing,,,,,,
18,[4],212309,MultiVersus: Founder's Pack - Deluxe Edition,"[49, 169]",Grab a MultiVersus Founders Pack for Instant Character Unlock Tokens Exclusive Items and more,Missing,Missing,,,,,,
19,[4],212308,MultiVersus: Founder's Pack - Premium Edition,"[49, 169]",Grab a MultiVersus Founders Pack for Instant Character Unlock Tokens Exclusive Items and more,Missing,Missing,,,,,,
20,[4],212307,MultiVersus: Founder's Pack - Standard Edition,"[49, 169]",Grab a MultiVersus Founders Pack for Instant Character Unlock Tokens Exclusive Items and more,Missing,Missing,,,,,,
21,"[5, 25, 31, 32]",212286,Bright Memory: Infinite - Platinum Edition,[169],Bright Memory Infinite is an epic fusion of the FPS and action genres brought to you by indie developer FYQDStudio Combine a range of skills and abilities to unleash dazzling combos on your enemies,Missing,Missing,,,,,,
22,"[9, 31]",212285,Bright Paw: Definitive Edition,"[49, 169]",Murder mystery puzzles and cats,Missing,Missing,,,,,,
23,Missing,212283,EleMetals: Deluxe Edition,[49],Pick one of six metalheads and SHRED your friends in this battle royal Along with the base game the new player DLC lets you listen to the best ELEMETAL music,Missing,Missing,,,,,,
24,"[8, 33]",212277,Avenging Spirit,"[48, 49, 130, 167, 169]",Creative and complex platform action with a unique supernatural touch,Missing,Missing,0.87,1.53,1.95,72.0,16.0,28.0
25,"[12, 31]",211917,Sword Art Online: Alicization Lycoris - Blooming of Matricaria,"[49, 130]",Blooming of Matricaria is the second major expansion DLC for SWORD ART ONLINE Alicization Lycoris Additional content includes a new story characters weapons and more,Missing,Missing,,,,,,
26,Missing,211422,Age of Solitaire: Build Civilization,"[6, 14, 49]",Build your civilization with the classic Klondike Solitaire card game Beautiful graphics and healing music will help you to blow away your stress Enjoy your time with the Solitaire card game,Missing,Missing,,,,,,
27,[9],211300,Secrets of Light and Shadow,"[49, 130]",Bundle includes LIT Bend the Light Bend and In My Shadow,Missing,Missing,,,,,,
28,Missing,211246,RimWorld: Console Edition - Digital Deluxe,[49],Its designed to coauthor tragic twisted and triumphant stories about imprisoned pirates desperate colonists starvation and survival It works by controlling the random events that the world throws at you Every thunderstorm pirate raid and travelling salesman is a card dealt into your story by the AI Storyteller,Missing,Missing,,,,,,
29,"[12, 15]",210936,The Riftbreaker: Deluxe Edition,[169],The Riftbreaker Deluxe Edition contains the core game and all available addons,Missing,Missing,,,,,,
30,"[13, 15, 32]",210746,Train Valley: Console Edition,"[48, 49, 130]",Build railroads in order to connect cities tunnels and bridges New railways are cheap when laid across bare fields but can be expensive when demolishing forests villages and other existing structures,Missing,Missing,,,,,,
31,"[12, 31, 32]",210738,Citizen Sleeper: Episode - Flux,"[6, 14, 48, 49, 130, 167, 169]",Pressures in the Helion system bring the first ships of a refugee flotilla to Erlins Eye Meet and help those that get onstation before the quarantine locks them out,Missing,Missing,,,,,,
32,"[12, 25, 31]",210699,Baldur's Gate: Dark Alliance II,"[6, 14, 48, 49, 130, 167, 169]",Using the 3rd Edition Dungeons  Dragons rules set Baldurs Gate Dark Alliance II features four new acts of hackandslash combat and powerful spell casting Even more monster types will engage in realtime battles using the same overhead perspective as witnessed in the original game Each selected character can parlay the experience gained from combat into acquiring new feats and enhanced abilities over time To help in battle a new item creation system lets players craft magical weapons and armor using raw materials found during their travels  As before two heroes can join the adventure in cooperative play on the same screen with each character differing in the types of feats and powers under his or her command Equipment can be found or purchased from local merchants using the gold looted from felled creatures or received as payment for quests Baldurs Gate Dark Alliance II also features a number of hidden areas secret characters and literally hundreds of items to find and use including potions scrolls and wands In addition the game features a new branching storyline that offers players a choice where to go next for fortune and honor,Missing,Missing,12.08,16.13,62.42,75.0,76.0,60.0
33,"[11, 13, 15, 24]",210525,RimWorld: Console Edition,"[48, 49]",A scifi colony sim driven by an intelligent AI storyteller Generates stories by simulating psychology ecology gunplay melee combat climate biomes diplomacy interpersonal relationships art medicine trade and more,Missing,Missing,,,,,,
