,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Dear Esther,Dear Esther,1.29,1.59,2.33,64,884,1633
1,Killing Adventure,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Demons of Problematique 2,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Fallout: Oblivion Lost,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Half-Life: Pulse,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,I Wanna Be The SuperTux 2,Not found on hl2b,0.0,0.0,0.0,0,0,0
6,I Wanna Be The SuperTux,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Heath Robinson Solutions,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,"Mirai no Uta to, Tsunagaru Hitomi",Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Strider Mountain,Strider Mountain,10.0,0.0,0.0,70,1,1
10,Tasty Static,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Touhou: Combinations With You,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,G.H.O.S.T. Chronicles: Phantom of the Faire,Not found on hl2b,0.0,0.0,0.0,0,0,0
13,Farm Craft,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,Sanae no Gensoukyou,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,Starry Sky: in Autumn,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Korsakovia,Korsakovia,0.0,0.0,0.0,0,0,0
17,On a Roll,On a Roll,0.0,0.0,0.0,0,0,0
18,Awakener,The Awakener: Risen,0.0,0.0,0.0,0,0,0
19,Musubareta Te,Not found on hl2b,0.0,0.0,0.0,0,0,0
20,Holiday Rush,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Fishdom: Holiday Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,Crystal Cave Classic,Not found on hl2b,0.0,0.0,0.0,0,0,0
23,Cooking Dash: DinerTown Studios,Not found on hl2b,0.0,0.0,0.0,0,0,0
24,Whispers of Satan,Not found on hl2b,0.0,0.0,0.0,0,0,0
25,Alice is Dead: Episode 1,Not found on hl2b,0.0,0.0,0.0,0,0,0
26,Scythe X,Scythe X,0.77,1.06,0.0,0,0,2
27,Dhux's Scar,Not found on hl2b,0.0,0.0,0.0,0,0,0
28,Women's Murder Club: Twice in a Blue Moon,Not found on hl2b,0.0,0.0,0.0,0,0,0
29,Pirate Hunter,Pirate Hunter,5.0,9.67,0.0,30,2,2
30,Man of Prey,Man of Prey,21.71,0.0,0.0,60,1,2
31,Venetica: Gold Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
32,Slingo Mystery: Who's Gold,Not found on hl2b,0.0,0.0,0.0,0,0,0
33,Aliens in the Attic,Aliens In The Attic,2.04,0.0,0.0,70,2,2
34,Alien Shooter: Revisted,Not found on hl2b,0.0,0.0,0.0,0,0,0
35,Paws & Claws Pet Vet: Australian Adventures,Not found on hl2b,0.0,0.0,0.0,0,0,0
36,Batman: Arkham Asylum - Collector's Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
37,Aqua Panic!,Aqua Panic!,0.0,0.0,0.0,50,1,0
38,LucasArts Adventure Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
39,Batman: Arkham Asylum - Insane Night Challenge Map Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
40,Wizard's Hat,Not found on hl2b,0.0,0.0,0.0,0,0,0
41,Dexter: The Game,Dexter: The Game,2.0,0.0,0.0,0,0,1
42,Grappling Hook,Not found on hl2b,0.0,0.0,0.0,0,0,0
43,Escape From Paradise 2,Escape From Paradise 2: A Kingdom's Quest,0.0,0.0,0.0,50,1,0
44,ItzaBitza,Not found on hl2b,0.0,0.0,0.0,0,0,0
45,Cake Mania: Back to the Bakery,Not found on hl2b,0.0,0.0,0.0,0,0,0
46,Championship Manager 2010,Championship Manager 2010,0.0,0.0,0.0,0,0,0
47,Dawn of Magic 2,Dawn of Magic 2,10.0,0.0,16.0,0,0,2
48,Black College Football: BCFX - The Xperience,Not found on hl2b,0.0,0.0,0.0,0,0,0
49,Family Feud: 2010 Edition,Family Feud: 2010 Edition,0.0,0.0,0.0,70,1,0
50,Ninja Gaiden Sigma 2,Ninja Gaiden Sigma 2,11.04,15.85,110.06,77,127,122
51,Eden*,Not found on hl2b,0.0,0.0,0.0,0,0,0
52,Joint Operations: Combined Arms Gold,Not found on hl2b,0.0,0.0,0.0,0,0,0
53,Red Faction: Guerrilla - Steam Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
54,Nation Red,Nation Red,2.05,5.6,28.77,55,18,30
55,Everyday Genius: SquareLogic,Everyday Genius: SquareLogic,17.91,34.17,0.0,80,3,6
56,Fate: The Traitor Soul,Fate: The Traitor Soul,15.17,0.0,22.07,20,1,2
57,Madballs in Babo: Invasion,Madballs in Babo: Invasion,4.05,7.42,15.19,58,13,23
