,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Metal Monstrosity,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,The Wailing Horde,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Paranoia: The Game Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Death of the Augnob,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Level 22,Level 22: Gary's Misadventures,2.94,2.96,4.53,59,15,23
5,Alice=Alice,ALICE=ALICE,0.0,13.25,0.0,60,1,1
6,Minecraft: Master Chief Mash-up,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Draconic Evolution,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,I-N-K,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Rocksmith 2014: Cake Song Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,Quickscope Simulator,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Payday 2: Gage Sniper Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,Neverwinter: Curse of Icewind Dale,Not found on hl2b,0.0,0.0,0.0,0,0,0
13,The Masked Prisoner,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,UdoRin,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,Touhou Genso Maroku: Utage,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Mononobe no Futo to Muttsu no Shiren,Not found on hl2b,0.0,0.0,0.0,0,0,0
17,Chiruno Freezer,Not found on hl2b,0.0,0.0,0.0,0,0,0
18,Urapani!,Not found on hl2b,0.0,0.0,0.0,0,0,0
19,Bouhou Koumakyou 2,Not found on hl2b,0.0,0.0,0.0,0,0,0
20,Cangaço,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Touhou Rock Maiden 2: Houraisan Kaguya no Nazo,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,Asleep,Try To Fall Asleep,0.0,0.0,0.0,0,0,0
23,Quoth,Not found on hl2b,0.0,0.0,0.0,0,0,0
24,Grim,Grim Fandango,10.9,11.54,12.03,81,674,836
25,Touhou Diablo 2: Gensokyo Treasure Hunting,Not found on hl2b,0.0,0.0,0.0,0,0,0
26,Haunted Hotel: Ancient Bane - Collector's Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
27,2,2,4.9,0.0,0.0,75,2,2
28,Super Mario RPG: The Starlite Worlds,Not found on hl2b,0.0,0.0,0.0,0,0,0
29,Return to Melanat,Not found on hl2b,0.0,0.0,0.0,0,0,0
30,LEGO The Hobbit: The Big Little Character Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
31,LEGO The Hobbit: Side Quest Character Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
32,Train Simulator 2021: BR Sectors Class 56 Loco,Not found on hl2b,0.0,0.0,0.0,0,0,0
33,Europa Universalis IV: Muslim Ships Unit Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
34,Europa Universalis IV: Trade Nations Unit Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
35,Xump: The Final Run,Not found on hl2b,0.0,0.0,0.0,0,0,0
36,"You, Me and Empty Words","You, Me and Empty Words",0.8,0.0,0.0,48,2,1
37,Metroid Dreadnought,Metroid: Dreadnought,0.17,0.0,0.0,0,0,1
38,Quack Attack 1985: Turbo DX Edition,Quack Attack 1985: Turbo DX Edition,0.0,0.0,0.0,0,0,0
39,Retro Arcade Adventure Remade,Not found on hl2b,0.0,0.0,0.0,0,0,0
40,Jenka's Nightmare,Jenka's Nightmare,0.0,0.0,0.0,0,0,0
41,Kentucky Route Zero: Act III,Not found on hl2b,0.0,0.0,0.0,0,0,0
42,Fignermukcre,Not found on hl2b,0.0,0.0,0.0,0,0,0
43,Bite Me,Don't Bite Me Bro! +,0.0,0.0,0.0,60,1,0
44,Trembling Dots,Not found on hl2b,0.0,0.0,0.0,0,0,0
45,Bad Medicine: Infectious Teachers,Not found on hl2b,0.0,0.0,0.0,0,0,0
46,The Wolf Among Us: Episode 4 - In Sheep's Clothing,Not found on hl2b,0.0,0.0,0.0,0,0,0
47,The Wolf Among Us: Episode 3 - A Crooked Mile,Not found on hl2b,0.0,0.0,0.0,0,0,0
48,The Walking Dead: Season Two - Episode 3: In Harm's Way,Not found on hl2b,0.0,0.0,0.0,0,0,0
49,A New Home,Virtual Villagers: A New Home,0.0,0.0,6.97,74,8,3
