,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Shooting Love. 10-shuunen,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,Minecraft: 1st Birthday Skin Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Lootfest2,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Phoenix Wright: Ace Attorney - Trials and Tribulations,Phoenix Wright: Ace Attorney - Trials and Tribulations,21.13,24.72,25.65,90,527,350
4,Phoenix Wright: Ace Attorney - Justice For All,Phoenix Wright: Ace Attorney - Justice for All,18.3,20.51,20.76,80,619,461
5,Cave Shooting Collection,Not found on hl2b,0.0,0.0,0.0,0,0,0
6,Aliens: Colonial Marines - Sharp Sticks,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Aliens: Colonial Marines - Sawed-off Double Barrel Shotgun,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Aliens: Colonial Marines - Limited Edition Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Aliens: Colonial Marines - Collector's Edition Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,Aliens: Colonial Marines - Reconnaissance Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Zoombies: Animales de la Muerte,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,Portal of Evil: Stolen Runes,Portal of Evil: Stolen Runes,4.41,5.0,5.5,56,7,23
13,Injustice: Gods Among Us Killing Joke Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,Injustice: Gods Among Us Teen Titans Skins,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,Injustice: Gods Among Us - Red Son Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Injustice: Gods Among Us Bad Girls Skins,Not found on hl2b,0.0,0.0,0.0,0,0,0
17,Injustice: Gods Among Us Lobo,Not found on hl2b,0.0,0.0,0.0,0,0,0
18,Injustice: Gods Among Us Batgirl,Not found on hl2b,0.0,0.0,0.0,0,0,0
19,Vacation Vexation,Vacation Vexation,0.0,0.0,0.0,0,0,0
20,Jimmy vs. Zombies,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Way of the Dogg,Way of the Dogg,1.43,0.0,0.0,10,1,2
22,Crash Time 5: Undercover,Crash Time 5: Undercover,9.86,0.0,0.0,50,2,2
23,Muv-Luv Alternative: Total Eclipse,Muv-Luv Alternative: Total Eclipse Remastered,30.31,38.0,38.39,67,3,10
24,Hunter's Trophy 2: America,Not found on hl2b,0.0,0.0,0.0,0,0,0
25,Phoenix Wright: Ace Attorney,Phoenix Wright: Ace Attorney,18.16,22.33,23.26,84,1059,873
26,Metro: Last Light,Metro: Last Light,10.34,13.66,35.96,80,590,811
27,Sonic the Hedgehog,Sonic the Hedgehog,2.16,2.19,2.33,72,879,685
28,Thunder Wolves,Thunder Wolves,3.56,6.63,15.83,65,13,27
29,The Swapper,The Swapper,5.1,5.45,5.87,78,575,992
30,Doritos Crash Course 2,Doritos Crash Course 2,1.0,6.0,10.09,61,23,9
31,Call of Juarez: Gunslinger,Call of Juarez: Gunslinger,5.08,6.98,13.8,77,1090,1731
32,Sanctum 2,Sanctum 2,12.18,29.86,59.23,67,71,72
33,Grid 2,Grid 2,17.33,20.8,28.85,70,271,257
34,Metal Gear Rising: Revengeance - Blade Wolf,Metal Gear Rising: Revengeance - Blade Wolf,1.04,1.36,2.76,71,92,133
35,CastleStorm,CastleStorm,7.11,10.65,20.5,67,67,76
36,The Incredible Adventures of Van Helsing,The Incredible Adventures of Van Helsing,12.82,17.74,32.89,69,206,366
37,Resident Evil: Revelations,Resident Evil: Revelations,8.4,12.81,34.88,73,976,1297
38,Warhammer Quest,Warhammer Quest,22.06,27.66,38.0,56,7,7
39,Fuse,Fuse,8.57,11.05,14.25,66,47,39
40,Reus,Reus,8.24,18.1,66.27,64,44,47
41,Borderlands 2: Psycho Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
42,Hexodius,Hexodius,12.0,0.0,0.0,0,0,1
43,Fast & Furious: Showdown,Fast & Furious: Showdown,4.56,5.05,20.0,28,8,11
44,Dishonored: Void Walker Arsenal,Not found on hl2b,0.0,0.0,0.0,0,0,0
