,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Like a Dragon Gaiden: The Man Who Erased His Name - Deluxe Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,The Crew: Motorfest - Deluxe Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Bem Feito,Bem Feito,1.5,1.75,2.25,90,2,4
3,Stranded: Alien Dawn Premium Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Nickelodeon All-Star Brawl 2: Ultimate Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,Nickelodeon All-Star Brawl 2: Deluxe Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
6,Call of Toys: Tower Defense!,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Fortnite: Chapter 4 - Season OG,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Remnant II: The Awakened King,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Super Double Dragon,Super Double Dragon,1.49,2.11,2.75,63,30,21
10,Excessive Trim,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Hot Wheels Unleashed 2: Turbocharged - Speed and Style Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,DreamWorks All-Star Kart Racing: Rally Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
13,Minecraft: Star Wars - Path of the Jedi,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,Dungeons 4: Deluxe Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,Barton Lynch Pro Surfing,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Teardown: Deluxe Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
17,Naruto x Boruto: Ultimate Ninja Storm Connections - Collector's Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
18,Dredge: The Pale Reach,Not found on hl2b,0.0,0.0,0.0,0,0,0
19,Berzerk: Recharged,Berzerk: Recharged,0.0,0.0,0.0,0,0,0
20,Harvest Moon: The Winds of Anthos - Tool Upgrade & New Interior Designs Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Let's Sing 2024 with International Hits,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,Devil Engine: Complete Edition,Devil Engine,4.4,6.0,0.0,60,3,6
23,Tales of Arise: Beyond the Dawn,Tales of Arise: Beyond the Dawn,12.47,16.83,19.44,70,10,16
24,Football Manager 2024,Football Manager 2024,0.0,0.0,0.0,75,2,0
25,Mortal Kombat 1: Omni-Man,Not found on hl2b,0.0,0.0,0.0,0,0,0
26,Turok 3: Shadow of Oblivion Remastered,Turok 3: Shadow of Oblivion,5.98,6.35,6.91,56,11,15
27,Age of Empires IV: The Sultans Ascend,Not found on hl2b,0.0,0.0,0.0,0,0,0
28,The Walking Dead: Destinies,The Walking Dead: Destinies,0.0,0.0,0.0,0,0,0
29,Let's Sing 2024,Not found on hl2b,0.0,0.0,0.0,0,0,0
30,Call of Duty: Modern Warfare III,Call of Duty: Modern Warfare III,4.91,6.86,11.03,56,44,81
31,Smoots Pinball,Not found on hl2b,0.0,0.0,0.0,0,0,0
32,Nickelodeon All-Star Brawl 2,Nickelodeon All-Star Brawl 2,3.0,10.0,31.0,80,2,3
33,DreamWorks All-Star Kart Racing,DreamWorks All-Star Kart Racing,0.0,0.0,0.0,0,0,0
34,Wildshade: Unicorn Champions,Not found on hl2b,0.0,0.0,0.0,0,0,0
35,Super Crazy Rhythm Castle,Super Crazy Rhythm Castle,0.0,0.0,0.0,0,0,0
36,Bluey: The Videogame,Bluey: The Videogame,0.0,0.0,0.0,0,0,0
37,Jurassic Park: Classic Games Collection,Not found on hl2b,0.0,0.0,0.0,0,0,0
38,Asterix & Obelix: Slap Them All! 2,Not found on hl2b,0.0,0.0,0.0,0,0,0
39,Yohane the Parhelion: Blaze in the DeepBlue,Yohane the Parhelion: BLAZE in the DEEPBLUE,0.0,0.0,0.0,0,0,0
40,Jumanji: Wild Adventures,Not found on hl2b,0.0,0.0,0.0,0,0,0
41,Stampede Racing Royale,Stampede: Racing Royale,0.0,0.0,0.0,0,0,0
42,Microsoft Flight Simulator: Dune,Not found on hl2b,0.0,0.0,0.0,0,0,0
43,Persona 5 Tactica,Persona 5 Tactica,0.0,0.0,0.0,60,1,0
44,Lake: Season's Greetings,Not found on hl2b,0.0,0.0,0.0,0,0,0
45,Pixel Cafe,Pixel Cafe,0.0,0.0,0.0,0,0,0
46,The Smurfs 2: The Prisoner of the Green Stone,The Smurfs 2: The Prisoner of the Green Stone,8.24,0.0,0.0,70,1,2
47,PlateUp!: Collector's Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
48,KarmaZoo,KarmaZoo,0.0,0.0,0.0,0,0,0
49,Ebenezer and the Invisible World,Ebenezer and The Invisible World,0.0,0.0,0.0,0,0,0
50,UFO Robot Grendizer: The Feast of the Wolves,UFO Robot Grendizer: The Feast of the Wolves,0.0,0.0,0.0,0,0,0
