,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,DC Universe Online: Episode 23 - The Will of Darkseid and Brainiac's Bottle Ship,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,God Eater Off Shot: Twin Pack Vol.7,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Ratchet & Clank: Special Limited Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Raishi Konpeki no Shou,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Mortal Kombat X: XL Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,LEGO Marvel's Avengers: Marvel's Ant-Man Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
6,Kamigami no Asobi InFinite,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,The Walking Dead: Michonne - Episode 3: What We Deserve,The Walking Dead: Michonne - Episode 3: What We Deserve,1.04,1.12,1.12,71,47,64
8,ACA Neo Geo: Baseball Stars 2,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Touhou Soujinengi V: The Genius of Sappheiros,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,The Magic Circle: Gold Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Grand Theft Auto PS Vita Collection,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,Arcade Archives: Gradius II,Not found on hl2b,0.0,0.0,0.0,0,0,0
13,Jikkyou Pawafuru Puroyakyu: Success Special,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,Hitman: Episode 2 - Sapienza,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,Call of Duty: Infinite Warfare - Jackal Assault,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Jikkyou Pawafuru Puroyakyu 2016,Not found on hl2b,0.0,0.0,0.0,0,0,0
17,Bullet Girls 2,Bullet Girls 2,0.0,0.0,0.0,65,1,0
18,A Rose in the Twilight,A Rose in the Twilight,7.63,9.0,13.98,74,14,31
19,Dying Light: The Following - Gun Psycho Bundle,Not found on hl2b,0.0,0.0,0.0,0,0,0
20,Dying Light: The Following - Harran Ranger Bundle,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Dying Light: The Following - Volatile Hunter Bundle,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,Dark Souls III: Deluxe Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
23,UEFA Euro 2016: Pro Evolution Soccer,Not found on hl2b,0.0,0.0,0.0,0,0,0
24,Dark Souls III: Collector's Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
25,République: Contraband Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
26,Tom Clancy's The Division: Collector's Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
27,Senran Kagura: Estival Versus - Endless Summer Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
28,King's Quest: Chapter 3 - Once Upon A Climb,King's Quest: Chapter 3 - Once Upon a Climb,2.81,2.96,3.2,81,14,22
29,EVE: Burst Error R,Not found on hl2b,0.0,0.0,0.0,0,0,0
30,SteamWorld Heist: The Outsider,SteamWorld Heist: The Outsider,3.93,6.5,0.0,77,3,6
31,Masquerade: The Baubles of Doom,Masquerade: The Baubles of Doom,3.59,0.0,0.0,40,1,2
32,Call of Duty: Black Ops III - Eclipse,Call of Duty: Black Ops III - Eclipse DLC Pack,1.4,0.0,1.41,73,3,3
33,Loud on Planet X,Loud On Planet X,3.0,5.75,0.0,60,1,3
34,Brothers Conflict: Precious Baby,Brothers Conflict: Precious Baby,0.0,40.32,0.0,85,2,1
