,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Time Episode,The Walking Dead - Episode 5: No Time Left,1.59,1.66,1.67,89,206,260
1,Famicom Tantei Club: Seinaru Yoru ni,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Crusades,Plebby Quest: The Crusades,0.0,0.0,0.0,20,1,0
3,Operation Kolpowitz,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,MP Orbit,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,Hugo: Jungle Island 1,Hugo: Jungle Island,0.0,0.0,15.2,60,1,1
6,Thinkin' Things: All Around Frippletown,Thinkin' Things: All Around Frippletown,0.0,0.0,15.57,70,1,1
7,Nawatobi suru Carbuncle,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Half-Life: Mission of Mercy,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Scientist Hunt,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,Kalpa: The Sign of Omen,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,I Spy Spooky Mansion,I Spy: Spooky Mansion,2.89,0.0,3.29,68,9,7
12,Harley-Davidson: Race Across America,Harley-Davidson: Race Across America,0.0,0.0,0.0,0,0,0
13,Quake: Penumbra of Domination,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,Petz 4,Petz 4,0.0,0.0,0.0,60,1,0
15,Dogz 4,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Blue's Clues: Blue's Treasure Hunt,Not found on hl2b,0.0,0.0,0.0,0,0,0
17,BoaBite 3D,Not found on hl2b,0.0,0.0,0.0,0,0,0
18,Klass of '99,Not found on hl2b,0.0,0.0,0.0,0,0,0
19,MechCommander Gold,MechCommander Gold,0.0,0.0,0.0,70,1,0
20,Deer Avenger 2: Deer in the City,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Memories Off,Memories Off,0.0,0.0,24.45,90,1,2
22,AFL 99,Not found on hl2b,0.0,0.0,0.0,0,0,0
23,For a Change,For a Change,0.0,0.0,0.0,80,1,0
24,Panzer General 3D Assault,Panzer General 3D Assault,0.0,0.0,0.0,90,1,0
25,Leisure Suit Larry: Ultimate Pleasure Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
26,Star Trek: Starfleet Command,Star Trek: Starfleet Command,0.0,31.18,0.0,0,0,1
27,Disney's Villains' Revenge,Disney's Villains' Revenge,2.25,3.0,0.0,70,2,2
28,Cutthroats: Terror on the High Seas,Cutthroats: Terror on the High Seas,0.0,0.0,0.0,80,1,0
29,Grand Prix World,F-1 World Grand Prix,5.0,10.0,0.0,75,12,4
30,Sinistar Unleashed,Not found on hl2b,0.0,0.0,0.0,0,0,0
31,Star Wars: Pit Droids,Star Wars: Pit Droids,2.0,0.0,0.0,60,1,1
32,Konung: Legends of the North,Konung: Legends of the North,30.03,0.0,38.0,75,2,2
33,NASCAR 2000,NASCAR 2000,20.0,0.0,0.0,50,3,1
34,Flight Unlimited III,Not found on hl2b,0.0,0.0,0.0,0,0,0
35,Flanker 2.0,Flanker 2.0,32.0,0.0,0.0,75,2,1
36,Heroes of Might and Magic III: Armageddon's Blade,Heroes of Might and Magic III: Armageddon's Blade,43.39,69.9,97.16,84,22,14
37,Age of Empires II: The Age of Kings,Age of Empires II: The Age of Kings,42.31,57.59,71.53,84,174,81
38,Warcraft II: Battle.net Edition,Warcraft II: Battle.net Edition,18.75,20.24,30.61,78,29,21
39,Homeworld,Homeworld,16.07,22.05,26.91,80,42,35
40,Age of Empires: Gold Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
41,Resident Evil 3: Nemesis,Resident Evil 3: Nemesis,6.85,8.17,13.06,81,631,624
42,Freespace 2,FreeSpace 2,15.17,17.61,28.0,84,23,18
43,Army Men: Sarge's Heroes,Army Men: Sarge's Heroes,7.3,10.87,16.16,65,30,17
44,Mob Rule Classic,Mob Rule,0.0,0.0,0.0,0,0,0
45,TrickStyle,TrickStyle,0.0,4.5,0.0,60,3,1
46,FIFA 2000: Major League Soccer,FIFA 2000,8.5,59.36,85.55,67,26,8
47,Revenant,Revenant,13.9,22.51,29.9,88,4,10
48,Red Comrades: For the Great Justice,Not found on hl2b,0.0,0.0,0.0,0,0,0
49,Spy Fox In: Hold the Mustard,Not found on hl2b,0.0,0.0,0.0,0,0,0
50,Prince of Persia 3D,Prince of Persia 3D,15.7,0.0,0.0,45,10,4
