,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Fall Cleaning,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,Nastrond,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Day of the Lords,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,SpongeBob SquarePants: Battle For Bikini Bottom,SpongeBob SquarePants: Battle for Bikini Bottom,9.85,12.47,14.32,78,174,104
4,Doom Redemption,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,Void,VOID,6.88,0.0,8.0,30,1,2
6,Little Longnose,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,X.E.T. Xen Exploration Team,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Harry Buster,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Total Pinball 25: 3D Tables,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,Microsoft Train Simulator: Sandpatch,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Best of Poker,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,10 Spiele-Hits Vol. 1,Not found on hl2b,0.0,0.0,0.0,0,0,0
13,Bicycle Board Games,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,The Need for Speed Collection,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,Adiboo & Paziral's Secret,Adiboo & Paziral's Secret,0.0,1.29,0.0,45,2,1
16,3D Crazy Ballz,Not found on hl2b,0.0,0.0,0.0,0,0,0
17,War Chess,War Chess,0.0,0.0,0.0,0,0,0
18,Alien Sky,Not found on hl2b,0.0,0.0,0.0,0,0,0
19,SeaWorld Adventure Parks Tycoon,SeaWorld Adventure Parks Tycoon,0.0,0.0,0.0,50,1,0
20,Angels vs. Devils,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Jetfighter V: Homeland Protector,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,Airport Tycoon 3,Airport Tycoon 3,0.0,0.0,0.0,0,0,0
23,Batman: Toxic Chill,Batman: Toxic Chill,0.0,0.0,1.63,53,3,2
24,People's Tactics,Not found on hl2b,0.0,0.0,0.0,0,0,0
25,Missing: Since January,In Memoriam,11.83,0.0,0.0,60,2,3
26,Room Zoom: Race for Impact,Room Zoom: Race for Impact,2.0,0.0,0.0,30,1,1
27,Petka 4: Den' Nezavisimosti,Not found on hl2b,0.0,0.0,0.0,0,0,0
28,Space Colony HD,Space Colony,36.98,41.82,46.21,0,0,3
29,Disney Princess: Royal Horse Show,Not found on hl2b,0.0,0.0,0.0,0,0,0
30,Super Farm,Super Farm,0.0,0.0,0.0,70,1,0
31,Backpacker 3,Backpacker 3,0.0,0.0,0.0,53,3,0
32,Warlords IV: Heroes of Etheria,Warlords IV: Heroes of Etheria,0.0,0.0,0.0,60,3,0
33,Xtreme Air Racing 2,Not found on hl2b,0.0,0.0,0.0,0,0,0
34,Dark Age of Camelot: Trials of Atlantis,Not found on hl2b,0.0,0.0,0.0,0,0,0
35,Apocalyptica,Apocalyptica,3.0,0.0,0.0,50,1,1
36,Massive Assault,Massive Assault,0.0,0.0,0.0,0,0,0
37,Castle Shikigami 2,Castle Shikigami 2,1.15,3.5,0.0,74,8,8
38,Wallace and Gromit in Project Zoo,Not found on hl2b,0.0,0.0,0.0,0,0,0
39,Deer Hunter 2004,Not found on hl2b,0.0,0.0,0.0,0,0,0
40,Max Payne 2: The Fall of Max Payne,Max Payne 2: The Fall of Max Payne,6.19,7.89,9.5,83,979,1070
41,Call of Duty,Call of Duty,6.88,9.05,9.38,77,674,643
42,The Black Mirror,Black Mirror III: The Final Fear,13.41,15.23,15.99,72,32,38
43,Railroad Tycoon 3,Railroad Tycoon 3,26.88,30.0,38.0,64,7,7
44,SimCity 4: Rush Hour,SimCity 4: Rush Hour,0.0,0.0,0.0,83,7,0
45,Empires: Dawn of the Modern World,Empires: Dawn of the Modern World,0.0,0.0,0.0,80,1,0
46,Hidden & Dangerous 2,Hidden & Dangerous 2,16.55,18.76,20.11,81,9,15
47,Tony Hawk's Underground,Tony Hawk's Underground,6.99,9.59,16.24,80,175,100
48,World Soccer: Winning Eleven 7 International,Not found on hl2b,0.0,0.0,0.0,0,0,0
49,The Elder Scrolls III: Morrowind - Game of the Year Edition,The Elder Scrolls III: Morrowind - Game of the Year Edition,46.75,95.23,355.6,86,169,205
50,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,8.58,13.18,20.05,76,265,145
51,Kill.Switch,Not found on hl2b,0.0,0.0,0.0,0,0,0
52,Commandos 3: Destination Berlin,Commandos 3: Destination Berlin,13.19,15.52,17.68,75,29,22
53,The Sims: Makin' Magic,The Sims: Makin' Magic,0.0,0.0,0.0,73,3,0
54,FIFA Soccer 2004,FIFA Football 2004,20.07,62.5,0.0,64,25,12
55,Top Spin,Top Spin,10.0,18.0,0.0,72,13,4
