,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Doom II,Doom II: Hell on Earth,6.97,9.63,13.51,81,651,581
1,The Ultimate Doom,The Ultimate Doom,6.07,8.37,11.48,85,356,371
2,Dynasty Warriors 5: Special,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,2 in 1 Combo Pack: Sonic Heroes/Super Monkey Ball Deluxe,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Hardwood Spades,Hardwood Spades,0.0,0.0,0.0,0,0,0
5,AFL Premiership 2005,AFL Premiership 2005,0.0,0.0,0.0,0,0,0
6,Volvo: Drive for Life,Volvo: Drive for Life,0.0,0.0,0.0,0,0,0
7,Perfect Dark Zero: Collector's Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Tetris: The Grand Master Ace,Tetris: The Grand Master Ace,0.0,0.0,0.0,0,0,0
9,Gene Troopers,Gene Troopers,8.0,9.0,10.5,60,2,3
10,Operation Flashpoint: Elite,Arma: Cold War Assault,22.26,36.52,62.08,76,32,37
11,LMA Manager 2006,LMA Manager 2006,0.0,0.0,0.0,20,1,0
12,Hardwood Hearts,Hardwood Hearts,0.0,0.0,0.0,0,0,0
13,Wrestle Kingdom,Wrestle Kingdom,6.02,0.0,0.0,0,0,1
14,Rugby League 2,Rugby League 2,15.0,65.0,0.0,40,2,4
15,Greg Hastings' Tournament Paintball MAX'D,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Gauntlet: Seven Sorrows,Gauntlet: Seven Sorrows,4.74,0.0,8.64,60,19,11
17,Ford vs. Chevy,Ford vs. Chevy,0.0,6.5,0.0,35,2,1
18,Need for Speed: Most Wanted - Black Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
19,Dead or Alive 4,Dead or Alive 4,3.99,11.67,115.53,73,71,54
20,Zuma Deluxe,Zuma Deluxe,5.66,7.91,8.75,69,34,30
21,Exit,Exit,6.33,13.82,15.0,71,7,6
22,Karaoke Revolution Party,Karaoke Revolution Party,0.0,0.0,0.0,80,1,0
