,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Hitman 3: Deluxe Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,Halo: The Master Chief Collection Season 5 - Anvil,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Ammo Pigs: Cocked and Loaded,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,The Guardians of Peace,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Dragon Ball FighterZ: Super Baby 2,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,MiniGolf Tour,Minigolf Tour,0.0,0.0,0.0,0,0,0
6,Outbreak: Epidemic - Definitive Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Smite: Digital Deluxe Edition 2021,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Madden NFL 21: Superstar Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Dirt 5: Year One Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,Outbreak: The New Nightmare - Definitive Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Twinstick Classics Bundle,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,Escape Sequence,Escape Sequence,0.0,0.0,0.0,0,0,0
13,Real Heroes: Firefighter HD,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,Gods Will Fall: Valiant Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,Prison Architect: Going Green,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,The Pillar: Puzzle Escape,The Pillar: Puzzle Escape,2.24,0.0,3.58,50,1,6
17,Sea of Thieves: Season 1,Not found on hl2b,0.0,0.0,0.0,0,0,0
18,Rocket Arena: Season 3,Not found on hl2b,0.0,0.0,0.0,0,0,0
19,Zombie Army 4: Dead War - Mission 6: Dead Zeppelin,Not found on hl2b,0.0,0.0,0.0,0,0,0
20,Journey to the Savage Planet: Employee of the Month Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Uno: Fenyx's Quest,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,UNO: Ultimate Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
23,"A Painter's Tale: Curon, 1950","A Painter's Tale: Curon, 1950",2.5,0.0,2.77,80,1,3
24,Farm Frenzy: Refreshed,Not found on hl2b,0.0,0.0,0.0,0,0,0
25,The Sims 4: Paranormal Stuff,Not found on hl2b,0.0,0.0,0.0,0,0,0
26,Rogue Sentry,Rogue Sentry,0.0,0.0,0.0,0,0,0
27,Dadish 2,Dadish 2,1.95,2.39,2.77,75,28,33
28,Dead Cells: Fatal Falls,Dead Cells: Fatal Falls,3.0,5.0,5.0,71,7,6
