,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Eiken DS,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,Deviens Miss France,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Biz Nouryoku DS Series: Wagokoro no Moto,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Cocoto Kart Racer,Cocoto Kart Racer,3.0,0.0,0.0,30,4,1
4,FIFA Soccer 08,FIFA 08,33.94,43.73,53.08,69,51,15
5,Zekkyou Senshi: Sakeburein,Zekkyou Senshi: Sakeburein,0.0,0.0,0.0,0,0,0
6,MySims,MySims,12.5,15.0,25.35,66,42,21
7,Yoshi's Island: Kamek's Revenge,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Star Wars: Rogue Squadron III - Rebel Strike Preview Disc,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Uwasa no Midori-kun!! Natsu Iro Striker,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,Interactive Storybook DS: Series 1,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Age-age the Zero-Yon Shinya,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,Wedding Dash,Wedding Dash,0.0,0.0,0.0,40,1,0
13,Zekkyo Senshi Sakebrain,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,Jigoku Shoujo: Akekazura,Jigoku Shoujo: Akekazura,0.0,0.0,0.0,0,0,0
15,I did it Mum! 2,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Bartender DS,Not found on hl2b,0.0,0.0,0.0,0,0,0
17,Animal Genius,Not found on hl2b,0.0,0.0,0.0,0,0,0
18,Spelling Challenges and More,Spelling Challenges and More!,0.0,1.35,3.5,50,1,2
19,Deltora Quest: 7-tsu no Houseki,Not found on hl2b,0.0,0.0,0.0,0,0,0
20,Katekyo Hitman Reborn! DS Flame Rumble: Kaien Ring Soudatsuen!,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Paws & Claws Best Friends: Dogs & Cats,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,MindStorm,Master Jin Jin's IQ Challenge,0.0,3.43,4.36,35,2,2
23,I Spy Fun House,Not found on hl2b,0.0,0.0,0.0,0,0,0
24,High School Musical Makin' the Cut!,Not found on hl2b,0.0,0.0,0.0,0,0,0
25,Clever Kids Pony World,Not found on hl2b,0.0,0.0,0.0,0,0,0
26,Turn It Around,Turn It Around,0.0,0.0,1.0,40,1,1
27,Operation: Vietnam,Operation: Vietnam,0.0,0.0,0.0,0,0,0
28,Zoey 101: Field Trip Fiasco,Not found on hl2b,0.0,0.0,0.0,0,0,0
29,Balls of Fury,Balls of Fury,0.0,0.0,0.0,60,1,0
30,World Series of Poker 2008: Battle for the Bracelets,World Series of Poker 2008: Battle for the Bracelets,2.0,0.0,0.0,70,2,1
31,Everyday is Wonderful! Hello Kitty Life Kit,Not found on hl2b,0.0,0.0,0.0,0,0,0
32,Record of Agarest War,Record of Agarest War,75.47,126.57,168.6,68,37,40
33,Pokémon Mystery Dungeon: Explorers of Darkness,Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness,22.54,43.37,95.08,82,210,124
34,Namco Museum DS,Namco Museum DS,10.0,0.0,0.0,72,6,1
35,Pokémon Mystery Dungeon: Explorers of Time,Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness,22.54,43.37,95.08,82,210,124
36,Sonic Rush Adventure,Sonic Rush Adventure,7.02,10.62,12.6,71,98,59
37,Brain Challenge,Brain Challenge,12.0,18.5,20.0,65,2,4
38,Drawn to Life,Drawn to Life,12.59,14.66,16.23,68,59,30
39,Theta,Theta,0.0,5.5,0.0,50,1,1
40,Juiced 2: Hot Import Nights,Juiced 2: Hot Import Nights,16.15,18.82,21.03,62,36,26
41,Tamagotchi Connection: Corner Shop 3,Tamagotchi Connection: Corner Shop 3,0.0,0.0,0.0,0,0,0
42,Jackass: The Game,Jackass: The Game,3.06,5.12,8.0,67,21,17
43,JAM sessions,Jam Sessions,0.25,0.0,0.0,10,1,1
44,Prism: Light the Way,Prism: Light the Way,0.0,0.0,0.0,0,0,0
