,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Lucky Star: Ryouou Gakuen Outousai - DX Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,School Days LxH,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Buzz! The Schools Quiz,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Tales of Destiny: Director's Cut,Tales of Destiny: Director's Cut,39.26,46.0,0.0,69,9,6
4,Suzumiya Haruhi no Tomadoi,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,Lucky Star: Ryouou Gakuen Outousai,Lucky * Star: Ryouou Gakuen Outousai,0.0,0.0,0.0,0,0,0
6,Your Memories Off: Girl's Style,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Jetix Puzzle Buzzle,Jetix Puzzle Buzzle,0.0,0.0,0.0,0,0,0
8,Sky Diving,Skydiving Extreme,0.59,0.0,0.0,0,0,1
9,Atari Classics: Evolved,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,Spectral Gene,Spectral Gene,0.0,0.0,0.0,0,0,0
11,Dai Senryaku VII: Modern Military Tactics Exceed,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,Warriors of the Lost Empire,Warriors of The Lost Empire,17.4,0.0,0.0,65,4,3
13,Yggdra Union: We'll Never Fight Alone,Yggdra Union: We'll Never Fight Alone,25.63,43.58,74.09,77,14,18
14,NeoGeo Battle Coliseum,NeoGeo Battle Coliseum,0.64,3.23,3.29,67,20,18
15,Dance Dance Revolution: Disney Channel Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Crystal Defenders,Crystal Defenders,7.11,7.67,9.83,62,23,15
17,PDC World Championship Darts 2008,PDC World Championship Darts 2008,0.0,0.0,0.0,0,0,0
18,Nitrobike,Nitrobike,0.0,0.0,0.0,0,0,0
19,Classic British Motor Racing,Classic British Motor Racing,0.0,0.0,0.0,0,0,0
20,Burnout Paradise,Burnout Paradise,13.16,26.05,56.58,79,362,286
21,Disgaea 3: Absence of Justice,Disgaea 3: Absence of Justice,33.82,107.07,370.21,76,67,68
22,Devil May Cry 4,Devil May Cry 4,11.33,15.02,61.92,77,505,411
23,Harvey Birdman: Attorney at Law,Harvey Birdman: Attorney at Law,3.0,3.88,3.98,70,23,19
24,NFL Tour,NFL Tour,5.0,0.0,0.0,50,1,1
25,Sonic Riders: Zero Gravity,Sonic Riders: Zero Gravity,2.43,5.08,10.64,70,83,55
