,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Sid Meier's Pirates!,Sid Meier's Pirates!,10.56,14.01,17.98,78,104,86
1,Yetisports Arctic Adventure,Yetisports Arctic Adventures,0.0,0.0,0.0,0,0,0
2,The Idolmaster,THE iDOLM@STER SP: Perfect Sun,7.0,0.0,0.0,80,1,1
3,Outlaw Tennis,Outlaw Tennis,0.0,0.0,0.0,80,1,0
4,NCAA Football 06,NCAA Football 06,42.25,0.0,0.0,87,6,1
5,Halo 2: Multiplayer Map Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
6,Batman Begins,Batman Begins,7.3,8.41,9.04,68,49,38
7,Worms 4: Mayhem,Worms 4: Mayhem,9.73,11.57,19.17,75,44,12
8,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,4.66,0.0,0.0,35,9,3
