,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Shifting Planes of Existence,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,Heretic Speedmapping 1,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Automaton,Syberia 3 - An Automaton with a Plan,0.71,0.73,0.74,51,14,19
3,Millennium Mini-Episode,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Darkness Flaw,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,Nuclear Chunks,Not found on hl2b,0.0,0.0,0.0,0,0,0
6,The Given,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Minecraft: Moana Character Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Shield Blast,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Empty Head,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,Without Escape,Without Escape,0.94,0.95,1.14,40,18,31
11,Crossout: Arsonist Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,Trying,Find Love or Die Trying,4.35,5.24,5.73,67,40,60
13,Rocksmith 2014 Edition: Remastered - Paramore: Song Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,Rocksmith 2014 Edition: Remastered - Green Day: Song Pack III,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,Terraria: Split Mod,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Final Fantasy XIV: Rise of a New Sun,Final Fantasy XIV: Rise of a New Sun,3.84,4.07,0.0,79,20,21
17,Metrocubevania,Not found on hl2b,0.0,0.0,0.0,0,0,0
18,Bulletstorm: Lite,Not found on hl2b,0.0,0.0,0.0,0,0,0
19,The Disappearing of Gensokyo: Byakuren,Not found on hl2b,0.0,0.0,0.0,0,0,0
20,"The Disappearing of Gensokyo: Sakuya, Koishi, Suika",Not found on hl2b,0.0,0.0,0.0,0,0,0
21,The Disappearing of Gensokyo: Patchouli,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,IronTusk's Diablo3D,Not found on hl2b,0.0,0.0,0.0,0,0,0
23,Distress,Nemesis: Distress,0.0,0.0,0.0,0,0,0
24,KYM-tan Shoots Things,Not found on hl2b,0.0,0.0,0.0,0,0,0
25,The Birdwatcher,Not found on hl2b,0.0,0.0,0.0,0,0,0
26,The Devil & the Deep Blue Sea,Not found on hl2b,0.0,0.0,0.0,0,0,0
27,Pokémon Titan,Pokémon Titan,21.0,43.5,69.0,90,4,4
28,Vitas Castle of Horror,Not found on hl2b,0.0,0.0,0.0,0,0,0
29,A Night in Nowhere,Not found on hl2b,0.0,0.0,0.0,0,0,0
30,Sacrament iv.,Not found on hl2b,0.0,0.0,0.0,0,0,0
31,DeFacto,Not found on hl2b,0.0,0.0,0.0,0,0,0
32,Worst Dating Sim,Worst Dating Sim,1.78,2.12,2.38,80,1,3
33,Two girls make a game,Not found on hl2b,0.0,0.0,0.0,0,0,0
34,3:00 AM at The Krusty Krab,Not found on hl2b,0.0,0.0,0.0,0,0,0
35,The Bog's Heart,Not found on hl2b,0.0,0.0,0.0,0,0,0
36,The Suburb: Not Just Dinner,Not found on hl2b,0.0,0.0,0.0,0,0,0
37,Hero Siege: Class - Marauder,Not found on hl2b,0.0,0.0,0.0,0,0,0
38,"The Disappearing of Gensokyo: Kogasa, Iku Character Pack",Not found on hl2b,0.0,0.0,0.0,0,0,0
39,LEGO Marvel Super Heroes 2: Champions Character Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
40,Adventure: Welcome to the Genre,Not found on hl2b,0.0,0.0,0.0,0,0,0
41,100% Orange Juice: Tsih & Tequila,Not found on hl2b,0.0,0.0,0.0,0,0,0
42,Jigsaw Puzzle Pack: Pixel Puzzles Ultimate - Variety Pack 3,Not found on hl2b,0.0,0.0,0.0,0,0,0
43,Touhou Genso Wanderer Reloaded: Kokoro Hata,Not found on hl2b,0.0,0.0,0.0,0,0,0
44,Microsoft Flight Simulator X: Steam Edition - US Cities X: Indianapolis,Not found on hl2b,0.0,0.0,0.0,0,0,0
45,Microsoft Flight Simulator X: Steam Edition - US Cities X: San Francisco,Not found on hl2b,0.0,0.0,0.0,0,0,0
46,Microsoft Flight Simulator X: Steam Edition - Farm Strips Vol 4: North England,Not found on hl2b,0.0,0.0,0.0,0,0,0
47,Microsoft Flight Simulator X: Steam Edition - Beechcraft F33A Bonanza,Not found on hl2b,0.0,0.0,0.0,0,0,0
48,Microsoft Flight Simulator X: Steam Edition - Beechcraft V35B Bonanza,Not found on hl2b,0.0,0.0,0.0,0,0,0
49,Offworld Trading Company: Limited Supply,Not found on hl2b,0.0,0.0,0.0,0,0,0
50,Car Mechanic Simulator 2018: Bentley Remastered,Not found on hl2b,0.0,0.0,0.0,0,0,0
51,Dragon Ball FighterZ: FighterZ Pass,Not found on hl2b,0.0,0.0,0.0,0,0,0
52,Floppy Bird,Floppy Bird,0.0,0.0,0.0,0,0,0
53,Q: A Dystopian Queueing Simulator,Not found on hl2b,0.0,0.0,0.0,0,0,0
54,If Not Us,If Not Us,0.75,0.0,0.0,0,0,1
55,Woodland Chasers,Woodland Chasers,0.0,0.0,0.0,0,0,0
56,KeyCars,KeyCars,0.0,0.0,0.0,0,0,0
57,Concentric,Concentric,0.0,0.0,0.0,0,0,0
58,Bit Rat: Singularity,BIT RAT: Singularity,0.0,0.0,0.0,0,0,0
59,Mio's Fruit Hunt,Not found on hl2b,0.0,0.0,0.0,0,0,0
60,Historia Battles WW2 CFEL,Not found on hl2b,0.0,0.0,0.0,0,0,0
61,Historia Battles Rome,Not found on hl2b,0.0,0.0,0.0,0,0,0
62,Historia Battles Napoleon,Not found on hl2b,0.0,0.0,0.0,0,0,0
63,Historia Battles Crusade,Not found on hl2b,0.0,0.0,0.0,0,0,0
64,Un Pueblo de Nada,Un Pueblo De Nada,0.53,0.0,0.0,65,2,3
65,Stream Battlecards,Not found on hl2b,0.0,0.0,0.0,0,0,0
66,Caves and Castles: Underworld,Caves and Castles: Underworld,0.0,2.83,3.23,0,0,2
67,Bombini,Bombini,0.0,0.0,0.0,0,0,0
68,Jut,jut,1.37,0.0,0.0,60,1,1
