,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Pimp My Ride Street Racing,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,Call of Duty: World at War Map Pack 1,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Ayakashibito: Genyou Ibunroku Portable,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Monsters vs. Aliens,Monsters vs. Aliens,6.22,12.0,15.0,61,19,12
4,Harukanaru Toki no Naka De 3: Izayoiki,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,Hayate no Gotoku! Nightmare Paradise,Not found on hl2b,0.0,0.0,0.0,0,0,0
6,Galaxy Angel II: Eternal Recurrence,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Will o' Wisp Portable,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Super Robot Taisen Z: Special Disc,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Resident Evil 5: e-Capcom Limited Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,Biohazard 5: Limited Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Prince of Persia: Epilogue,Prince of Persia: Epilogue DLC,1.99,2.67,2.97,66,30,34
12,Amagami,Amagami,10.0,18.18,0.0,80,1,2
13,Vitamin Z,Vitamin Z,8.57,0.0,0.0,25,2,1
14,Resident Evil 5: Steelbook Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,Jikkyou Pawafuru Puroyakyu 2009,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Scrabble,Scrabble,0.0,0.0,10.94,50,2,4
17,Bleach: Heat the Soul 6,Bleach: Heat the Soul 6,6.0,0.0,0.0,74,6,2
18,Moe Moe 2-ji Daisenryaku 2 Chu,Not found on hl2b,0.0,0.0,0.0,0,0,0
19,Musou Tourou,Not found on hl2b,0.0,0.0,0.0,0,0,0
20,Kidou Senshi Gundam: Senjou No Kizuna Portable,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Spelunker HD,Spelunker HD,5.5,0.0,0.0,43,4,1
22,Chou Aniki Zero,Not found on hl2b,0.0,0.0,0.0,0,0,0
23,No Gravity: The Plague Of Mind,No Gravity: The Plague of Mind,0.0,0.0,0.0,0,0,0
24,Sunday vs. Magazine: Shuuketsu! Choujou Daikessen,Not found on hl2b,0.0,0.0,0.0,0,0,0
25,Brandish: The Dark Revenant,Brandish: The Dark Revenant,18.09,20.93,23.37,76,10,15
26,Buzz! Brain of the UK,Not found on hl2b,0.0,0.0,0.0,0,0,0
27,Trash Panic,Trash Panic,0.0,0.0,0.0,65,4,0
28,Musou Orochi Z,Warriors Orochi Z,0.0,0.0,0.0,100,1,0
29,SingStar: Queen,Not found on hl2b,0.0,0.0,0.0,0,0,0
30,MLB 09: The Show,MLB 09: The Show,1.0,0.0,0.0,82,5,1
31,Buzz!: Brain of the World,Buzz!: Brain of the World,0.0,0.0,40.0,0,0,1
32,Backyard Baseball '10,Backyard Baseball '10,0.0,0.0,0.0,0,0,0
33,Major League Baseball 2K9,Major League Baseball 2K9,10.0,0.0,0.0,68,5,1
34,Harvest Moon: Hero of Leaf Valley,Harvest Moon: Hero of Leaf Valley,0.0,28.46,0.0,68,5,2
35,Guitar Hero: Metallica,Guitar Hero: Metallica,7.0,31.25,115.23,78,98,43
36,Grand Theft Auto: Chinatown Wars,Grand Theft Auto: Chinatown Wars,9.39,14.69,25.27,75,240,168
37,Ski-Doo: Snowmobile Challenge,Ski-Doo: Snowmobile Challenge,0.0,0.0,0.0,100,1,0
38,Resident Evil 5,Resident Evil 5,12.06,16.76,34.26,72,1628,1583
39,Tom Clancy's H.A.W.X,Tom Clancy's H.A.W.X,7.33,9.28,11.75,71,43,46
40,Fallout 3: The Pitt,Fallout 3: The Pitt DLC,2.87,3.86,4.47,72,121,114
41,Trivial Pursuit,Trivial Pursuit,0.99,7.24,14.49,64,19,19
42,Disgaea 2: Dark Hero Days,Disgaea 2: Dark Hero Days,33.11,74.95,447.8,80,90,86
43,Command & Conquer: Red Alert 3 - Ultimate Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
44,Watchmen: The End Is Nigh,Watchmen: The End Is Nigh - Part 1,2.88,2.9,3.56,55,34,39
45,Wheelman,Driver,11.98,15.77,20.5,71,136,73
46,Resistance: Retribution,Resistance: Retribution,10.32,10.69,10.74,68,58,51
47,Flock!,Flock!,3.78,8.0,0.0,68,4,5
48,Wanted: Weapons of Fate,Wanted: Weapons of Fate,4.92,5.71,11.53,63,76,91
49,Burn Zombie Burn!,Not found on hl2b,0.0,0.0,0.0,0,0,0
50,WWE Legends of WrestleMania,WWE Legends of WrestleMania,5.72,9.61,14.81,56,31,19
51,Stormrise,Stormrise,11.0,0.0,0.0,43,3,2
52,Leisure Suit Larry: Box Office Bust,Leisure Suit Larry: Box Office Bust,10.0,15.08,0.0,25,7,4
53,Dragonball Evolution: The Game,Not found on hl2b,0.0,0.0,0.0,0,0,0
