,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Wicked Be The Ways of Men,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,No Brakes,No Brakes Valet,0.0,0.0,0.0,0,0,0
2,The Remote Outpost,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Liquisity,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Togainu no Chi: Typing,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,120 Yen Stories,120-en no Haru: 120 Yen Stories,0.0,0.0,0.0,0,0,0
6,Camera Cafe': Il gioco,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,The Ghoul's Forest,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Nanaca Crash!!!,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,SourceForts,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,A-7,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Adventures in Odyssey and the Treasure of the Incas,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,Parfait: Chocolat Second Brew,Not found on hl2b,0.0,0.0,0.0,0,0,0
13,Coffee Break,Matchsticks - Coffee Break Club,0.0,0.0,0.7,0,0,1
14,Last Half of Darkness: Shadows of the Servants,Last Half of Darkness: Shadows of the Servants,6.0,0.0,0.0,60,1,1
15,Country Justice: Revenge of the Rednecks,Country Justice: Revenge of the Rednecks,0.0,0.0,0.0,0,0,0
16,Pure Pinball 2.0 Redux,Pure Pinball 2.0 Redux: American Pinball Reborn,0.0,0.0,0.0,0,0,0
17,EverQuest: Dragons of Norrath,Not found on hl2b,0.0,0.0,0.0,0,0,0
18,Heavy Weapon,Heavy Weapon,2.21,2.65,0.0,69,23,11
19,Togainu no Chi,Togainu no Chi,19.33,0.0,25.86,74,12,10
20,NASCAR SimRacing,NASCAR SimRacing,0.0,0.0,0.0,0,0,0
21,Airstrike II: Gulf Thunder,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,MVP Baseball 2005,MVP Baseball 2005,4.0,20.0,50.0,88,6,3
23,Star Wars: Republic Commando,Star Wars: Republic Commando,8.88,9.73,10.13,76,437,560
24,The Sims 2: University,The Sims 2: University,20.0,25.0,0.0,77,10,3
25,Constantine,Constantine,7.59,7.73,7.93,67,27,18
26,The Settlers: Heritage of Kings,The Settlers: Heritage of Kings,25.24,30.84,39.16,68,14,15
27,Emergency 3,Emergency 3,16.71,0.0,0.0,70,1,1
28,Project: Snowblind,Project: Snowblind,5.79,5.96,6.79,61,60,67
29,Dangerous Waters,Dangerous Waters,0.0,0.0,0.0,90,1,0
30,Robots,Robots,6.97,0.0,0.0,55,22,9
31,UEFA Champions League 2004-2005,UEFA Champions League 2004-2005,8.67,0.0,0.0,60,1,3
