,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,NHL 97,NHL 97,23.38,0.0,40.0,70,11,6
1,Yoshi no Panepon,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,NBA Live 97,NBA Live 97,9.22,0.0,0.0,75,2,3
3,Pokémon Blue Version,Pokémon Red and Blue,26.24,43.32,102.31,81,1268,903
4,Picross 2,Picross 3D: Round 2,38.07,56.23,68.01,87,82,120
5,Mortal Kombat Trilogy,Mortal Kombat Trilogy,1.34,4.21,12.71,71,69,29
6,Samurai Shodown IV: Amakusa's Revenge,Samurai Shodown IV: Amakusa's Revenge,0.89,2.0,0.0,70,21,17
