,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Assassin's Creed II: Game of the Year Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,Transformers: War for Cybertron Map and Character Pack 2,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Hydrophobia,Hydrophobia,3.17,4.05,6.16,52,28,29
3,Red Dead Redemption: Liars and Cheats,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,360 Mega Pack HD Remix,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,Techno Kitten Adventure,Techno Kitten Adventure,4.0,8.0,0.0,83,4,3
6,Action Arcade Wrestling,Action Arcade Wrestling,0.0,0.0,0.0,0,0,0
7,Halo: Reach - Legendary Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Dance It's Your Stage,Dance! It's your Stage,0.53,0.0,0.0,0,0,1
9,Truth or Lies,Truth or Lies,1.0,1.5,1.61,10,4,5
10,Animal Jam,Animal Jam,0.0,0.0,0.0,65,6,0
11,Rapala Pro Bass Fishing,Rapala Pro Bass Fishing 2010,0.0,0.0,12.0,70,2,1
12,Mass Effect 2: Lair of the Shadow Broker,Mass Effect 2: Lair of the Shadow Broker,2.02,2.47,2.89,86,201,176
13,Halo: Reach,Halo: Reach,7.85,12.68,49.4,81,1581,1353
14,Greg Hastings Paintball 2,Greg Hastings Paintball 2,0.0,0.0,0.0,30,1,0
15,NHL 11,NHL 11,28.33,0.0,0.0,77,9,3
16,DeathSpank: Thongs of Virtue,DeathSpank: Thongs of Virtue,9.85,12.48,15.41,74,54,81
17,Amnesia: The Dark Descent,Amnesia: The Dark Descent,7.91,9.1,11.14,78,941,1271
18,F1 2010,F1 2010,34.49,37.43,55.62,73,29,17
19,MySims SkyHeroes,MySims SkyHeroes,6.0,0.0,22.17,48,7,4
20,Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,6.29,8.0,16.03,63,4,7
21,Guitar Hero: Warriors of Rock,Guitar Hero: Warriors of Rock,7.24,21.19,69.26,78,83,47
22,Pro Evolution Soccer 2011,Pro Evolution Soccer 2011,43.27,87.5,478.67,69,52,9
23,Dead Rising 2,Dead Rising 2,14.13,17.71,51.72,73,423,332
24,FIFA Soccer 11,FIFA 11,54.02,57.62,55.17,71,89,28
25,Spider-Man: Shattered Dimensions,Spider-Man: Shattered Dimensions,9.85,12.0,22.37,73,236,165
26,R.U.S.E.,R.U.S.E.,14.72,22.01,28.8,76,21,21
27,Sonic Adventure,Sonic Adventure,9.06,13.59,24.49,75,283,227
28,Cabela's North American Adventures,Cabela's North American Adventures,8.5,11.0,14.0,65,2,5
29,Blade Kitten,Blade Kitten,4.98,7.78,11.66,52,23,40
30,Dragon Age: Origins - Witch Hunt,Dragon Age: Origins - Witch Hunt DLC,1.51,1.82,1.93,75,119,173
31,Alien Breed 2: Assault,Alien Breed 2: Assault,5.64,6.52,8.83,59,56,110
32,Borderlands: Claptrap's New Robot Revolution,Borderlands: Claptrap's New Robot Revolution,3.9,5.02,6.8,68,120,122
33,Front Mission Evolved,Front Mission Evolved,7.45,9.73,16.36,57,40,64
34,Dead Rising 2: Case West,Dead Rising 2: Case West,2.74,3.13,5.16,68,34,37
35,Tom Clancy's H.A.W.X 2,Tom Clancy's H.A.W.X 2,8.09,11.51,16.36,67,26,22
36,Quantum Theory,Quantum Theory,6.67,14.0,0.0,51,20,19
37,Haunted House,Haunted House,0.0,0.0,0.0,0,0,0
38,Mafia II: Jimmy's Vendetta,Not found on hl2b,0.0,0.0,0.0,0,0,0
