,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Quantum Physics,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,Terracity,Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Midnight Stalker,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Q-Deck,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,DC Universe Online: Episode 7 - Origin Crisis,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,Tiberian Sun: Reborn,Not found on hl2b,0.0,0.0,0.0,0,0,0
6,La Frana,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Submachine 6: The Edge,Submachine 6: The Edge,0.49,0.0,0.0,0,0,2
8,Forsaken Overlook,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Team Fortress 2: Robotic Boogaloo,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,In Search of Immortality,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Payday: Wolf Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,Payday: The Heist - Counterfeit,Not found on hl2b,0.0,0.0,0.0,0,0,0
13,Payday: The Heist - Undercover,Not found on hl2b,0.0,0.0,0.0,0,0,0
14,Tiny x Machinegun,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,X3: Reunion - Bonus Package,Not found on hl2b,0.0,0.0,0.0,0,0,0
16,Phoenix Wright: Ace Attorney - Trials and Tribulations,Phoenix Wright: Ace Attorney - Trials and Tribulations,21.13,24.72,25.65,90,527,350
17,Phoenix Wright: Ace Attorney - Justice For All,Phoenix Wright: Ace Attorney - Justice for All,18.3,20.51,20.76,80,619,461
18,000000052573743,Not found on hl2b,0.0,0.0,0.0,0,0,0
19,Insensato,Not found on hl2b,0.0,0.0,0.0,0,0,0
20,Touhou Gekkatan,Not found on hl2b,0.0,0.0,0.0,0,0,0
21,Dolphin Squadron,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,Touhou Mumyouken: Unorganized Heroes,Not found on hl2b,0.0,0.0,0.0,0,0,0
23,Deus Ex: Nihilum,Not found on hl2b,0.0,0.0,0.0,0,0,0
24,Yukari 108shiki: Heavenly Fantasia,Not found on hl2b,0.0,0.0,0.0,0,0,0
25,Maid-san Crisis: The Elegant Region Power,Not found on hl2b,0.0,0.0,0.0,0,0,0
26,Sakuya-san Crisis 2: The Linkage Of Servant Trial,Not found on hl2b,0.0,0.0,0.0,0,0,0
27,Satori no Dungeon Oukoku: The Heart Of Crossed Memory -,Not found on hl2b,0.0,0.0,0.0,0,0,0
28,Sakuya-san Crisis & SakuTaku,Not found on hl2b,0.0,0.0,0.0,0,0,0
29,Amapani!,Not found on hl2b,0.0,0.0,0.0,0,0,0
30,Maid Made Maze,Not found on hl2b,0.0,0.0,0.0,0,0,0
31,Touhou Rock Maiden: Houraisan Kaguya no Yabou!?,Not found on hl2b,0.0,0.0,0.0,0,0,0
32,Physicality,Not found on hl2b,0.0,0.0,0.0,0,0,0
33,Usagi,Kannagi Usagi,1.03,0.0,3.09,78,5,9
34,The Sims 3: Starter Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
35,Warframe: Rise of the Warlords,Not found on hl2b,0.0,0.0,0.0,0,0,0
36,Spacewar,Spacewar!,0.0,0.0,31.96,38,12,5
37,Я буду космонавтом,Not found on hl2b,0.0,0.0,0.0,0,0,0
38,Trainz Simulator 12: BR Class 14,Not found on hl2b,0.0,0.0,0.0,0,0,0
39,Train Simulator 2021: BR Class 31 Loco,Not found on hl2b,0.0,0.0,0.0,0,0,0
40,Train Simulator 2021: BR Class 101 DMU,Not found on hl2b,0.0,0.0,0.0,0,0,0
41,Train Simulator 2021: Class A4 Pacifics Loco,Not found on hl2b,0.0,0.0,0.0,0,0,0
42,Haiki Gas Circle,Not found on hl2b,0.0,0.0,0.0,0,0,0
43,Doubutsu-tachi no Mori,Not found on hl2b,0.0,0.0,0.0,0,0,0
44,Mikan Muzou,Mikan Muzou,0.0,0.0,0.0,100,1,0
45,Aquascapes,Not found on hl2b,0.0,0.0,0.0,0,0,0
46,Mammoth,The Mammoth: A Cave Painting,0.1,0.1,0.1,56,26,68
47,Hina no Fuwa-fuwa Dream,Not found on hl2b,0.0,0.0,0.0,0,0,0
48,Kentucky Route Zero: Act II,Not found on hl2b,0.0,0.0,0.0,0,0,0
49,Castlevania: The Lecarde Chronicles,Castlevania: The Lecarde Chronicles,7.93,0.0,13.0,80,1,2
50,Dragon's Lair,Dragon's Lair,1.0,1.86,3.15,60,91,101
51,Sinking Simulator,Sinking Simulator,0.0,0.0,0.0,0,0,0
52,Mikoto Nikki,Mikoto Nikki,0.71,0.0,0.0,63,2,2
