first_release_date,genres,id,name,platforms,summary,storyline,rating
1354579200,"[5, 31]",229538,Far Cry 3: Monkey Business,"[6, 9, 12, 48, 49]",The DLC adds 4 additional missions in the story mode which involves Hurk to be recognized as a Rakyat warrior,Missing,Missing
1355961600,[34],221952,Tokyo Yamanote Boys Portable Honey Milk Disc,[38],A port for PSP,Every year just one girl from all high schools in Japan is chosen to be a Princess Top high school boys from all around Tokyo are then selected to be the participants in a confession tournament that is Tokyo Yamanote Boys Its a love royale where the boys will confess to the Princess with various kinds of appeal The one she picks will be crowned Prince and theres a legend that the Prince and Princess are guaranteed to have an eternally happy future together through this event,Missing
1356566400,[34],201833,Starry Sky: After Spring Portable,[38],A port of Starry Sky After Spring for the PlayStation Portable,After Spring takes place in Autumn when the students of Seigatsu Gakuen are busy with preparations for the upcoming culture festival Theyre holding an exhibition and some advisors from USA came to help the students Yahisa Tsukiko along with her childhood friends Nanami Kanata and Tohzuki Suzuya was surprised to see their friend Tomoe Yoh there Yoh came to see her in March but left for America by the end of Spring It turns out that Yoh is one of the advisors and hes staying in Japan until the culture festival is over,Missing
1355356800,Missing,196714,Baka to Test to Shoukanjuu Portable,[38],Missing,Missing,Missing
1355356800,"[33, 34]",194276,Arcana Famiglia: Festa Regalo,[38],Arcana Famiglia Festa Regalo is the third instalment of the La storia della Arcana Famiglia games released for Playstation Portable It is a spinoff cooking game,One autumn day Felicitas dad got bored and decided that hes gonna make his mafia men have an iron chef battle The prize is having his powers for 1 day and whether they like it or not they must participate Its up to you and your chosen partner to run around gather ingredients and make awesome dishes to please the judges,Missing
1355788800,Missing,172417,Angry Birds Trilogy: Anger Management Pack,"[9, 12]",Unlocks Birdday Party for Classic and Season 2 levels Hamoween through Piglantis for Seasons with the Mighty Dragon and the Orange Bird in Classic and Seasons,Missing,Missing
1356912000,"[31, 33]",139957,LEGO The Lord of the Rings: Toy Edition,"[5, 6, 9, 12]",This version contains the base game and a LEGO Build set,Missing,Missing
1355356800,"[12, 16]",136859,The Legend of Heroes: Sora no Kiseki FC - Kai HD Edition,[9],A remaster of the PSP version of Sora no Kiseki with enhanced graphics crosssave with the PSP version and extras like PS3 themes music calendars and more  Sora no Kiseki FC is the first entry in a storyrich series of RPGs featuring a fascinating turnbased combat system excellent music and stellar worldbuilding,In the kingdom of Liberl a man named Cassius Bright serves as one of the lands greatest Bracers a freelance organization dedicated to keeping peace and helping those in need When he is called off to business in the neighboring country his daughter Estelle and his adopted son Joshua take on his work as upcoming Bracers But when the airship he was traveling on vanishes his children seize the task of discovering the truth behind the incident and rescuing their father,Missing
1356912000,[31],136288,Assassin's Creed III: Limited Edition,"[9, 12]",The Limited Edition contains     Assassins Creed III base game   George Washingtons notebook   A 9 inch statue of Connor   Assassins Creedinspired colonial flag   A metal belt buckle,Missing,Missing
1356912000,[5],136074,Call of Duty: Black Ops II - Nuketown 2025 Edition,"[9, 12]",Pushing the boundaries of what fans have come to expect from the recordsetting entertainment franchise Call of Duty Black Ops II propels players into a near future 21st Century Cold War where technology and weapons have converged to create a new generation of warfare  Call of Duty Black Ops II  Nuketown 2025 Edition includes  a copy of the base game  the multiplayer map Nuketown 2025,The nonlinear storyline will see you battling during a futuristic Cold War as well as tackling flashbacks from historical missions and playing as various members of the Mason family Every decision you make during this story will affect future consequences giving you a different experience every time you play,Missing
1355443200,"[9, 13, 15, 31, 32]",124082,The Pyraplex,"[6, 34, 39, 48, 130]",Transcend the boundaries of space and time to construct a colossal new wonder of the world in this pyramidbuilding adventure,Missing,Missing
1356912000,[9],119294,Captain Cat,"[34, 39, 48, 49, 130]",Captain Cat travels the seven seas in his boat using his anchor as a hook to fish for the delights and treasures hiding at the bottom of the sea But navigating the depths of unknown waters is never easy there are many mysterious dangers to face along the way Can Captain Cat overcome them to catch enough fish to satisfy his hunger,Missing,Missing
1356912000,[31],99952,Assassin's Creed III: Ultimate Edition,[9],This version includes     Assassins Creed III   Assassins Creed III Season Pass,Missing,Missing
