first_release_date,id,name,platforms,genres,summary,storyline,rating
1675641600,262132,Martha Is Dead: Collector's Edition,[167],Missing,Missing,Missing,Missing
1676505600,252642,Dragon Ball: The Breakers - Season 2,"[6, 48, 49, 130]",[4],Caught in by an unexpected temporal phenomenon seven ordinary citizens find themselves stranded in a Temporal Seam they share their imprisonment with the Raider a menacing enemy from another timeline with an overwhelming power  As a new Raider is reported roaming the Temporal Seams 2 capsules can be seen in the sky landing with a crash A group of Saibamen roams the fields ready to ambush the survivors After some time escaping these green creatures a powerful Saiyan takes the lead in the chase,Missing,Missing
1675900800,246079,Raging Bytes,"[6, 34, 39, 48, 49, 130, 167, 169]","[12, 15, 31]",Raging Bytes is a storydriven zombie RPG full of drama and pixels Survive the raging bytes With difficulty levels for all kinds of players dive into this postapocalyptic world and face zombies in turnbased battles,A police officer Ben awakens in hospital after an accident to find the city overrun by zombies What in the world is going on here Can the government be relied on Do any other survivors remain Ben stumbles upon a doctor named Barbra while struggling through zombieinfested streets Together they make their way to Bens police station but only more horror awaits them,Missing
1677196800,243868,Octopath Traveler II: Steelbook Edition,"[48, 130, 167]","[12, 16]",Missing,Missing,Missing
1676851200,243610,Savannah Runnah,"[48, 167]",Missing,Missing,Missing,Missing
1677283200,241857,Hungry Monster,"[48, 167]",Missing,You have reincarnated as a hungry monster who is eating candies Avoid the bombs and collect the time to live longer,Missing,Missing
1677110400,241691,Microarcade ShapeSwarm,"[48, 167]",Missing,Meet extended educational activities in Microarcade ShapeSwarm which may be entertaining for any age 3 minigames and a few game modes,Missing,Missing
1677024000,241689,Zen Pong,"[48, 167]",[31],Are you trying to find some games which you can play alone without friends Zen pong is the right game for you,Missing,Missing
1677542400,240059,Destiny 2: Lightfall - Season of Defiance,"[6, 48, 167, 169]","[5, 31]",In the aftermath of the attack on the Traveler the Vanguard calls upon its closest allies Guardians must master the righteous powers of the Awoken to stand against the encroaching Shadow Legion and prove themselves as Queensguard,Missing,Missing
1677024000,239423,Zombieland: Headshot Fever - Reloaded,[390],"[5, 33]",Join the Zombieland crew as you take on zombie hordes against the clock Headshot combos slow down time meaning the most precise shooter is the fastest Challenge the leaderboards with skill speed and accuracy,Missing,Missing
