first_release_date,id,name,platforms,genres,storyline,summary,rating
1478563200,75161,Sword Art Online: Hollow Realization - Deluxe Edition,"[6, 48, 130]","[12, 31]",Missing,2026 Sword Art Origin a new VRMMORPG has emerged Kirito meets a mysterious NPC and receives a cryptic message This game is definitively not the same as the one he escaped years ago,60.0
1479340800,33449,Magi Trials,"[3, 6, 14, 48, 130, 167]","[31, 32, 34]",Missing,Do you have what it takes to join the Royal Academy of Magi in a new Highschool Romance story After attempting a dark ritual which increases innate magical ability but transforms your body,60.0
1478822400,31316,Handball 17,"[6, 9, 48, 49]",[14],Missing,Find the 82 official teams from the most prestigious European leagues in the best handball simulation Experience all the sensations of handball thanks to the easytouse controls dynamic Career mode and fastflowing matches in both single player and multiplayer modes,60.0
1479340800,30683,Kingdom of Aurelia: Mystery of the Poisoned Dagger,"[6, 14, 48, 49, 130, 167, 169]","[2, 9, 15, 31, 33]",Missing,Help boy Sam to save Princess Aurora and stop the villain who intended to seize power in the Kingdom of Aurelia,60.0
1478131200,25795,Cartoon Network: Battle Crashers,"[37, 48, 49, 130]","[4, 25, 31, 33]",Missing,When Uncle Grandpa accidentally drives the UGRV through multiple dimensions he picks up some surprise passengers in the form of Gumball Steven Universe Finn Mordecai and Clarence Now theyll have to band together to defeat the evil shard creatures and set things right Use each characters unique attacks and special moves to conquer the elements fight your way through all the levels and beat some brutal boss battles Replay maps with special modifiers to switch up the fun and unlock bonus rooms along the way Take on the singleplayer challenge in this crazy interdimensional adventure  3DS Version does not have multiplayer,60.0
1478217600,24765,Dead Age,"[3, 6, 14, 48, 49]","[12, 13, 15, 16, 31, 32]",Missing,Survive the zombie apocalypse with a Final Fantasy turnbased combat and permanent death Manage survivors craft materials and make difficult decisions Defend your camp against hordes of the undead to prevail in this nonlinear roguelite comparable to FTL Innovative Indie SurvivalRPG,56.93595601405312
1479168000,35020,Neptune Flux,"[6, 14, 48]","[31, 32]",Missing,Neptune Flux is a storydriven open world adventure game set in a scifi ocean full of mystery and haunting beauty Discover supernatural wreck sites ancient artifacts and dark secrets,50.0
1478217600,30826,Interfectorem,"[6, 14, 48]","[9, 31, 34]",Missing,GIRLS MAKE GAMES presents Interfectorem a horrifying murder mystery Interfectorem is the story of Alis a young sheriffintraining who lives alone with her sister Sali in a small town next to the woods,50.0
1479427200,30578,Lunar Stone: Origin of Blood,"[6, 165]","[5, 31]",Missing,Lunar Stone is an exclusively designed firstperson shooting story in VR Unique dodging system strengthens combat against the dark force creatures The magical stones will lead you on a magnificent adventure With the help of your beloved companions you will find the answers Let the film made original music consume you and transport you on a journey,50.0
1478044800,27261,Touhou Kobuto V: Burst Battle,"[46, 48, 130]","[4, 5, 32]",Missing,A Touhou Bullet Hell Battle game where players face opponents using unrelenting shootemup tactics whilst avoiding the same,48.0
1480464000,31781,Blade & Bones,"[6, 48]","[12, 31, 32]",Missing,A Combat driven metroidvania experience Discover a tale long lost in our past Seven swords need to be found in this world where you will discover ancient secrets and fight with an intense combat system that rewards players for their skills and knowledge,30.0
1479168000,25814,The Martian VR Experience,"[6, 163, 165, 385]","[13, 31]",Missing,The Martian VR Experience is an interactive immersive adventure from the perspective of astronaut Mark Watney Participants perform tasks for Watneys survival fly onto the surface of Mars steer at zero gravity through space drive a rover and experience key scenes from the hit film in an interactive virtual reality environment,30.0
