first_release_date,id,name,platforms,genres,summary,storyline,rating
1572393600,269945,CoolPaintr VR: Deluxe Edition,[165],Missing,Missing,Missing,Missing
1571961600,267938,Helldivers: Dive Harder,"[6, 48]","[5, 24]",Helldivers Dive Harder is a free upgrade for all existing owners and includes A new game mode Proving Grounds Take on challenging missions with unique modifiers New loadout system with random and favoriteloadout options All previous expansions A New Hell Masters of the Galaxy Turning Up The Heat and Democracy Strikes Back Up to 4 player local and online coop Full friendly fire  accidentally kill your friends again and again Direct the full might of the military with a wide variety of Support Stratagems Communitydriven galactic campaign A universe of worlds to liberate 100 hours of gameplay,Missing,Missing
1572220800,265912,Five Nights at Freddy's 2,"[34, 39, 48, 49, 130]","[13, 15, 32]",Welcome back to the new and improved Freddy Fazbears Pizza  In Five Nights at Freddys 2 the old and aging animatronics are joined by a new cast of characters They are kidfriendly updated with the latest in facial recognition technology tied into local criminal databases and promise to put on a safe and entertaining show for kids and grownups alike  What could go wrong  As the new security guard working nights your job is to monitor cameras and make sure nothing goes wrong afterhours The previous guard has complained about the characters trying to get into the office he has since been moved to dayshift So to make your job easier youve been provided with your very own empty Freddy Fazbear head which should fool the animatronic characters into leaving you alone if they should accidentally enter your office  As always Fazbear Entertainment is not responsible for death or dismemberment,Freddy Fazbears Pizzeria is a familyfriendly restaurant themed around lovable animatronics that sing during the day a place of fun and joy for children and parents alike At night however the restaurant takes a dark turn and those same animatronics take to roaming the halls of the pizzeria As the new night shift security guard Jeremy Fitzgerald has to work the night shift from 126 AM for 5 days Jeremys job as the night guard is to watch over the animatronics via cameras around the pizzeria using a flashlight to see inside dark areas  including the shadowed doorless hallway that leads into the office,Missing
1572307200,221543,"Final Fantasy XIV: Vows of Virtue, Deeds of Cruelty","[6, 48]",[12],Patch 51 follows the Scions continued adventures on the First and features the first installment in the new alliance raid series YoRHa Dark Apocalypse courtesy of guest creators Yosuke Saito and YOKO TARO,Hades is no more and darkness at last returns to the mantle of night But victory does not come without consequence How will the Scions mend the wounds of this broken world What nefarious forces would dare rend them anew,Missing
1572480000,198498,Warframe: The Old Blood,"[6, 48, 49, 130]","[5, 12, 25]",The introduction of Kuva Liches brings a special new kind of Relic  Requiem Relics There are four Relics in total that contain Requiem Mods the Exilus Weapon Adaptor and more,Missing,Missing
1570579200,196256,Mega Man X5 Improvement Project,[7],[8],This is an addendum to the Mega Man X5 Improvement Project by DarkSamus993 v0011 It started in 2019 as a restoration of graphics songs and voice clips from the Japanese version and unused soundtrack In 2021 development resumed with the inclusion of a retranslated script and several new features The amount of work put on this is now comparable to whats been done in X6 Tweaks And even though there isnt and there wont be a patching tool there are a few customization options,Missing,Missing
1570665600,188135,Moon,"[6, 14, 48, 130]","[9, 12, 31]",Have you ever felt it odd that the heroes of RPGs go around opening villagers closets and stealing from them Or that they travel the world indiscriminately killing all monsters they meet This game looks at the RPGs we all know and love from a new perspective An RPG without combat Gather love to level up Characters with their own lives and routines Save the spirits of the murdered monsters soul catch Choose your own music with the Moon Disc system,One moonlit night a young boy is sucked into the depths of his television set He falls into a place called Moon World and thus begins a search for love in order to recover the lost moonlight  Here the mighty hero of Moon World murders innocent animals for experience but the boys growth comes from saving the souls of the animals and gathering the love in the world  Yes in this game you level up by loving not fighting  The inhabitants of this world are all unique Observe their daily lives and learn where they hide their secret love  Now please open the door,Missing
1571097600,187673,Beep! Beep! Deliveries,[48],[10],Every summer Pook visits Uncle Bub who runs Beep Beep Deliveries company on Dawn Island Meet Muffintops Sleepy Wizard 8bit Vibes Jiggy  many more customers  all needing fresh deliveries fast Drop off letters gifts essential supplies  help upgrade their stores or unlock quests Everyone needs something  your deliveries change the town itself Your customers dream of better things if only the Greedy King makes life hard Expect crashes  smashes as he unleashes his pesky guards boomboys  Ghostly Bob,Missing,Missing
1572307200,187548,Police Chase,"[48, 49]","[10, 13]",In Police Chase thrilling missions powerful cars and fighting crime will be your routine Meet with informers shadow suspects chase perps and handle timecritical missions,Missing,Missing
1571788800,169108,Five Nights at Freddy's: Help Wanted - Curse of Dreadbear,"[6, 48, 130, 165]",[9],The Curse of Dreadbear DLC unlocks a new Halloween themed hub packed with spooky new minigames and prizes New spinetingling minigames include Trick or Treat Mangle Repair Corn Maze the PlushkinPatch Capn Foxys Pirate Adventure dark ride and many more,Missing,Missing
