first_release_date,id,name,platforms,genres,summary,storyline,rating
1480636800,53668,Steep: Gold Edition,"[6, 48, 49]","[13, 14, 31]",Ride the massive open world of the Alps and Alaska where the powder is always fresh and the run never ends Defy and master the worlds most epic mountains on skis wingsuits snowboards and paragliders Go solo or dropin side by side with other players Record and share the most insane stunts ever captured Dare your friends to try out your custom lines then challenge the world to beat your best tricks and relive your most epic wipeouts The mountain is yours to explore So strap in suit up and drop in RIDE YOUR WAY  Conquer the worlds most epic mountains on skis wingsuits snowboards and paragliders LIVE UNFORGETTABLE MOMENTS WITH OTHERS  Ride solo or drop in next to other players to share thrilling adrenalinefueled rides THE MOUNTAIN IS YOURS TO EXPLORE  Create your own path through the massive openworld of the Alps and Alaska and share your best custom lines with friends,Missing,Missing
1483056000,53404,NBA 2K17: Legend Edition,"[48, 49]",Missing,The Legend Edition of NBA 2K17 includes   Limitededition Kobe poster  Black Mamba controller skin  2 Panini Kobe trading cards  30000 Virtual Currency  MyTEAM Bundle  including 3 packs with guaranteed Kobe Free Agent card  ingame 2K Kobe XI shoe  ingame Kobe 8 Mitchell  Ness Jersey  ingame Kobe hoodie,Missing,Missing
1480982400,52879,Star Wars Battlefront: X-Wing VR Mission,[165],"[5, 13]",Jump into the cockpit as a Rebel pilot in Star Wars Battlefront Rogue One Xwing VR Mission  Related to the upcoming film Rogue One A Star Wars Story players will dogfight through the far reaches of space  Arriving exclusively to PlayStation VR this holiday it is free for owners of Star Wars Battlefont,Missing,Missing
1483142400,52697,Ready to Run,[48],[10],Radiocontrolled car racing game exclusively for the PlayStation 4,Missing,Missing
1483142400,52609,Nairo High School: Seishun Hakusho,[9],Missing,Missing,Missing,Missing
1483142400,52245,Inner City Kids,[46],[15],A turnbased tactical combat game where the player controls a group of kids who discover that the citys adults are being replaced by robot imposters,Missing,Missing
1483142400,52047,Apollo 11,[48],Missing,On July 20 1969 Neil Armstrong and Buzz Aldrin became the first men to walk on the moon You can now experience this event by becoming Neil Armstrong and boarding the Saturn V Rocket which is still to this day the most powerful machine ever created by humans,Missing,Missing
1483142400,46024,Deus Ex: Mankind Divided - Day One Edition,"[6, 48, 49]","[5, 12, 14, 31]",Deus Ex Mankind Divided directly follows the aftermath of the Aug Incident a day when mechanically augmented citizens all over the world were stripped of control over their minds and bodies resulting in the deaths of millions of innocents The year is now 2029 and the golden era of augmentations is over Mechanically augmented humans have been deemed outcasts and segregated from the rest of society Crime and acts of terror serve as a thin veil to cover up an overarching conspiracy aimed at controlling the future of mankind,Missing,Missing
1483142400,41645,Deus Ex: Mankind Divided - Collectors Edition,"[6, 48, 49]","[5, 12, 14, 31]",This Collectors Edition includes   Deus Ex Mankind Divided Day One Edition with the steelbook packaging  9 Adam Jensen figurine  Artbook physical 48 pages  Prism box packaging,Missing,Missing
1483142400,41644,Deus Ex: Mankind Divided - Steelbook Edition,"[6, 48, 49]","[5, 12, 14, 31]",Only at GAME Steelbook edition includes  Exclusive Steelbook featuring Adam Jensen  Day One Edition game  Secure the Day One Edition of Deus Ex Mankind Divided to obtain all of the following items  Covert Agent pack  Digital OST Sampler  Extra ingame mission  Digital books,Missing,Missing
1482969600,38492,Final Fantasy XV: Deluxe Edition,[48],"[4, 12, 31]",The only crystal left to the world lies in the Kingdom of Lucis Upon striking a peace with the garrison state of Niflheim Lucis rejoices in having at last brought the cold war to a close Their celebrations however are premature Under the guise of amity Niflheim dispels the antiarmament runewall and launches a fullscale invasion of the kingdom The peaceful lives Crown Prince Noctis and his entourage once knew are consumed by the flames of war as they struggle to mount a resistance,Missing,Missing
1481760000,31992,Starship Disco,"[6, 48, 165]","[7, 32, 33]",Starship Disco is a musicdriven rhythm shooter with user music imports Blast aliens to the beat in VR with 1 or 2 hands with HTC Vive or Oculus Touch controllers,Missing,Missing
1480982400,31544,Cranga!: Harbor Frenzy,"[6, 165, 385]","[9, 13, 32]",Cranga Harbor Frenzy is a casual VR puzzle game that brings popular blockpushing games to a whole new level with a crane VR and explosions Control an industrial crane to push and remove shipping containers from a teetering tower One wrong move will bring about epic destruction,Missing,Missing
