first_release_date,genres,id,name,platforms,summary,rating
733190400,"[5, 10]",20626,Cyber Sled,"[7, 52]",Cyber Sled is a twoplayer 3D thirdperson shooter vehicle combat arcade video game released by Namco in 1993,Missing
731894400,"[11, 12, 15, 31]",9805,Ogre Battle: The March of the Black Queen,"[5, 7, 19, 32, 41, 58]",Its up to you to defeat the Empire Its been nearly a quarter of a century since the Zetegenian Empire first conquered the Kingdoms of Zenobia with a wrath of fear and bloodshed  You are the leader of a band of rebels whove fought to preserve the last shred of honor in this desperate time of treachery Manage the ranks of a fullblown rebel army complete with hundreds of characters magic items weapons and mystical Tarot cards You must succeed in ousting the evil usurpers  your fate and that of the entire population depends on it,72.21229085294739
