genres,id,name,platforms,rating,summary,storyline
"[9, 13, 15, 32]",19291,Crazy Machines 3,[6],70.21302656815347,A hyperrealistic simulation with plenty of physical puzzles awaits Did ever wonder what a leapinglasermousebomb would look like Or better yet what its capable of  Then be ready for your very own ultimate playground with possibilities you didnt know you could imagine  Use physical systems to your advantage no matter if its electricity explosions lasers lightning or wind By tinkering with chips you can provide objects with individual properties like floating rotation or weight Nothing is impossible If you dont like that wooden plank take your pick from 15 different materials and millions of colors It is after all your own machine  Additionally we also let you use the Steam Workshop to gain access to an unending supply of puzzles and machines to implement into your game And when you build your ultimate machine you can share it with the whole world with a single click,Missing
"[25, 32]",27217,Redeemer,[6],70.20327454380892,REDEEMER is a TopDown Action game where you will punch hack and blast your way through enemies using fists hammers fire arms and even the environment,Play as Vasily an elite operative who once worked for one of the biggest arms industry corporations in the world Officially working in security you were tasked with infiltration assassination extortion and even torture When eventually the corporation decided to get rid of you you manage to narrowly escape to a secluded monastery deep in the snowy mountains  For 20 years you tried to find peace and harmony amogst your fellow monks but you are still too haunted by your murderous past to find either Now after all of these years the corporation is finally closingin on your location and in so doing they have given you one last shot at redemption
"[10, 13, 14]",727,Grand Prix 3,[6],70.20215092674695,Grand Prix 3 GP3 is a computer racing simulator by MicroProse Released in 2000 by Hasbro Interactive featuring the 1998 Formula One season with all drivers except Jacques Villeneuve who is instead replaced by a fictional character John Newhouse The game wasnt quite as well received as its predecessors but at the time was widely considered to be the best racing simulation available  An addon to the game called GP32000 or GP32k was released by Hasbro which updated the game to the 2000 Formula One season A few other changes were made as well including updated damage physics including damage from oncircuit debris improved AI a new replay system and EAX 3Dsound  Since the release of Grand Prix 4 the GP3 modding scene has slowly declined and with the cracking of track editing for GP4 many track modders left GP3 for the newer title,Missing
"[2, 9, 31]",15997,Nancy Drew: Last Train to Blue Moon Canyon,[6],70.19968053242526,Nancy Drew Last Train to Blue Moon Canyon is a firstperson perspective pointandclick adventure game  The player is Nancy Drew and has to solve a mystery Explore rich environments for clues interrogate suspects and solve puzzles and minigames  					The Hardy Boys have invited you as Nancy Drew on a train ride out West hosted by beautiful and prominent socialite Lori Girard  Lori has gathered the greatest minds in mystery to solve a centuryold secret and the haunted train is their best clue  The luxurious train once belonged to Jake Hurley who set out long ago to find the mother lode during mining mania  Years later Jakes train was found in Blue Moon Canyon with the engineer slumped over in the car  dead  Jake had mysteriously vanished Climb aboard as Nancy Drew and see if you can uncover the truth at the end of the line  Dare to Play  					  					Meet the Hardy Boys as they ride the rails of adventure  					Find secrets in the trains caboose dining car master suite  					Play pachinko sort heirloom dolls and be a short order cook  					Explore a crypt mining museum and Jakes mine  					Use the camera cell phone to take pictures and call for hints  					Erase mistakes by using the Second Chance feature  					  					  					   					About The Nancy Drew Adventure Series  					The original 1 selling PC adventure series See a comparison of the Dossier and Adventure Series,Missing
"[5, 32]",172024,Turbo Overkill,[6],70.18683583275661,Johnny Turbo needs to clean up Paradise a cyber city overrun by augmented minions under the cult control of the worlds most advanced AI Syn whos looking to expand to world domination if not stopped here and now Wallrunning HeroTime chain saw leg augments flying cars and lots of booms Fight to purge Syn with five new augments dual chainsaw arms and a second chainsaw leg in the final episode part 1,Missing
"[31, 32]",171390,Fears to Fathom: Home Alone,[6],70.18049718795133,Fears to Fathom is an episodic psychological horror game where each episode unveils a short story narrated by the ones who survived The first episode of Fears to Fathom is free to play more episodes are coming soon,In the first episode of Fears to Fathom you play as Miles a 14 years old kid who is home alone while his parents are out of town for work He soon finds himself in trouble as the story unfolds would he make it through the night He survived as he made the right choices
"[9, 12, 31, 32]",115202,LiEat: The Lie-Eating Dragon & the Vermilion Vampire,[6],70.17733109138025,The first part of the LiEat trilogy,A con artist calling himself Leo travels with an unusual girl named Efina  They arrive in Vermilion Town and learn of the vampire legend told there  Leo doubts theres much of value in the town but if the legend is true
"[12, 31]",7505,Lionheart: Legacy of the Crusader,[6],70.17206741239148,Starting from humble beginnings as a slave rise to fame and fortune by proving your self worthy against the terrible odds presented by your worlds realities and the recent crack in the fabric of reality Face monstrous hordes and relentless bandits Specialize in wielding cold steal or be a master of casting hot magical spells Join factions to gain powerful allies and earn perks that will help you rise above the challenges,Richard the Lionhearts massacre of 3000 prisoners at the Siege of Acre during the Third Crusade was used by a villainous character as fuel for a ritual which tore the fabric of reality This resulted in magic invading the world from other mysterious dimensions Our world has changed forever when it was ravaged by this uncontrolled magic and hordes of demonic creatures
"[9, 31, 32]",33822,Imscared,[6],70.16378066126092,I need a Heart in order to open it  Imscared is a metahorror game that protagonizes the player putting him in a surreal firstperson experience Find keys open doors and search for the exit to this nightmare But I need to let you know it will try to deceive You as many times as it can,Missing
"[31, 32]",114420,When the Darkness comes,[6],70.15485200923952,Taking around an hour on the first playthrough When The Darkness Comes feels like youre wandering around a glitchy hard drive full of abstract dreams and beautiful nightmares The narrator initially makes it feel like a comedic game but it soon starts to take a darker tone as you travel down the bizarre broken rabbit hole that explores the darkest themes of the human mind,Taking around an hour on the first playthrough When The Darkness Comes feels like youre wandering around a glitchy hard drive full of abstract dreams and beautiful nightmares The narrator initially makes it feel like a comedic game but it soon starts to take a darker tone as you travel down the bizarre broken rabbit hole that explores the darkest themes of the human mind From a Factory to underwater from a crystal forest to an Angel sanctuary or from a dark metro to a white desert When the Darkness comes offers a multitude of digital landscapes that will activate your senses and imagination
"[4, 32]",30877,Brief Karate Foolish,[6],70.15007777136924,Here comes a new epic of live action fighting game With 60fps smooth action sexy and deadly guys fly into air and bounces their flab,Missing
"[5, 13, 15, 32]",18166,Rising Storm 2: Vietnam,[6],70.14691526169221,Rising Storm 2 Vietnam is a sequel to the standalone expansion pack to Rising Storm and focuses on the Vietnam War,Missing
"[8, 9]",20895,Ballance,[6],70.14492753623189,In Ballance you control a sphere with the simple objective of navigating it to the end of each of the games 12 linear levels Expect surreal environments as you transform between three different materials to push boxes spheres and other objects to clear a path towards the end Preplaced Transformers will turn your ball into either Paper Wood or Stone each with their own downsides and advantages  Paper can for example use gusts of wind to reach higher elevations fall slower than the other materials and get around quickly Stone may be required to push heavy materials but due to its immense weight will experience different issues when trying to navigate environments Wood is the neutral material of choice it rolls reliably and quickly allowing it to stick to sideways railing while still being able to push objects of a medium density,Missing
"[8, 31, 32]",9284,Wings of Vi,[6],70.13683929131814,Wings of Vi is a challenging 2D platformer in which you play as the angel Vi tasked with defeating the Demon Lord Jehoul after he is freed from captivity Throughout her journey she must traverse dangerous worlds and fight countless hellspawn in order to discover where JehOul lurks and save the world from his demonic clutch,Missing
