genres,id,name,platforms,rating,summary,storyline
[8],23734,Garfield: A Tail of Two Kitties,"[6, 8, 20]",39.98328678627544,Garfield A Tail of Two Kitties is a pair of video games one for the Nintendo DS and the other for PlayStation 2 and Microsoft Windows all released on October 17 2006 They are based on the movie Garfield A Tail of Two Kitties  The story is very similar to the plot of Garfield A Tail of Two Kitties with few differences The game starts in the garden Garfield must defeat Dargis by completing missions in four areas of the castle In the Nintendo DS version Prince invites Garfield to a lasagna dinner at his castle,Missing
"[5, 15]",12530,Umbrella Corps,"[6, 48]",39.95553559155329,Umbrella Corps is an online multiplayer game set in the Resident Evil universe This fastpaced thirdperson shooter features quick and intense matches in compact battle zones themed from historic Resident Evil environments such as an Umbrella Facility map,Umbrella Corporation a ruthless international pharmaceutical company had been known for its genetic experiments and biological weaponry that led to worldwide devastation including the infamous Raccoon City incident Although the organization was brought down in 2003 its legacy of bioterrorism continued In the present day corporations with nebulous interests in bioweaponry have hired squads of special forces for experimental battles in restricted virusinfected areas against other mercenaries
[31],3712,Lula 3D,[6],39.8524674073405,Lula 3D is an adult video game It was published and developed by CDV Software,Three porn star triplets are abducted from Lulas house and she decides to rescue them After finding her keys Lula leaves her home in Beverly Hills and travels to San Francisco Las Vegas and New Orleans to rescue them
"[13, 31, 32]",105212,Fugue in Void,"[3, 6, 14]",39.84816250400723,An interactive experience in which you can explore all kinds of mysterious places and dive into a world full of atmosphere Let this experience unfold in your head Let it inspire you,Missing
"[11, 15]",7197,Stormrise,"[6, 9, 12]",39.77227554623121,Stormrise is a realtime tactics video game developed by The Creative Assemblys Australian studio and published by Sega for Microsoft Windows PlayStation 3 and Xbox 360,Missing
"[12, 15, 31]",2111,Dark,"[6, 12]",39.75004631663407,DARK is a unique stealthaction game with RPG elements in which you take on the role of the ultimate hunter a vampire Ambush your enemies from the shadows roam the darkness and use powerful vampire skills to dispatch your opponents  The intricate story of DARK will take you into the midst of a world of blood and darkness where the hunter can easily become prey Strike down other vampires improve your character and develop formidable skills such as instantly disappearing from view to take your enemies by surpriseKey FeaturesStealth and action meet roleplaying earn experience pick your dialogue choices and develop your skills to become the ultimate hunter Use impressive vampire skills and powerful melee attacks to eliminate your foes from the cover of darkness  go invisible stalk your prey unnoticed and devastate them with upclose attacks A variety of enemies await your fangs  from mortal human police and security guards to fellow creatures of the night Make your way through lavishly appointed environments from the city museum to the hidden fortress of a vampire lord hidden within a towering skyscraper Impressive 3D celshaded graphics,Missing
"[8, 31]",4583,Zapper: One Wicked Cricket!,"[6, 8, 11, 12, 21, 24]",39.74014027825687,Zapper is an actionpacked and addictive game that starts with the avoidemup game play mechanics of Blitz Games own Frogger 2 Swampys Revenge and then takes the action to a whole new level In this actionadventure game Zapper a cricket hops his way through six interactive worlds in a quest to find his brother held captive by the evil magpie queen Dangerous traps and even more dangerous enemies await Zapper It will take fastfooted skill and timing to conquer all the worlds and survive the final showdown with the magpie queen,uring a squabble over television Zapper tries to use his brother Zipper a grub as a substitute TV antenna Zipper is snatched away by an infamous thieving magpie Maggie who leaves an egg at the scene of the crime Unfortunately much to his dismay Zapper sets off and determines to rescue his brother and turn Maggie into a jailbird At the end of the game Zapper gets Zipper back after defeating Maggie and finally sets him up as a substitute TV antenna just in time to watch TV by himself
[4],5768,Celebrity Deathmatch,"[6, 8, 11]",39.73349072087798,Based on MTVs claymation animation show Celebrity Deathmatch You play a series of wrestling matches much in the style of other wrestling games The twist being that you play one of various celebrities such as Marilyn Manson and Carmen Electra Various weapons appear in the ring during play such as a chainsaw and crossbow The game is set out in 6 episodes of 3 matches each and you can play either of the celebrities in each match,Missing
"[5, 12, 13, 24, 32]",5031,Interstellar Marines,"[3, 6, 14]",39.70301168472685,nterstellar Marines resurrects the old school tactical FPS offering a unique blend of coop roleplaying and nonlinear gameplay Set in a believable future you take on the role as an elite soldier handpicked to join Project IM a top secret military program being assembled to protect mankind from all dangers outside our solar system  Interstellar Marines is inspired by HalfLife System Shock 2 and Rainbow Six 3 Raven Shield Our game is all about evolving the FPS recipe with all the inspirations weve assimilated since the birth of the genre Our goal is an evolutionary leap forward driven by our compulsive interest in science fiction roleplaying military realism and respect for first person immersion,Missing
"[15, 16]",7867,Heroes Chronicles: Conquest of the Underworld,[6],39.62134159706556,"Conquest of the Underworld is the second part of Heroes Chronicles following Warlords of the Wasteland and preceding Heroes Chronicles Masters of the Elements Years after being slain in combat by Rion Gryphonheart Tarnum aids Allison Gryphonheart his daughter on her quest to free her fathers soul from the Underworld","In Conquest of the Underworld some years after Rion Gryphonhearts death his soul is stolen from Paradise and taken into the depths of the Underworld The Ancestors send Tarnum to aid Queen Allison of Erathia in saving her fathers soul On the first layer of the Underworld Tarnum searches for the Orb of Inhibition so that the Boatman will take him to the next level Allison wishes to accompany Tarnum in battle but Tarnum insists that she stay behind practicing  In the second layer of the Underworld Tarnum and his men are affected by ghosts from their past From his nightmares Tarnum learns that his older sister was almost killed by his Barbarian armies but was saved by Rion Gryphonheart and later became pregnant with his child Tarnum learns that this child is Allison and keeps his identity hidden from his men After facing the Necromancers in order to travel to the third layer Tarnum learns the name of the demon who stole Rions soul His name is Jorm and he lives in the lower layers of the Underworld  Deezelisk Duke of the Bottom is a powerful demon who once attempted to invade Erathia but was defeated in battle and blinded by Rion Gryphonheart when he tried to gain a foothold in the upper world Tarnum seeks the Pendant of Second Sight to restore Deezelisks sight in return for Jorms location During this time Tarnums Captain of Information Mensor discovers who Tarnum truly is but he decides to keep quiet when Tarnum tells him that Allison is his niece Tarnum kills Jorm and saves the soul of Rion Gryphonheart  During the battle against Jorm Deezelisks forces turn on Allison and Allison is kidnapped The demons kill Tarnum and all of his forces but he returns due to his role as the Immortal Hero and manages to escape the battlefield Rions spirit forgives Tarnum and after regrouping his scattered armies and fighting some major battles Tarnum defeats Deezelisk and saves Allison On the day Tarnum is to be named Allisons Protector he quietly leaves the queens castle Allison never sees Tarnum again"
"[8, 31]",36868,Bubsy: The Woolies Strike Back,"[6, 48]",39.6093462775268,Bubsy the Woolies Strike Back is an all new Bubsy adventure featuring Bubsy in a bevy of exotic locations as he travels the planet looking for the beloved Golden Fleece  Bubsy must use all of his classic moves and a few new ones to dodge and out bobcat a battalion of Woolies not mention the gnarliest UFO bosses to ever grace a Bubsy adventure  The wisecracking lynx also adds over a 100 new one liners to his lexicon to keep fans guessing what hell say next,Missing
"[5, 15]",16583,Transformers: Rise of the Dark Spark,"[6, 9, 12, 41, 48, 49]",39.46594252093234,Play as your favorite characters from both the 4th TRANSFORMERS movie and Cybertron universes,Missing
[5],11331,Dreamkiller,[6],39.37499205027297,Alice Drake a psychologist solves her patients mental issues by entering their dreams and literally murdering their inner demons Developed by Mindware the developers behind Painkiller Overdose,Missing
"[5, 8]",119385,Contra: Rogue Corps,"[6, 48, 49, 130]",39.3567156523603,CONTRA ROGUE CORPS is a twin stick thirdperson action game drawing upon its roots in fast and focused combat developed for the Xbox One PlayStation 4 Nintendo Switch and PC STEAM From the director of CONTRA III THE ALIEN WARS and CONTRA HARD CORPS Nobuya Nakazato instills more than 25 years of franchise pedigree into CONTRA ROGUE CORPS with enormous crazed enemies overthetop violence and a cast of diverse playable characters that add to the irreverent tone of the game  Several years after the events of the Alien Wars CONTRA ROGUE CORPS follows a former military group living on the fringes as bounty hunters and treasure finders in the Damned City Survival requires fast reactions powerful weapons and the occasional organ and cybernetic augmentation Players will complete missions in PVE campaigns gathering resources to upgrade their guns to stay alive in the Damned City If all else fails bring in a friend and mowdown enemies together in online and local multiplayer modes,Missing
[31],26089,Assassin's Creed IV Black Flag: Time Saver - Collectibles Pack,"[6, 9, 12, 48, 49]",39.31961649341859,This pack will save you time by revealing all of the collectibles locations on your map Note that you will still need to travel to these locations and beat the game play in order to get the rewards,Missing
